repo,repo_id,host,host_type,gh_user,owner,owner_type,oc_slug,license,paypal,eol,reason
tjguk/wmi,gh/23124645,,,tjguk,,,,mit,,,No standard LICENSE file; MIT declared in PyPI metadata (OSI). Stays ineligible: no funding intent
aio-libs/aiohttp,gh/13258039,,,,,,,apache-2.0,,,Licensee noassertion + empty PyPI license metadata; real license Apache-2.0 (OSI)
aio-libs/multidict,gh/51206425,,,,,,,apache-2.0,,,Licensee noassertion + empty PyPI license metadata; real license Apache-2.0 (OSI)
tqdm/tqdm,gh/36804486,,,,,,,mpl-2.0 and mit,,,Licensee noassertion; real license MPL-2.0 AND MIT (both OSI)
python/mypy_extensions,gh/165752308,,,,,,,mit,,,Licensee noassertion; MIT declared upstream (OSI)
linux-pam/linux-pam,gh/76264690,,,,,,,bsd-3-clause,,,Licensee noassertion; Linux-PAM BSD-3-Clause (OSI)
thkukuk/rpcsvc-proto,gh/55140533,,,,,,,bsd-3-clause,,,Licensee noassertion; Sun RPC 3-clause BSD (Oracle America) in COPYING (OSI)
selinuxproject/selinux,gh/20648799,,,,,,,gpl-2.0-only,,,Licensee noassertion on multi-license meta-repo; GPL-2.0-only covers userspace tools (OSI)
bdwgc/bdwgc,gh/2109456,,,,,,,mit,,,Licensee noassertion on upstream MIT-style permissive license (use/copy/modify with notice retention); MIT per upstream self-title and distro convention (OSI). Stays ineligible: no funding intent
xiph/*,,xiph.org,nonprofit,xiph,,,,,,,Xiph.Org Foundation 501c3 since 2003 (donate page xiph.org/donate); legal steward of Ogg/Vorbis/FLAC/Opus/Speex/Theora
ronaldoussoren/pyobjc,gh/243933900,,,ronaldoussoren,,,,,https://www.paypal.com/paypalme/RonaldOussoren,,PayPal.me declared on maintainer's blog support page (blog.ronaldoussoren.net/support — 'One-time donations through Paypal' for pyobjc/py2app); curated PayPal channel
xorg/proto/xorgproto,gl/freedesktop-788,,,,,,,mit and sgi-b-1.1,,,GitLab Licensee reads only the SGI-B-1.1 GLX-protocol headers; COPYING-* files are MIT/X11 for the bulk of the protocol headers + SGI-B for GLX. MIT component is OSS-approved.
holmgren/nettle,gl/debian-50952,,,,,,,lgpl-3.0-or-later or gpl-2.0-or-later,,,GitLab Licensee 'other' on the dual grant; nettle is explicitly dual LGPLv3+/GPLv2+ — repo ships COPYING.LESSERv3 + COPYINGv2 (verified)
mpc/mpc,gl/inria-22470,,,,,,,lgpl-3.0-or-later,,,GitLab Licensee 'other' (file named COPYING.LESSER); GNU MPC is LGPLv3+ — COPYING.LESSER verified in repo
xorg-team/lib/libxrender,gl/debian-4328,,,,,,,mit,,,GitLab Licensee 'other'; COPYING is Keith Packard's X11-style notice (verified) — Fedora classifies libXrender as MIT (strict SPDX reading would be HPND-sell-variant)
debian/ca-certificates,gl/debian-2995,,,,,,,gpl-2.0-or-later and mpl-2.0,,,no LICENSE file for Licensee; debian/copyright verified: GPL-2+ scripts/Makefile/mozilla tooling + MPL-2.0 mozilla/certdata.txt (NSS)
cpython-team/python3-defaults,gl/debian-27547,,,,,,,psf-2.0,,,"no LICENSE file for Licensee; debian/copyright verified: Debian packaging of Python, distributed under the PSF licence"
google/highway,gh/206791328,,,,,,,apache-2.0 or bsd-3-clause,,,GitHub Licensee noassertion on the combined LICENSE file; it opens 'dual-licensed under your choice of either the Apache License 2.0 or the BSD 3-Clause License' (verified)
md/tcp-wrappers,gl/debian-28852,,,,,,,tcp-wrappers,,,no LICENSE file for Licensee; debian/copyright verified: License: TCP-wrappers (Venema BSD-style; admitted via EXTRAS)
