repo,repo_id,host,host_source,host_checked
aio-libs/aiobotocore,36618494,,,
aio-libs/aiocache,69653334,,,
aio-libs/aiodns,18157561,,,
aio-libs/aiohappyeyeballs,729599104,,,
aio-libs/aiohttp,13258039,,,
aio-libs/aiohttp-cors,43020725,,,
aio-libs/aiokafka,26046938,,,
aio-libs/aiomysql,28932001,,,
aio-libs/aiorwlock,28309794,,,
aio-libs/aiosignal,205007356,,,
aio-libs/async-lru,82564779,,,
aio-libs/frozenlist,204197530,,,
aio-libs/idna-ssl,109143207,psf,domain,2026-06-29T23:07:58+00:00
aio-libs/multidict,51206425,,,
aio-libs/propcache,866565706,,,
aio-libs/pytest-aiohttp,63405966,,,
aio-libs/yarl,64756820,,,
aiortc/aioquic,169165755,,,
aiortc/pylsqpack,193168427,,,
airbnb/babel-plugin-dynamic-import-node,72034231,,,
airbnb/javascript,6498492,,,
airbnb/js-shims,54623071,,,
airbnb/lottie-web,31085130,,,
airbnb/prop-types,70288130,,,
airbytehq/airbyte-api-python-sdk,618273153,,,
airspeed-velocity/asv,14215348,,,
airspeed-velocity/asv_runner,637193394,,,
aisk/rust-ping,103816020,,,
ajafff/tsutils,81121966,,,
ajkaijanaho/dctrl-tools,30659686,,,
ajv-validator/ajv,35914020,,,
ajv-validator/ajv-draft-04,368996407,,,
ajv-validator/ajv-errors,83965405,,,
ajv-validator/ajv-formats,281084700,,,
ajv-validator/ajv-keywords,60477053,,,
akamai/akamaiopen-edgegrid-python,18449175,,,
akheron/jansson,183362,,,
akhilles/crc-catalog,225307650,,,
akiran/can-use-dom,30226723,,,
akiran/json2mq,26956965,,,
akiran/react-slick,26704639,,,
akiran/string-convert,26990677,,,
akoumjian/datefinder,48925865,,,
akubera/bigdecimal-rs,87238466,,,
al45tair/netifaces,96518142,,,
al8n/fs4,443226474,,,
al8n/fs4-rs,443226474,,,
alacritty/crossfont,280549488,,,
alacritty/vte,68033186,,,
alampros/react-confetti,56616589,,,
alangpierce/sucrase,105677687,,,
alanxz/rabbitmq-c,1855590,,,
albell/parse-srcset,26983706,,,
albumentations-team/albucore,799690272,,,
albumentations-team/albumentations,136265021,,,
aldanor/fast-float-rust,325561717,,,
aldanor/qoi-rust,432763146,,,
aldaronlau/png_pong,200397314,,,
aleclarson/vite-tsconfig-paths,285385310,,,
alecmocatta/cap,216424241,,,
alecmocatta/replace_with,156761503,,,
alecthomas/voluptuous,776374,,,
aleph-alpha/ts-rs,321690304,,,
alephalpha/build-time,370350909,,,
aleshaoleg/postcss-sass,77776350,,,
alex-d/check-disk-space,105217988,,,
alex/rust-asn1,39298573,,,
alexanderlukanin13/coolname,45698566,,,
alexbrazier/simple-update-notifier,506808205,,,
alexcrichton/brotli2-rs,54689750,,,
alexcrichton/bufstream,35116908,,,
alexcrichton/bzip2-rs,24355992,,,
alexcrichton/curl-rust,20513654,,,
alexcrichton/dlmalloc-rs,107917086,,,
alexcrichton/filetime,35065114,,,
alexcrichton/futures-rs,55077261,,,
alexcrichton/nghttp2-rs,148240331,,,
alexcrichton/openssl-src-rs,100758341,,,
alexcrichton/scoped-tls,54575781,,,
alexcrichton/ssh2-rs,24174754,,,
alexcrichton/wait-timeout,42080731,,,
alexcrichton/xz2-rs,54010184,,,
alexcrist/json-to-pretty-yaml,131216046,,,
alexei/sprintf.js,9175790,,,
alexeyraspopov/picocolors,410740124,,,
alexgorbatchev/crc,1145412,,,
alexheretic/ab-glyph,254622831,,,
alexheretic/linked-hash-set,108266081,,,
alexheretic/owned-ttf-parser,257692795,,,
alexhuszagh/assert_float_eq,155472772,,,
alexhuszagh/fast-float-rust,366864498,,,
alexhuszagh/float16,902492747,,,
alexhuszagh/i256-rs,902645887,,,
alexhuszagh/minimal-lexical,238840454,,,
alexhuszagh/rust-lexical,155286170,,,
alexindigo/asynckit,59087459,,,
alexliesenfeld/async-object-pool,275406952,,,
alexliesenfeld/tls-detect-rs,774039567,,,
alexmercerind/youtube-search-python,253182250,,,
alexmojaki/eval_type_backport,717090066,,,
alexmojaki/executing,188540096,,,
alexmojaki/pure_eval,206990532,,,
alexmojaki/stack_data,204524289,,,
alexpasmantier/rust-devicons,854570068,,,
alexreardon/css-box-model,129664139,,,
alexreardon/memoize-one,80793307,,,
alexreardon/raf-schd,97060575,,,
alexreardon/tiny-invariant,129851290,,,
alexreardon/tiny-warning,151210228,,,
alexreardon/use-memo-one,178960977,,,
alfg/mp4-rust,232485720,,,
alfiedotwtf/file-lock,439647205,,,
algesten/qstring,106210175,,,
algesten/ureq,136835450,,,
algesten/ureq-proto,702127130,,,
algesten/utf8-zero,1169176202,,,
algolia/algoliasearch-client-javascript,10174599,,,
algolia/react-element-to-jsx-string,44347124,,,
alibaba-archive/cache-content-type,140516009,,,
alibaba/pemja,447911240,,,
alignof/raki,703580312,,,
alir3z4/html2text,17001672,,,
alisaifee/flask-limiter,16754889,,,
alisaifee/limits,28948972,,,
aliyun/alibabacloud-gateway,433289042,,,
aliyun/alibabacloud-python-sdk,288972087,,,
aliyun/aliyun-openapi-python-sdk,39558861,,,
aliyun/aliyun-oss-python-sdk,47454460,,,
aliyun/credentials-python,267014946,,,
aliyun/darabonba-openapi,286956695,,,
aliyun/tea-python,250193858,,,
aliyun/tea-util,239414146,,,
alkaline-ml/pmdarima,86715491,,,
alkis/decimal,47410068,,,
allan2/dotenvy,464482174,,,
allenap/shell-quote,238439241,,,
alliefitter/boto3_type_annotations,157244330,,,
alloy-rs/alloy,629243152,,,
alloy-rs/chains,694761240,,,
alloy-rs/core,615421431,,,
alloy-rs/eips,845962704,,,
alloy-rs/hardforks,915347159,,,
alloy-rs/nybbles,731733581,,,
alloy-rs/rlp,665456718,,,
alloy-rs/ruint,492059643,,,
alloy-rs/svm-rs,405391042,,,
alloy-rs/trie,733152007,,,
allure-framework/allure-python,79346720,,,
almindor/mipidsi,399583091,,,
alonreznik/dynamodb-json,89070642,,,
aloso/lexical-sort,272327928,,,
alphagov/notifications-node-client,50420990,,,
alsa-project/alsa-lib,154184919,,,
altf02/x11-rs,30380186,,,
althonos/blanket,281270886,,,
altsysrq/rusty-fork,123205212,,,
amanieu/atomic-rs,55072348,,,
amanieu/corosensei,463422835,,,
amanieu/intrusive-rs,52241852,,,
amanieu/minicov,257079551,,,
amanieu/parking_lot,58731560,,,
amanieu/seqlock,59901020,,,
amanieu/thread_local-rs,55759098,,,
amasad/sane,17180970,,,
amazon-ion/ion-python,55726462,,,
ambika-garg/apache-airflow-microsoft-fabric-plugin,826342908,,,
amethyst/hibitset,88192018,,,
aminalaee/uuid-utils,618921978,,,
amirziai/flatten,55542695,psf,domain,2026-06-29T23:07:58+00:00
amitdev/lru-dict,10314393,,,
amitport/blob,139137421,,,
amobiz/globjoin,47650344,,,
amodm/webbrowser-rs,47645762,,,
amoffat/sh,3182350,,,
amplify-education/python-hcl2,202775601,,,
amplitude/amplitude-python,452474064,,,
ampproject/remapping,201307670,,,
amqp-node/amqplib,10634962,,,
amqp-rs/amq-protocol,83777131,,,
amqp-rs/async-openssl,1037222311,,,
amqp-rs/async-rs,1038761513,,,
amqp-rs/executor-trait,315882876,,,
amqp-rs/lapin,83697754,,,
amqp-rs/pinky-swear,218254458,,,
amqp-rs/reactor-trait,324848446,,,
amqp-rs/rustls-connector,188616758,,,
amqp-rs/tcp-stream,188481524,,,
amrbashir/muda,488951773,,,
amueller/word_cloud,6536534,,,
amythicdev/minus,316471362,,,
analog-nico/stealthy-require,59725874,,,
anatawa12/deflate64-rs,671925401,,,
ancwrd1/p12-keystore,774364223,,,
andarist/react-textarea-autosize,12064766,,,
andarist/use-composed-ref,176827204,,,
andarist/use-isomorphic-layout-effect,265047941,,,
andarist/use-latest,177549146,,,
anders429/claims,819461577,,,
anders429/serde_assert,581839706,,,
anders429/substring,303189904,,,
andersk/enum_primitive-rs,33529441,,,
andfoy/pywinpty,93204296,,,
andialbrecht/sqlparse,4067434,,,
andlon/embed-doc-image,370956587,,,
andlon/matrixcompare,194479917,,,
andlon/numeric_literals,187340418,,,
andreacorbellini/rust-atomic-write-file,681737305,,,
andreasmadsen/stack-chain,6010458,,,
andreasots/base32,21396311,,,
andreinwald/uri-js-replace,782949203,,,
andrewdavidmackenzie/libproc-rs,65892184,,,
andrewhickman/defer,127811839,,,
andrewhickman/fs-err,237844675,,,
andrewhickman/id-set,94680049,,,
andrewhickman/prost-reflect,439728561,,,
andrewhickman/protox,460616706,,,
andrewrk/node-fd-slicer,22646520,,,
andrewrk/node-findit,21375850,,,
andrewrk/node-mv,6184055,,,
andrewrk/node-pend,11836813,,,
andris9/encoding,5426324,,,
andrusha/snowflake-rs,663072051,,,
andybarron/tokio-rayon,353915761,,,
andyjansson/css-unit-converter,35784756,,,
andylokandy/arraydeque,72344989,,,
andylokandy/nom-rule,452174375,,,
andyperlitch/jsbn,9710533,,,
angelicosphosphoros/keyed_priority_queue,217873365,,,
angular-eslint/angular-eslint,199344833,,,
angular/angular,24195339,,,
angular/angular-cli,36891867,,,
angular/components,49016322,,,
angular/di.js,15887402,,,
angular/jasminewd,20457532,,,
angular/protractor,7639232,,,
angular/webdriver-js-extender,61820804,,,
angular/webdriver-manager,55717035,,,
angus-c/just,61969625,,,
anholt/libepoxy,13627795,,,
annotated-types/annotated-types,487934134,,,
anodynos/upath,25900681,,,
anonrig/fast-querystring,532342875,,,
anorov/pysocks,3502340,,,
anseki/readline-sync,12457971,,,
ansible-community/ansible-build-data,252205231,,,
ansible/ansible,3638964,,,
ansible/ansible-compat,378405765,,,
ansible/ansible-lint,12106931,,,
answerdotai/apswutils,894210830,,,
answerdotai/fastcore,225460599,,,
answerdotai/fasthtml,801880448,,,
answerdotai/fastlite,806312326,,,
answerdotai/fastprogress,145069949,,,
answerdotai/ghapi,314706418,,,
ant-design/ant-design,34526884,,,
ant-design/ant-design-colors,124858316,,,
ant-design/ant-design-icons,139113100,,,
ant-design/cssinjs,450030598,,,
ant-design/cssinjs-utils,818127619,,,
ant-design/fast-color,816091193,,,
ant-design/react-slick,230059700,,,
antelle/node-stream-zip,31137468,,,
antfu-collective/birpc,441829876,,,
antfu-collective/error-stack-parser-es,665599792,,,
antfu-collective/install-pkg,411139165,,,
antfu-collective/local-pkg,411033323,,,
antfu-collective/package-manager-detector,833607927,,,
antfu-collective/vite-node,415078018,,,
antfu/birpc,441829876,,,
antfu/error-stack-parser-es,665599792,,,
antfu/strip-literal,489549496,,,
antfu/utils,356744623,,,
anthropics/anthropic-sdk-python,590187800,,,
anthropics/anthropic-sdk-typescript,595176353,,,
anthropics/claude-agent-sdk-python,1000486904,,,
antifuchs/nonzero_ext,148910462,,,
antlr/antlr4,501687,,,
antonk52/lilconfig,238967485,,,
anyascii/anyascii,231583826,,,
anza-xyz/agave,750164628,,,
anza-xyz/mollusk,813334897,,,
anza-xyz/sbpf,902016543,,,
anza-xyz/solana-sdk,927110558,,,
anza-xyz/wincode,1067250637,,,
aomediacodec/libavif,191218735,lf,project_list,2026-06-29T23:07:34+00:00
aomediacodec/svt-av1,521340675,,,
aous72/openjph,209700643,,,
apache/airflow,33884891,apache,project_list,2026-06-29T23:06:31+00:00
apache/apr,160997,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/apr-util,161004,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/arrow,51905353,apache,project_list,2026-06-29T23:06:31+00:00
apache/arrow-js,983308061,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/arrow-rs,358917250,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/arrow-rs-object-store,952097046,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/avro,206459,apache,project_list,2026-06-29T23:06:31+00:00
apache/avro-rs,861690834,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/beam,50904245,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/cassandra-python-driver,11262602,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/cordova-node-xcode,87614951,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/datafusion,358917318,apache,project_list,2026-06-29T23:06:31+00:00
apache/datafusion-sqlparser-rs,120538653,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/httpd,205423,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/iceberg-python,677260606,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/opendal,459025965,apache,project_list,2026-06-29T23:06:31+00:00
apache/opendal-reqsign,469069490,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/sedona,34533675,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/spark,17165658,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/thrift,310611,apache,project_list,2026-06-29T23:06:31+00:00
apache/tinkerpop,30449481,apache,org_prefix,2026-06-29T23:06:31+00:00
apache/tvm-ffi,1056345548,apache,org_prefix,2026-06-29T23:06:31+00:00
aperezdc/ngx-fancyindex,8378175,,,
apeworx/eth-abi,52113942,,,
apeworx/eth-account,118818588,,,
apeworx/eth-keyfile,104372136,,,
apeworx/eth-keys,104133488,,,
apeworx/eth-rlp,118818851,,,
apeworx/hexbytes,118841911,,,
apeworx/pyrlp,32090358,,,
apeworx/web3.py,56251096,,,
apgoetz/pl011_qemu,323774226,,,
apideck-libraries/better-ajv-errors,367330191,,,
apidevtools/json-schema-ref-parser,39041446,,,
apidevtools/openapi-schemas,193236806,,,
apidevtools/swagger-methods,42078039,,,
apidevtools/swagger-parser,25453221,,,
apm-js-collab/tracing-hooks,1030550919,,,
apollographql/apollo-client,52630616,,,
apollographql/apollo-link,93657402,,,
apollographql/apollo-server,56760633,,,
apollographql/apollo-tooling,65563448,,,
apollographql/apollo-utils,440994334,,,
apollographql/graphql-subscriptions,66106110,,,
apollographql/graphql-tag,61910952,,,
apollographql/invariant-packages,168596966,,,
apollographql/protobuf.js,70843881,,,
apollographql/subscriptions-transport-ws,63733328,,,
apollographql/zen-observable-ts,332867113,,,
apostrophecms/apostrophe,8100370,,,
apostrophecms/sanitize-html,12711522,,,
appandflow/react-native-safe-area-context,202404422,,,
appimagecommunity/libappimage,145175345,,,
appium/python-client,18525395,,,
apple-oss-distributions/remote_cmds,413590719,,,
apple/coremltools,95862535,,,
arangodb/python-arango,19975250,,,
arc-blroth/memory-stats,471884202,,,
arcane-rs/synthez,375052796,,,
arcanis/clipanion,87702856,,,
arcanis/jest-pnp-resolver,150139187,,,
arcanis/pnp-webpack-plugin,150122820,,,
arcanis/ts-pnp,154901145,,,
arcanis/typanion,273340795,,,
archco/moo-color,120060001,,,
architest/pymeeus,139071003,,,
archiverjs/archiver-utils,47089909,,,
archiverjs/node-archiver,6135596,,,
archiverjs/node-compress-commons,23218809,,,
archiverjs/node-crc32-stream,18267799,,,
archiverjs/node-zip-stream,15661700,,,
archlinux/libudev0-shim,67165811,,,
archlinux/linux,142707813,,,
arcnmx/result-rs,63451640,,,
arcnmx/serde-ini,103277480,,,
arcnmx/serde-value,46824982,,,
arcticaproject/librda,138795749,,,
ardaku/parsenic,667229408,,,
ardaku/traitful,669882940,,,
ardaku/wasite,574225398,,,
ardaku/whoami,98764649,,,
ardatan/graphql-tools,54432168,,,
ardatan/whatwg-node,429511342,,,
arekinath/node-getpass,56803305,,,
areski/python-nvd3,9294264,,,
argmin-rs/argmin,141885030,,,
argos-ci/jest-puppeteer,123703868,,,
aria2/aria2,1116542,,,
ariaminaei/dom-converter,13921176,,,
ariaminaei/pretty-error,13905184,,,
ariaminaei/renderkid,14141301,,,
ariaminaei/utila,13833448,,,
ariebovenberg/whenever,717223794,,,
arijit79/minus,316471362,,,
ariperkkio/ast-v8-to-istanbul,926170481,,,
arkworks-rs/algebra,293619764,,,
arkworks-rs/crypto-primitives,304701408,,,
arkworks-rs/groth16,293620469,,,
arkworks-rs/r1cs-std,293621315,,,
arkworks-rs/snark,178915690,,,
arkworks-rs/std,296739176,,,
arnaudbarre/eslint-plugin-react-refresh,451135220,,,
arnaudbenard/redux-mock-store,44984114,,,
arnavion/k8s-openapi,115828532,,,
arnohaase/bytes-varint,617316139,,,
arogozhnikov/einops,149832847,,,
arqunis/uwl,141566691,,,
arrow-py/arrow,6750871,,,
arsenetar/send2trash,11538225,,,
arthurbernard1/rustcrypt,1052289474,,,
arthurdejong/python-stdnum,9704920,,,
arthurprs/metrohash-rs,43784335,,,
arthurprs/quick-cache,523502789,,,
arthurvr/is-alphanumeric,38563791,,,
artichoke/rand_mt,247368341,,,
artifexsoftware/ghostpdl-downloads,50461376,,,
artifexsoftware/jbig2dec,87208404,,,
arturkovacs/trash,195042940,,,
arut/nginx-dav-ext-module,3287337,,,
arviz-devs/arviz,39890704,numfocus,project_list,2026-06-29T23:07:54+00:00
arviz-devs/arviz-base,638025006,,,
arviz-devs/arviz-plots,668976489,,,
arviz-devs/arviz-stats,641574276,,,
as1100k/pastey,925091968,,,
asamuzak/csscolor,748530855,,,
asamuzak/domselector,637316740,,,
asana/python-asana,28160576,,,
ash-rs/ash,65640886,,,
ashaffer/cached-path-relative,56181805,,,
ashleygwilliams/assert_approx_eq,61317959,,,
ashvardanian/stringzilla,287616631,,,
askama-rs/askama,816314127,,,
askama-rs/askama-old,77144276,,,
asomers/futures-locks,128009045,,,
asomers/mio-aio,84002892,,,
asomers/mockall,169656159,,,
asottile/cfgv,118288205,,,
asottile/tokenize-rt,93190454,,,
aspectunk/russh-sftp,576250824,,,
assemblyscript/assemblyscript,105138356,,,
assert-rs/assert_cli,43975166,,,
assert-rs/assert_cmd,135159521,,,
assert-rs/assert_fs,135149426,,,
assert-rs/completest,668451378,,,
assert-rs/dir-diff,86481216,,,
assert-rs/docmatic,129903329,,,
assert-rs/libtest2,630583986,,,
assert-rs/predicates-rs,92963507,,,
assert-rs/snapbox,424722460,,,
assertables/assertables-rust-crate,354377425,,,
assimp/assimp,648332,,,
astanin/python-tabulate,205875548,,,
astonbitecode/java-locator,171263997,,,
astral-sh/ruff,523043277,,,
astral-sh/tokio-tar,900536420,,,
astral-sh/uv,699532645,,,
astrand/xclip,50902935,,,
astromulti/keep-alive,,,,
astronomer/astronomer-cosmos,577757880,,,
astronomerio/boa,,,,
astropy/astropy,2081289,numfocus,domain,2026-06-29T23:07:54+00:00
astropy/astropy-iers-data,644894042,,,
asweigart/pyautogui,21961171,,,
asweigart/pymsgbox,23173753,,,
asweigart/pyperclip,1897743,psf,domain,2026-06-29T23:07:58+00:00
asweigart/pyscreeze,24115824,,,
async-graphql/async-graphql,244132245,,,
async-rs/async-attributes,208357860,,,
async-rs/async-global-executor,290804883,,,
async-rs/async-std,201257663,,,
async-rs/async-tls,200540826,,,
async-rs/futures-timer,104813027,,,
async-std/async-tls,200540826,,,
asynchronics/diatomic-waker,549923848,,,
at-icons/material,102979899,,,
atahabaki/bracoxide,645500499,,,
atdt/monotonic,27312836,psf,domain,2026-06-29T23:07:58+00:00
athre0z/color-backtrace,182128122,,,
atlassian-api/atlassian-python-api,19530263,,,
atlassian/asap-authentication-python,41010216,,,
atlassian/react-beautiful-dnd,99761907,,,
atolab/uhlc-rs,281922299,,,
atomiks/tippyjs,86891282,,,
aumetra/asynk-strim,868933192,,,
aurelio-labs/semantic-router,711904962,,,
aurora-is-near/aurora-engine,344778618,,,
austind/retryhttp,817871900,,,
auth0/auth0-python,22433990,,,
auth0/jwt-decode,17147559,,,
auth0/node-jsonwebtoken,11081405,,,
auth0/node-jwa,8116861,,,
auth0/node-jwks-rsa,63600463,,,
auth0/node-jws,7632329,,,
authlib/authlib,108510280,,,
authlib/joserfc,597723194,,,
auto-impl-rs/auto_impl,98291013,,,
automation-stack/node-machine-id,63163136,,,
automattic/cli-table,1218383,,,
automattic/juice,2536587,,,
automattic/mongoose,597879,,,
automattic/node-canvas,948957,,,
autotools-mirror/autoconf,47662429,fsf/gnu,project_list,2026-07-05T16:57:24+00:00
autotools-mirror/automake,47662468,fsf/gnu,project_list,2026-07-05T16:57:24+00:00
autotools-mirror/libtool,47662711,fsf/gnu,project_list,2026-07-05T16:57:24+00:00
autotools-mirror/m4,66880383,fsf/gnu,project_list,2026-07-05T16:57:24+00:00
avahi/avahi,27156301,,,
avian2/jsonmerge,22290515,,,
avian2/unidecode,28235238,psf,domain,2026-06-29T23:07:58+00:00
avianflu/ncp,2265201,,,
aviramha/ormsgpack,373971276,,,
avitex/rust-aliasable,318399273,,,
avitex/rust-aliasable-deref-trait,220387204,,,
avnu/libavtp,142053635,,,
avoidwork/filesize.js,3602669,,,
avoidwork/tiny-lru,11684125,,,
aweary/rst-selector-parser,100753714,,,
awesomized/crc-fast-rust,964229605,,,
awesomized/crc64fast-nvme,833266192,,,
awesomized/libmemcached,232099133,,,
aws-amplify/amplify-js,105590837,,,
aws-cloudformation/cfn-lint,129005655,,,
aws-cloudformation/cloudformation-cli,143929054,,,
aws-cloudformation/cloudformation-cli-go-plugin,163019574,,,
aws-cloudformation/cloudformation-cli-java-plugin,152624998,,,
aws-cloudformation/cloudformation-cli-python-plugin,162644504,,,
aws-cloudformation/cloudformation-cli-typescript-plugin,245881645,,,
aws-powertools/powertools-lambda-python,221919379,,,
aws/amazon-redshift-python-driver,283614972,,,
aws/aws-cdk,105808767,,,
aws/aws-cdk-cli,864099010,,,
aws/aws-cli,6780767,,,
aws/aws-encryption-sdk-python,79851305,,,
aws/aws-lambda-builders,156287142,,,
aws/aws-lambda-rust-runtime,156752158,,,
aws/aws-lc-rs,560635482,,,
aws/aws-sam-cli,92205085,,,
aws/aws-sdk-cpp,35440404,,,
aws/aws-sdk-js,5694513,,,
