repo,repo_id,active_contributors,hhi_commits,bus_factor_commits,loc,concentration_class,complexity_class
livegrep/livegrep,8117164,30,1141,4,0,D,
livinamuk/hell2025,686630381,2,9934,1,0,A,
lizardbyte/sunshine,438803890,93,2552,2,0,C,
lizongying/my-tv,727213319,9,6205,1,0,B,
lizrice/learning-ebpf,520421101,11,7039,1,0,B,
ljc545w/comwechatrobot,469317973,6,2639,2,0,C,
llvm/circt,245072514,88,680,6,0,D,
llvm/torch-mlir,283871761,99,539,8,0,D,
lmarzen/esp32-weather-epd,467381275,24,8845,1,0,A,
lmdb/lmdb,34406933,11,4569,1,0,C,
lmms/lmms,15778896,47,625,6,0,D,
loco-3d/crocoddyl,190190517,32,4223,1,0,C,
log4cplus/log4cplus,15830219,10,9012,1,0,A,
logrotate/logrotate,33591844,19,5116,1,0,B,
lojii/knot,239665453,1,10000,1,0,A,
loki-47-6f-64/sunshine,225962014,22,1648,2,0,D,
lonelywolf/stm32,10585825,1,10000,1,0,A,
longsoft/uefitool,13405986,25,3541,1,0,C,
loot/loot,6567216,31,5911,1,0,B,
lora-net/loramac-node,16346821,12,6440,1,0,B,
losehu/uv-k5-firmware-custom,725436745,8,8886,1,0,A,
lotabout/write-a-c-interpreter,48469763,5,4756,1,0,C,
louisbrunner/valgrind-macos,142547143,53,5200,1,0,B,
love2d/love,188601229,37,3847,1,0,C,
lovebabbar/codehelp-dsa-busted-series,436366606,19,3553,2,0,C,
lovyan03/lovyangfx,225875824,33,5556,1,0,B,
lpereira/lwan,3287591,19,9237,1,0,A,
lraton/flopperziro,527553495,1,10000,1,0,A,
lsalzman/enet,4233299,9,4475,1,0,C,
lsposed/lsplant,377337761,13,7564,1,0,B,
lua/lua,5805256,1,10000,1,0,A,
luajit-remake/luajit-remake,496533267,1,10000,1,0,A,
luanti-org/luanti,2168780,55,1325,4,0,D,
luau-lang/luau,148821256,96,1022,4,0,D,
luben/zstd-jni,31339163,30,5769,1,0,B,
luc-github/esp3d,34058391,8,7615,1,0,B,
lucasb-eyer/pydensecrf,46139143,4,2500,2,0,C,
lucavallin/barco,670640073,6,8330,1,0,A,
lucidvr/lucidgloves,359666454,19,6032,1,0,B,
luciusdxl/theforceengine,242802212,16,8449,1,0,A,
luguanxing/cheating-plugin-program,62605150,1,10000,1,0,A,
luigirizzo/netmap,33124686,24,5534,1,0,B,
lukasbanana/llgl,62965106,14,9310,1,0,A,
lukasvst/dm-vio,446852485,1,10000,1,0,A,
luke-jr/bfgminer,4146984,1,10000,1,0,A,
lukesmithxyz/st,117944122,20,1820,2,0,D,
luliyucoordinate/leetcode,132753892,12,5057,1,0,B,
lumateam/luma3ds,51275984,16,6382,1,0,B,
luohaha/chinese-uvbook,45845794,3,3333,2,0,C,
luwx/lightly,283884876,10,6594,1,0,B,
lux-core/lux,142526657,4,3900,1,0,C,
luxcorerender/luxcore,111695279,13,3949,1,0,C,
lvandeve/lodepng,23268705,5,6522,1,0,B,
lvgl/lvgl,60667730,85,2061,2,0,D,
lwfinger/rtl8188eu,9946682,2,8828,1,0,A,
lwfinger/rtw88,277639157,52,1614,3,0,D,
lwfinger/rtw89,325609012,22,5095,1,0,B,
lwhyz/workspace,590075665,7,8597,1,0,A,
lwip-tcpip/lwip,152787888,39,2383,2,0,D,
lxc/lxc,5720995,33,2589,2,0,C,
lxc/lxcfs,27918935,32,2052,2,0,D,
ly4k/pwnkit,452306200,2,8025,1,0,A,
lymphatus/caesium-image-compressor,48986680,35,6480,1,0,B,
lynckia/licode,6902605,6,4571,1,0,C,
lynx-family/lynx,942497635,83,315,12,0,D,
lynx-family/primjs,942367410,11,3119,2,0,C,
lz4/lz4,18106269,43,4736,1,0,C,
lzl124631x/leetcode,35723459,1,10000,1,0,A,
lzpong/threadpool,82009278,2,5312,1,0,B,
m0nad/diamorphine,14187797,1,10000,1,0,A,
m2team/nanazip,401508496,33,7949,1,0,B,
m417z/7-taskbar-tweaker,202869301,1,10000,1,0,A,
m417z/textify,123774029,2,9740,1,0,A,
m4dengi/remoteplaywhatever,310413655,1,10000,1,0,A,
m5stack/m5stack,89710200,15,5108,1,0,B,
maaassistantarknights/maaassistantarknights,384520418,96,1435,3,0,D,
maartenbaert/ssr,7228861,20,4013,1,0,C,
maaxyz/maaframework,632024122,68,4863,1,0,C,
machyve/xhyve,37175929,4,3333,1,0,C,
mackron/dr_libs,50877456,27,7432,1,0,B,
mackyle/sqlite,10400632,5,4219,1,0,C,
madeye/proxydroid,3280827,1,10000,1,0,A,
madler/pigz,603286,1,10000,1,0,A,
madler/zlib,2359378,53,4561,1,0,C,
madmann91/bvh,234346912,2,9876,1,0,A,
madmax43v3r/chia-plotter,369852087,39,6009,1,0,B,
magiblot/tvision,184303095,7,9679,1,0,A,
magicstack/immutables,127474402,16,2463,2,0,D,
magma/magma,170803235,75,305,14,0,D,
maharmstone/btrfs,52230396,5,9699,1,0,A,
maharmstone/ntfs2btrfs,251420413,7,9196,1,0,A,
maharmstone/quibble,240162198,4,9713,1,0,A,
mahidaka/ros_face,330097131,1,10000,1,0,A,
mailcore/mailcore2,7527552,9,1531,3,0,D,
majerle/c-code-style,144600839,5,7932,1,0,B,
majerle/lwrb,165559833,9,7481,1,0,B,
majerle/stm32-usart-uart-dma-rx-tx,153930005,3,9239,1,0,A,
majerle/stm32f429,18991407,3,3750,1,0,C,
majianjia/nnom,166869630,9,2969,2,0,C,
makermoekoe/picoclick-c3,443355471,1,10000,1,0,A,
makuna/neopixelbus,24859513,28,6622,1,0,B,
malxau/yori,127679677,5,9692,1,0,A,
mamba-org/mamba,173947939,91,1115,4,0,D,
mamedev/mame,14303048,85,741,5,0,D,
man-group/arcticdb,564689243,35,717,5,0,D,
managarm/managarm,63081862,25,2293,2,0,D,
mange/rtl8192eu-linux-driver,40992267,23,3237,1,0,C,
mangowm/mango,926616051,28,8972,1,0,A,
manisandro/gimagereader,16681717,58,3465,1,0,C,
manticoresoftware/manticoresearch,95614931,48,1581,3,0,D,
maoabc/nmmp,369624899,5,8554,1,0,A,
mapbox/tippecanoe,24517087,2,5000,1,0,B,
maplespe/dwmblurglass,743203327,27,1094,4,0,D,
maplespe/explorerblurmica,529213465,4,4663,1,0,C,
maplibre/maplibre-native,314553426,40,1890,3,0,D,
mapnik/mapnik,2556327,14,5185,1,0,B,
mapserver/mapserver,3921611,42,3416,1,0,C,
mapsme/omim,42798033,6,2799,2,0,C,
maratyszcza/nnpack,54410262,2,5000,1,0,B,
marchaesen/vcxsrv,754309614,5,6783,1,0,B,
marcj/typerunner,520362846,2,9672,1,0,A,
marcobambini/gravity,83052165,8,5738,1,0,B,
marcoschwartz/arest,18549950,1,10000,1,0,A,
marella/ctransformers,640683234,5,9342,1,0,A,
margelo/react-native-filament,760665908,15,6179,1,0,B,
margelo/react-native-skottie,560520319,8,8786,1,0,A,
mariadb-corporation/maxscale,15231881,11,2701,2,0,C,
mariadb/server,19816070,63,993,4,0,D,
marian-nmt/marian,56228491,20,2614,2,0,C,
mariotaku/moonlight-tv,325637626,11,9841,1,0,A,
markondej/fm_transmitter,33153432,4,8093,1,0,A,
marlinfirmware/configurations,211756905,78,5085,1,0,B,
marlinfirmware/marlin,2200856,50,4745,1,0,C,
martanne/vis,26677418,38,1915,2,0,D,
martchus/syncthingtray,66505150,18,9686,1,0,A,
martijnvanbrummelen/nwipe,12656161,16,5576,1,0,B,
martin-ger/esp32_nat_router,241046888,9,2448,2,0,D,
martin-ger/esp_wifi_repeater,76649430,2,5556,1,0,B,
martinezjavier/ldd3,1117185,12,1468,3,0,D,
martinmarinov/tempestsdr,14776505,2,5000,1,0,B,
martinrotter/rssguard,23906078,30,9219,1,0,A,
martinus/nanobench,213074835,11,6631,1,0,B,
marzer/tomlplusplus,224503712,37,4777,1,0,C,
mas-bandwidth/netcode,77645747,11,7253,1,0,B,
mas-bandwidth/yojimbo,59925747,16,5396,1,0,B,
maskray/ccls,127506824,8,7165,1,0,B,
matanki-saito/eu4dll,144728261,1,10000,1,0,A,
mathertel/onebutton,15510723,12,3432,1,0,C,
matheuzsecurity/singularity,1062196393,3,8552,1,0,A,
matinlotfali/kde-rounded-corners,197274875,25,8552,1,0,A,
matmoul/g810-led,60986973,2,5000,1,0,B,
matrixcascade/painterengine,190119926,22,4721,1,0,C,
mattiasgustavsson/dos-like,415021635,8,6167,1,0,B,
mattiasgustavsson/libs,46212152,11,5243,1,0,B,
mattiwatti/efiguard,177653781,2,9744,1,0,A,
mattn/go-sqlite3,2755696,44,2089,3,0,D,
matz/streem,27860738,2,5200,1,0,B,
mausimus/shaderglass,308317827,3,9600,1,0,A,
mavlink/mavros,15189073,53,5414,1,0,B,
mavlink/qgroundcontrol,2567844,50,1811,2,0,D,
mawww/kakoune,2701888,65,3591,1,0,C,
max0x7ba/atomic_queue,149498455,17,1427,3,0,D,
maximegmd/cyberenginetweaks,320921453,34,1987,2,0,D,
maximeherpin/modular_tree,65301903,2,9311,1,0,A,
maximkulkin/esp-homekit,113219787,1,10000,1,0,A,
maxritter/diy-thermocam,78125259,2,7491,1,0,B,
mayaposch/nymphcast,169604606,6,9622,1,0,A,
mayerui/sudoku,147114859,12,5510,1,0,B,
mazharmik/interview_ds_algo,279067598,2,9996,1,0,A,
mbasso/asm-dom,83154886,1,10000,1,0,A,
mbebenita/broadway,2577939,1,10000,1,0,A,
mbed-tls/mbedtls,6687936,69,679,6,0,D,
mborgerding/kissfft,108277489,11,1988,2,0,D,
mcallegari/qlcplus,6981258,50,4693,1,0,C,
mchehab/zbar,144000412,16,4130,1,0,C,
mcmilk/7-zip-zstd,61958135,11,3742,2,0,C,
mcnopper/opengl,8373358,3,7449,1,0,B,
mcu-tools/mcuboot,76305806,86,839,4,0,D,
mcudude/minicore,62468637,11,6198,1,0,B,
mcyoloswagham/win3wm,281728030,1,10000,1,0,A,
mdbtools/mdbtools,723884,30,4756,1,0,C,
mdias/rs_asio,206672830,26,6930,1,0,B,
meckazin/chromekatz,728877639,2,7153,1,0,B,
mediaarea/mediainfo,20677163,27,4113,1,0,C,
medusalix/xone,382113989,14,8392,1,0,A,
medusalix/xow,229464145,4,7037,1,0,B,
meetecho/janus-gateway,16734696,40,6775,1,0,B,
megafunk/masssample,470057126,9,6555,1,0,B,
megamarc/tilengine,42005563,9,3657,1,0,C,
meganz/megacmd,101666478,15,2712,2,0,C,
meganz/megasync,51461829,20,1358,3,0,D,
meganz/sdk,14556029,76,804,5,0,D,
megengine/megengine,248175118,40,9183,1,0,A,
meiqua/shape_based_matching,140246937,1,10000,1,0,A,
meituan-dianping/logan,150354367,9,1914,2,0,D,
melonds-emu/melonds,58894582,69,1922,2,0,D,
memcached/memcached,184981,39,7073,1,0,B,
memgraph/memgraph,297302063,46,738,6,0,D,
memononen/nanosvg,13346990,16,799,5,0,D,
memononen/nanovg,14325757,3,4286,1,0,C,
memtest86plus/memtest86plus,458383624,19,3202,2,0,C,
mendersoftware/mender,47542798,44,2318,2,0,D,
merbanan/rtl_433,7705639,46,5658,1,0,B,
meshcore-dev/meshcore,919192489,72,744,5,0,D,
meshtastic/firmware,237647258,88,1375,3,0,D,
metacall/core,163221062,47,6432,1,0,B,
metartc/metartc,439202022,2,9951,1,0,A,
mfactory-osaka/esptimecast,996134703,1,10000,1,0,A,
mfem/mfem,37287688,81,549,7,0,D,
mfontanini/libtins,14649399,20,835,5,0,D,
mgba-emu/mgba,27788471,72,7882,1,0,B,
mgeeky/shellcodefluctuation,411628041,1,10000,1,0,A,
mgeeky/threadstackspoofer,410679652,1,10000,1,0,A,
mgerdes/open-golf,298134035,2,9948,1,0,A,
mhammond/pywin32,108187130,63,2970,2,0,C,
mheironimus/arduinojoysticklibrary,46496316,1,10000,1,0,A,
mhmrdd/nohello,982210092,7,4134,1,0,C,
mhogomchungu/media-downloader,330576649,29,8085,1,0,A,
mhx/dwarfs,314868163,15,9777,1,0,A,
michaelwillis/dragonfly-reverb,110361979,6,4624,1,0,C,
micknoise/maximilian,2254934,9,5979,1,0,B,
micronucleus/micronucleus,5923020,14,3153,2,0,C,
micropython/micropython,15337142,68,1835,3,0,D,
microshow/rxffmpeg,152420033,1,10000,1,0,A,
microsoft/airsim,81887991,34,1851,2,0,D,
microsoft/blingfire,175482543,7,3196,2,0,C,
microsoft/calculator,168008797,41,1351,3,0,D,
microsoft/cpprestsdk,23202799,5,3200,1,0,C,
microsoft/cppwinrt,68223326,39,1013,4,0,D,
microsoft/detours,71402842,22,815,5,0,D,
microsoft/directml,175103120,35,1355,3,0,D,
microsoft/directx-graphics-samples,36831874,33,2448,2,0,D,
microsoft/directxmath,59512330,8,7722,1,0,B,
microsoft/directxshadercompiler,75787966,75,599,6,0,D,
microsoft/directxtex,33688642,17,8589,1,0,A,
microsoft/directxtk,33688704,7,9604,1,0,A,
microsoft/directxtk12,61335563,8,9506,1,0,A,
microsoft/diskspd,23956428,3,7600,1,0,B,
microsoft/ebpf-for-windows,355718757,55,2338,2,0,D,
microsoft/edgeml,99108990,6,2188,2,0,D,
microsoft/ffmpeginterop,32757543,2,9072,1,0,A,
microsoft/gsl,41005795,30,1487,3,0,D,
microsoft/microsoft-ui-xaml,142480903,76,538,7,0,D,
microsoft/mimalloc,192805335,66,8179,1,0,A,
microsoft/msix-packaging,123341625,26,1069,4,0,D,
microsoft/msquic,217654199,88,2213,2,0,D,
microsoft/nnfusion,252069995,16,1312,3,0,D,
microsoft/onnxruntime,156939672,94,245,16,0,D,
microsoft/onnxruntime-inference-examples,356404407,67,517,8,0,D,
microsoft/pict,44393232,12,5024,1,0,B,
microsoft/procdump-for-linux,110297133,17,4636,1,0,C,
microsoft/procmon-for-linux,278748700,9,5022,1,0,B,
microsoft/react-native-windows,48009214,52,1127,3,0,D,
microsoft/seal,156787357,23,1858,2,0,D,
microsoft/service-fabric,124312956,16,4978,1,0,C,
microsoft/snmalloc,164874285,34,2573,2,0,C,
microsoft/sptag,148464499,24,1795,2,0,D,
microsoft/stl,204593825,87,1948,2,0,D,
microsoft/sysmonforlinux,308092559,14,4250,1,0,C,
microsoft/terminal,100060912,64,1458,3,0,D,
microsoft/verona,208366483,18,2586,2,0,C,
microsoft/wil,156614409,57,1636,3,0,D,
microsoft/win2d,21972471,7,6741,1,0,B,
microsoft/win32metadata,270838404,40,4360,1,0,C,
microsoft/windows-driver-frameworks,31281081,1,10000,1,0,A,
microsoft/windows-driver-samples,31791482,74,727,5,0,D,
microsoft/windowsappsdk,256049233,87,683,7,0,D,
microsoft/winget-cli,197275130,70,1332,3,0,D,
microsoft/wsl,55626935,64,2031,2,0,D,
microsoft/wsl2-linux-kernel,187922067,91,289,16,0,D,
microsoft/wslg,346871538,38,2618,2,0,C,
microsoftedge/webview2samples,184822897,22,1923,2,0,D,
miek/inspectrum,36628229,11,4201,1,0,C,
miguelbalboa/rfid,5741131,12,2608,2,0,C,
miguelfreitas/twister-core,15529327,2,5000,1,0,B,
mihailris/voxelcore,361430837,49,7246,1,0,B,
mike4192/spotmicro,251464414,3,3800,1,0,C,
mikemirzayanov/testlib,36792683,15,6162,1,0,B,
mikeroyal/unreal-engine-guide,439977823,6,8465,1,0,A,
mikewang000000/fakehttp,993926233,1,10000,1,0,A,
mikex86/librecuda,832955422,7,8005,1,0,A,
mikke89/rmlui,137529900,50,7138,1,0,B,
milesburton/arduino-temperature-control-library,4217576,13,3257,1,0,C,
milkdrop2077/milkdrop3,616081977,2,9730,1,0,A,
milkytracker/milkytracker,13717004,22,4967,1,0,C,
miller-xie/code,161420722,1,10000,1,0,A,
miloyip/json-tutorial,68291988,4,2800,2,0,C,
mindspore-ai/mindspore,239714835,86,5814,1,0,B,
ming1016/study,31356321,1,10000,1,0,A,
minhaskamal/trojancockroach,46519056,1,10000,1,0,A,
miniupnp/miniupnp,2435778,43,5938,1,0,B,
minoca/os,72385590,2,5556,1,0,B,
mintty/mintty,36870342,17,7846,1,0,B,
mintty/wsltty,67928223,3,7860,1,0,B,
mirage-project/mirage,797553215,39,1733,2,0,D,
mirror/busybox,7512322,24,3801,1,0,C,
mister-devel/main_mister,94246344,75,3123,1,0,C,
mistertea/eternalterminal,74223162,47,3659,1,0,C,
misyltoad/vphysics-jolt,529476628,12,5390,1,0,B,
mit-acl/faster,232668094,2,5266,1,0,B,
mit-han-lab/proxylessnas,159995467,2,7551,1,0,B,
mit-nlp/mitie,18347668,4,3438,1,0,C,
mit-pdos/xv6-riscv,204459250,27,4063,1,0,C,
mit-spark/kimera-vio,209074567,6,2971,2,0,C,
mit-spark/teaser-plusplus,235250047,14,1074,3,0,D,
mitchcurtis/slate,73633635,3,9564,1,0,A,
mitsuba-renderer/mitsuba,39262473,1,10000,1,0,A,
mitsuba-renderer/mitsuba2,205269573,9,1328,3,0,D,
mitsuba-renderer/mitsuba3,362484572,52,2325,2,0,D,
mitsuba-renderer/nanogui,97938994,8,5179,1,0,B,
mity/md4c,69898189,13,8465,1,0,A,
mixiaoxiao/arduino-homekit-esp8266,240946290,4,2778,2,0,C,
mixxxdj/mixxx,10126031,44,1413,3,0,D,
mjakeman/extension-manager,445686840,99,1858,2,0,D,
mjbots/moteus,174456820,7,9815,1,0,A,
mjolnirapp/mjolnir,20999018,1,10000,1,0,A,
mkazhdan/poissonrecon,39105709,1,10000,1,0,A,
mkckr0/audio-share,556491507,3,9917,1,0,A,
mkeeter/antimony,15458279,5,2000,3,0,D,
mkiol/dsnote,414686117,11,9053,1,0,A,
mkirchner/linked-list-good-taste,315129602,1,10000,1,0,A,
mkj/dropbear,8876769,35,5960,1,0,B,
mkleehammer/pyodbc,59235,32,2103,2,0,D,
mkxjun/directx11-with-windows-sdk,133110749,3,9404,1,0,A,
ml-explore/mlx,724854743,86,1284,3,0,D,
ml-explore/mlx-swift,730845987,35,6255,1,0,B,
mlc-ai/xgrammar,821257066,42,2796,2,0,C,
mlivesu/cinolib,100456759,11,8739,1,0,A,
mlpack/mlpack,28149409,31,2432,2,0,D,
mltframework/mlt,4019052,48,3342,1,0,C,
mltframework/shotcut,4118776,32,6047,1,0,B,
mmatyas/pegasus-frontend,89860403,10,8660,1,0,A,
mmikk/hextile-demo,459716455,1,10000,1,0,A,
mmorise/world,46209384,6,2851,2,0,C,
mmp/pbrt-v3,37482419,1,10000,1,0,A,
mmp/pbrt-v4,98655874,37,7654,1,0,B,
mnh-jansson/open-battery-information,796635336,4,8752,1,0,A,
mntmn/interim,31344015,1,10000,1,0,A,
mobile-nixos/mobile-nixos,136768981,42,6986,1,0,B,
mobile-shell/mosh,1234783,12,3224,2,0,C,
moby/hyperkit,55985023,4,3827,1,0,C,
moddable-opensource/moddable,107216551,39,4503,1,0,C,
moderngpu/moderngpu,10164207,1,10000,1,0,A,
modorganizer2/modorganizer,73627890,20,2632,2,0,C,
modos-labs/glider,466480612,3,9663,1,0,A,
mofarrell/p2pvc,30442211,1,10000,1,0,A,
mohuihui/antispy,220654381,1,10000,1,0,A,
momo5502/sogen,842883987,19,7028,1,0,B,
momotech/mln,209464640,2,6250,1,0,B,
monero-project/monero,19316619,26,2097,2,0,D,
monero-project/monero-gui,33237663,20,2919,2,0,C,
moneymanagerex/moneymanagerex,20107959,38,6614,1,0,B,
mongodb/mongo,108110,81,200,20,0,D,
mongodb/mongo-cxx-driver,15881868,30,4230,1,0,C,
mongrel2/mongrel2,1781085,1,10000,1,0,A,
monitoringartist/zabbix-docker-monitoring,22584482,2,5556,1,0,B,
monocasual/giada,6603254,11,9819,1,0,A,
monyhar/monyhar-lite,375945970,1,10000,1,0,A,
moonlight-stream/internet-hosting-tool,153936348,1,10000,1,0,A,
moonlight-stream/moonlight-android,12989790,64,5896,1,0,B,
moonlight-stream/moonlight-embedded,15691240,13,7795,1,0,B,
moonlight-stream/moonlight-ios,16018083,16,8264,1,0,A,
moonlight-stream/moonlight-qt,131449222,95,7020,1,0,B,
moononournation/arduino_gfx,197129020,30,8433,1,0,A,
moonshine-ai/moonshine,867866058,2,5556,1,0,B,
mooophy/cpp-primer,19614405,3,4286,1,0,C,
moosefs/moosefs,50505775,8,8937,1,0,A,
moretension/duti,5943856,6,3388,1,0,C,
morganstanley/hobbes,94469442,7,3143,2,0,C,
morrownr/8821au-20210708,408464031,14,6437,1,0,B,
morrownr/88x2bu-20210702,421898985,14,7861,1,0,B,
mortbopet/ripes,108505982,24,7645,1,0,B,
mosra/magnum,1182756,26,9507,1,0,A,
mothcocoon/flowgraph,351138286,53,5805,1,0,B,
motion-project/motion,20822620,20,6849,1,0,B,
moudey/shell,400920341,40,3626,1,0,C,
moveit/moveit2,170893393,62,743,5,0,D,
mozilla-ai/llamafile,689773665,63,6022,1,0,B,
mozilla/mozjpeg,15837676,24,8274,1,0,A,
mozillazg/ptcpdump,782416935,9,9126,1,0,A,
mp3guy/elasticfusion,44748564,2,6800,1,0,B,
mpitutorial/mpitutorial,6915389,11,1300,3,0,D,
mpromonet/v4l2rtspserver,14266930,6,9526,1,0,A,
mpromonet/webrtc-streamer,27565754,4,9876,1,0,A,
mptre/yank,41288520,3,8809,1,0,A,
mpusz/mp-units,145692046,29,7514,1,0,B,
mpv-player/mpv,6201092,61,1189,3,0,D,
mr-un1k0d3r/edrs,343862270,9,6017,1,0,B,
mr-un1k0d3r/scshell,221572133,3,4200,1,0,C,
mrc-ide/covid-sim,249721271,3,5045,1,0,B,
mrcodetastic/esp32-hub75-matrixpanel-dma,154233527,39,5584,1,0,B,
mrexodia/titanhide,71595650,8,2768,2,0,C,
mrfrenik/gunslinger,245496769,15,7496,1,0,B,
mrglockenspiel/activate-linux,470739558,52,1088,4,0,D,
mridgers/clink,15594033,1,10000,1,0,A,
mriscoc/ender3v2s1,450854006,1,10000,1,0,A,
mrnerf/lichtfeld-studio,672651553,34,4573,1,0,C,
mrousavy/nitro,814092544,27,9167,1,0,A,
mrousavy/react-native-fast-tflite,662045971,11,8455,1,0,A,
mrousavy/react-native-multithreading,348082335,3,9151,1,0,A,
mrpt/mrpt,13708826,15,9574,1,0,A,
mrtazz/restclient-cpp,997856,5,6343,1,0,B,
mruby/mruby,4073516,25,7030,1,0,B,
msteinbeck/tinyspline,24473646,9,4014,1,0,C,
mstorsjo/fdk-aac,4820351,15,3825,1,0,C,
mstorsjo/llvm-mingw,112254496,17,8873,1,0,A,
mtg/essentia,10456942,16,2550,2,0,C,
mtheall/ftpd,27050869,6,7776,1,0,B,
mtk911/attiny85,162751267,2,6450,1,0,B,
mtrebi/memory-allocators,74497460,1,10000,1,0,A,
mtrojnar/osslsigncode,158653995,22,5167,1,0,B,
mtytel/vital,337847095,1,10000,1,0,A,
multimc/launcher,12682212,52,2393,2,0,D,
multitheftauto/mtasa-blue,32611596,59,1586,2,0,D,
mumble-voip/mumble,1413319,56,3209,1,0,C,
mupen64plus/mupen64plus-core,15262758,36,1635,3,0,D,
murmele/gittyup,204268389,41,5515,1,0,B,
musescore/musescore,4454793,68,1093,4,0,D,
mushibo/micro-wheeled_leg-robot,831361535,2,9474,1,0,A,
musicplayerdaemon/mpd,3459673,36,8102,1,0,A,
mutouyun/cpp-ipc,158312675,6,9237,1,0,A,
mvp/uhubctl,28941753,13,7951,1,0,B,
mwh/dragon,21016017,7,1882,3,0,D,
mydumper/mydumper,45695616,51,8485,1,0,A,
mykter/afl-training,95681864,1,10000,1,0,A,
myscale/myscaledb,771847852,21,1808,2,0,D,
mysensors/mysensors,16154093,27,1841,3,0,D,
mysql/mysql-server,24494032,77,499,7,0,D,
mytechnotalent/hacking-windows,410567459,1,10000,1,0,A,
myzxcg/realblindingedr,711086056,1,10000,1,0,A,
mz-automation/libiec61850,81597905,10,8039,1,0,A,
n0b0dycn/redis-rogue-server,195679995,1,10000,1,0,A,
n0xa/m5stick-nemo,694486730,16,5027,1,0,B,
n64decomp/mk64,304205548,32,2302,2,0,D,
n64decomp/sm64,190845267,1,10000,1,0,A,
n64recomp/n64recomp,566578350,12,4918,1,0,C,
naelstrof/maim,13167993,18,822,5,0,D,
nagiosenterprises/nagioscore,16119670,31,1261,3,0,D,
nagyd/sdlpop,34942109,15,4675,1,0,C,
nalgeon/sqlean,343191804,23,8536,1,0,A,
namazso/openhashtab,223322895,57,4857,1,0,C,
namazso/secureuxtheme,199628478,8,5958,1,0,B,
namhyung/uftrace,16727749,55,2550,2,0,C,
nanocomp/meep,18223131,29,3135,2,0,C,
nanocurrency/nano-node,19347340,37,2869,2,0,C,
nanomq/nanomq,73599169,41,1914,3,0,D,
nanomsg/nanomsg,6154315,11,3388,1,0,C,
nanomsg/nng,76157774,49,8408,1,0,A,
nanopb/nanopb,34807561,58,3754,1,0,C,
nanovms/nanos,115159616,11,4213,1,0,C,
narzoul/ddrawcompat,48560967,1,10000,1,0,A,
nasa-sw-vnv/ikos,107311216,13,3129,1,0,C,
nasa/astrobee,101815284,20,2041,2,0,D,
nasa/fprime,95114723,85,1440,3,0,D,
natlabrockies/energyplus,14620185,62,748,5,0,D,
natrongithub/natron,116941150,21,4672,1,0,C,
nature-lang/nature,270340771,11,9260,1,0,A,
nba-emu/nanoboyadvance,40276038,21,8836,1,0,A,
ncbi/sra-tools,23203598,14,2680,2,0,C,
nccgroup/socksoverrdp,256575700,1,10000,1,0,A,
ncine/ncine,189073851,1,10000,1,0,A,
ncmpcpp/ncmpcpp,5431757,21,4637,1,0,C,
ncopa/su-exec,47607657,1,10000,1,0,A,
ndeadly/missioncontrol,245268140,10,9178,1,0,A,
ndevilla/iniparser,851288,10,7982,1,0,B,
neargye/magic_enum,178613040,63,4509,1,0,C,
ned14/llfio,15878421,5,8770,1,0,A,
nefarius/dshidmini,247692781,2,7571,1,0,B,
nefarius/hidhide,351544978,11,7781,1,0,B,
neka-nat/cupoch,216847240,7,9436,1,0,A,
nelarius/imnodes,149870661,13,4133,1,0,C,
nelhage/reptyr,1252864,10,1956,2,0,D,
nem0/lumixengine,14590125,9,9698,1,0,A,
nem0/openfbx,95553000,12,4313,1,0,C,
nemtrif/utfcpp,40769974,11,6076,1,0,B,
neomutt/neomutt,48345674,47,4784,1,0,C,
nerdlang/nerd,78945412,2,6800,1,0,B,
nesbox/tic-80,77920383,83,1817,3,0,D,
netblue30/firejail,40418146,54,2544,2,0,C,
netdata/netdata,10744183,52,1380,3,0,D,
netease-im/nim_duilib_framework,175780707,3,3333,2,0,C,
netero1010/edrsilencer,735781986,3,4400,1,0,C,
netflix/bpftop,755724256,16,7009,1,0,B,
netflix/dynomite,13484625,2,5556,1,0,B,
nethack/nethack,47593546,50,3611,1,0,C,
netsniff-ng/netsniff-ng,1496894,10,2675,2,0,C,
netwarm007/gameenginefromscratch,100656491,1,10000,1,0,A,
networkupstools/nut,8129257,62,8211,1,0,A,
neu-rah/arduinomenu,23024191,8,1400,3,0,D,
neurobin/shc,33220655,3,3333,2,0,C,
neutrinolabs/xrdp,1660127,39,4536,1,0,C,
nevcairiel/lavfilters,10289758,6,9239,1,0,A,
nevermindzzt/letter-shell,141858463,4,8121,1,0,A,
newaetech/chipwhisperer,23514290,27,4464,1,0,C,
newsboat/newsboat,103850235,44,2525,2,0,C,
next-flip/momentum-firmware,765553099,99,3587,1,0,C,
nextcloud/desktop,105010691,42,2443,2,0,D,
nfc-tools/libnfc,33354099,13,1488,3,0,D,
nfc-tools/mfoc,32228094,1,10000,1,0,A,
nfrechette/acl,91615309,8,9681,1,0,A,
nfs-ganesha/nfs-ganesha,6509783,49,1627,4,0,D,
nghttp2/nghttp2,11452676,43,8967,1,0,A,
nginx/nginx,37912398,44,2308,2,0,D,
nginx/njs,43038779,24,7566,1,0,B,
ngs-lang/ngs,13143215,6,4125,1,0,C,
ngt-labs/ngt,67109205,12,7766,1,0,B,
ngtcp2/nghttp3,156868263,19,8352,1,0,A,
