repo,repo_id,valid_repo,user,user_id,user_type,license,is_oss,is_eol,host,repo_url,repo_owner,repo_owner_url,repo_owner_type,tm_owner,tm_owner_type,eligibility
babel/babel,24560307,True,babel,9637642,Organization,MIT,True,False,,https://babel.dev,Babel,https://babeljs.io,,,,True
babel/babel-polyfills,190579283,True,babel,9637642,Organization,MIT,True,False,,,Babel,https://babeljs.io,,,,True
bdwgc/bdwgc,2109456,True,bdwgc,208717479,Organization,NOASSERTION,False,False,,https://www.hboehm.info/gc/,Boehm-Demers-Weiser conservative C/C++ Garbage Collector,https://www.hboehm.info/gc/,,,,False
beatgammit/base64-js,2853282,True,beatgammit,427337,User,MIT,True,False,,,Jameson Little,https://jamesonlittle.com,,,,True
benjaminp/six,77868600,True,benjaminp,219470,User,MIT,True,False,,https://six.readthedocs.io/,Benjamin Peterson,https://www.locrian.net,,,,True
besser82/libxcrypt,35503965,True,besser82,1271348,User,LGPL-2.1,True,False,,,Björn Esser,,,,,True
bincode-org/bincode,24130045,True,bincode-org,67441074,Organization,,False,False,,,Bincode,,,,,False
bitflags/bitflags,29287955,True,bitflags,39789504,Organization,Apache-2.0,True,False,,,,,,,,True
blakeembrey/array-flatten,17789771,True,blakeembrey,1088987,User,MIT,True,False,,,Blake Embrey,http://blakeembrey.me/,,,,True
blakeembrey/change-case,9440238,True,blakeembrey,1088987,User,MIT,True,False,,,Blake Embrey,http://blakeembrey.me/,,,,True
bluss/bencher,65987276,True,bluss,3209739,User,Apache-2.0,True,False,,https://docs.rs/bencher/,bluss,https://social.linux.pizza/@bluss,,,,True
boto/boto3,24774658,True,boto,327752,Organization,Apache-2.0,True,False,,https://aws.amazon.com/sdk-for-python/,the boto project,https://boto3.amazonaws.com/v1/documentation/api/latest/index.html,,,,True
boto/s3transfer,49535299,True,boto,327752,Organization,Apache-2.0,True,False,,,the boto project,https://boto3.amazonaws.com/v1/documentation/api/latest/index.html,,,,True
braveg1rl/performance-now,336187529,True,braveg1rl,72844805,User,,False,False,,,,,,,,False
brianc/node-postgres,991475,True,brianc,50081,User,MIT,True,False,,https://node-postgres.com,Brian C,,,,,True
brianloveswords/node-jwa,8116861,True,auth0,2824157,Organization,MIT,True,False,,http://tools.ietf.org/id/draft-ietf-jose-json-web-algorithms-08.html,Auth0,https://auth0.com,,,,True
broofa/mime,534940,True,broofa,164050,User,MIT,True,False,,,Robert Kieffer,http://broofa.com,,,,True
broofa/node-int64,1208666,True,broofa,164050,User,MIT,True,False,,,Robert Kieffer,http://broofa.com,,,,True
browserify/events,1649251,True,browserify,6320506,Organization,MIT,True,False,,,Browserify,https://browserify.org,,,,True
browserify/node-util,14568009,True,browserify,6320506,Organization,MIT,True,False,,,Browserify,https://browserify.org,,,,True
browserify/randombytes,29300004,True,browserify,6320506,Organization,MIT,True,False,,,Browserify,https://browserify.org,,,,True
browserify/resolve,1915099,True,browserify,6320506,Organization,MIT,True,False,,,Browserify,https://browserify.org,,,,True
browserslist/browserslist,27971466,True,browserslist,37521022,Organization,MIT,True,False,,https://browsersl.ist,Browserslist,https://browsersl.ist/,,,,True
browserslist/caniuse-lite,80221890,True,browserslist,37521022,Organization,CC-BY-4.0,False,False,,,Browserslist,https://browsersl.ist/,,,,False
browserslist/update-db,505548145,True,browserslist,37521022,Organization,MIT,True,False,,https://browsersl.ist/,Browserslist,https://browsersl.ist/,,,,True
burntsushi/aho-corasick,37290678,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/jiff,759017108,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/memchr,37290652,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/quickcheck,17559913,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/same-file,78375612,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/termcolor,141345580,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/ucd-generate,123997498,True,BurntSushi,456674,User,Apache-2.0,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/walkdir,42685794,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
burntsushi/winapi-util,146040682,True,BurntSushi,456674,User,Unlicense,True,False,,,Andrew Gallant,https://burntsushi.net,,,,True
bytecodealliance/rustix,295544240,True,bytecodealliance,54038801,Organization,NOASSERTION,False,False,,,Bytecode Alliance,https://bytecodealliance.org,,,,False
bytecodealliance/wasi-rs,196445196,True,bytecodealliance,54038801,Organization,Apache-2.0,True,False,,,Bytecode Alliance,https://bytecodealliance.org,,,,True
c-ares/c-ares,571708,True,c-ares,16745161,Organization,MIT,True,False,,https://c-ares.org/,c-ares,https://c-ares.org/,,,,True
calvinmetcalf/minimalistic-assert,29144257,True,calvinmetcalf,1128607,User,ISC,True,False,,,Calvin Metcalf,http://calvinmetcalf.com/,,,,True
calvinmetcalf/process-nextick-args,36039131,True,calvinmetcalf,1128607,User,MIT,True,False,,,Calvin Metcalf,http://calvinmetcalf.com/,,,,True
caolan/async,698041,True,caolan,5274,User,MIT,True,False,,http://caolan.github.io/async/,Caolan McMahon,https://caolan.uk,,,,True
certifi/python-certifi,3060959,True,certifi,7292629,Organization,NOASSERTION,False,False,,,Certifi,http://certifiio.readthedocs.io/en/latest/,,,,False
chaijs/type-detect,12107007,True,chaijs,1515293,Organization,MIT,True,False,,,Chai.js Assertion Library,https://chaijs.github.io,,,,True
chalk/ansi-regex,20451415,True,chalk,13122722,Organization,MIT,True,False,,,chalk,https://github.com/chalk/chalk,,,,True
chalk/ansi-styles,11803168,True,chalk,13122722,Organization,MIT,True,False,,,chalk,https://github.com/chalk/chalk,,,,True
chalk/chalk,11855195,True,chalk,13122722,Organization,MIT,True,False,,,chalk,https://github.com/chalk/chalk,,,,True
chalk/slice-ansi,43191689,True,chalk,13122722,Organization,MIT,True,False,,,chalk,https://github.com/chalk/chalk,,,,True
chalk/strip-ansi,15014856,True,chalk,13122722,Organization,MIT,True,False,,,chalk,https://github.com/chalk/chalk,,,,True
chalk/supports-color,11855007,True,chalk,13122722,Organization,MIT,True,False,,,chalk,https://github.com/chalk/chalk,,,,True
chalk/wrap-ansi,41053676,True,chalk,13122722,Organization,MIT,True,False,,,chalk,https://github.com/chalk/chalk,,,,True
chalker/safer-buffer,125825141,True,ChALkeR,291301,User,MIT,True,False,,,Nikita Skovoroda,,,,,True
chardet/chardet,5196969,True,chardet,6211498,Organization,0BSD,True,False,,,Character Encoding Detector,,,,,True
cheeriojs/dom-serializer,18991884,True,cheeriojs,7230330,Organization,MIT,True,False,,,Cheerio,https://cheerio.js.org,,,,True
chicoxyzzy/node-releases,73765596,True,chicoxyzzy,1507086,User,MIT,True,False,,,Sergey Rubanov,,,,,True
chronotope/chrono,18210201,True,chronotope,20810954,Organization,NOASSERTION,False,False,,,Chronotope,,,,,False
chronotope/humantime,59320323,True,chronotope,20810954,Organization,Apache-2.0,True,False,,,Chronotope,,,,,True
clap-rs/clap,31315121,True,clap-rs,39927937,Organization,Apache-2.0,True,False,,docs.rs/clap,,https://docs.rs/clap,,,,True
cloudflare/cloudflare-python,753271547,True,cloudflare,314135,Organization,Apache-2.0,True,False,,https://developers.cloudflare.com/api,Cloudflare,https://www.cloudflare.com,,,,True
cloudpipe/cloudpickle,33880218,True,cloudpipe,10352495,Organization,NOASSERTION,False,False,,,,,,,,False
colinhacks/zod,245704608,True,colinhacks,3084745,User,MIT,True,False,,https://zod.dev,Colin McDonnell,https://colinhacks.com,,,,True
colorjs/color-name,27038309,True,colorjs,26192701,Organization,MIT,True,False,,,color.js,,,,,True
comex/rust-shlex,37886228,True,comex,47517,User,NOASSERTION,False,False,,https://crates.io/crates/shlex,,,,,,False
component/escape-html,5444800,True,component,1687071,Organization,MIT,True,False,,,Components,http://component.github.io,,,,True
component/toidentifier,114743189,True,component,1687071,Organization,MIT,True,False,,,Components,http://component.github.io,,,,True
conventional-changelog/commitlint,51575745,True,conventional-changelog,16443515,Organization,MIT,True,False,,https://commitlint.js.org,,,,,,True
conventional-changelog/conventional-changelog,15639771,True,conventional-changelog,16443515,Organization,ISC,True,False,,,,,,,,True
cosmiconfig/cosmiconfig,45750507,True,cosmiconfig,125766940,Organization,MIT,True,False,,,,,,,,True
coveragepy/coveragepy,138421996,True,coveragepy,216156418,Organization,Apache-2.0,True,False,,https://coverage.readthedocs.io,Coverage.py,,,,,True
cpburnz/python-pathspec,14648551,True,cpburnz,2126043,User,MPL-2.0,True,False,,,Caleb P. Burns,,,,,True
crate-py/rpds,608018848,True,crate-py,132601361,Organization,MIT,True,False,,https://rpds.readthedocs.io/,,,,,,True
criterion-rs/criterion.rs,1081104682,True,criterion-rs,239565631,Organization,Apache-2.0,True,False,,,,,,,,True
crossbeam-rs/crossbeam,35566048,True,crossbeam-rs,26314159,Organization,Apache-2.0,True,False,,,Crossbeam,,,,,True
crypto-browserify/randombytes,29300004,True,browserify,6320506,Organization,MIT,True,False,,,Browserify,https://browserify.org,,,,True
css-modules/icss-utils,42766912,True,css-modules,12612655,Organization,ISC,True,False,,,,,,,,True
cssnano/cssnano,33943153,True,cssnano,40150215,Organization,MIT,True,False,,https://cssnano.github.io/cssnano/,,https://cssnano.github.io/cssnano/,,,,True
csstools/postcss-plugins,219192307,True,csstools,39136094,Organization,MIT-0,True,False,,https://preset-env.cssdb.org/,CSS Tools,https://cssdb.org/,,,,True
csstree/csstree,67236461,True,csstree,18097402,Organization,MIT,True,False,,https://csstree.github.io/docs/,CSSTree,https://twitter.com/csstree,,,,True
cuviper/autocfg,135481335,True,cuviper,36186,User,Apache-2.0,True,False,,,Josh Stone,https://blog.cuviper.com,,,,True
cyan4973/xxhash,19330466,True,Cyan4973,750081,User,NOASSERTION,False,False,,http://www.xxhash.com/,Yann Collet,http://fastcompression.blogspot.fr/,,,,False
daaku/nodejs-makeerror,2097803,True,daaku,593,User,NOASSERTION,False,False,,,Naitik Shah,,,,,False
daaku/nodejs-tmpl,2171213,True,daaku,593,User,NOASSERTION,False,False,,,Naitik Shah,,,,,False
dateutil/dateutil,26876372,True,dateutil,9849410,Organization,NOASSERTION,False,False,,,,,,,,False
davepacheco/node-extsprintf,4058064,True,TritonDataCenter,100366084,Organization,MIT,True,False,,,Triton Data Center,https://tritondatacenter.com/,,,,True
davidhalter/parso,90668463,True,davidhalter,748594,User,NOASSERTION,False,False,,https://parso.readthedocs.org/en/latest/,Dave Halter,,,,,False
davisjam/safe-regex,90781457,True,davisjam,22822319,User,NOASSERTION,False,False,,,James C. (Jamie) Davis,https://davisjam.github.io/,,,,False
dchest/tweetnacl-js,15649752,True,dchest,52677,User,Unlicense,True,False,,https://tweetnacl.js.org,Dmitry Chestnykh,https://dchest.com,,,,True
dcodeio/long.js,8678904,True,dcodeIO,1136893,User,Apache-2.0,True,False,,,,https://dcode.io,,,,True
dcodeio/protobuf.js,8507859,True,protobufjs,24495634,Organization,NOASSERTION,False,False,,,The protobuf.js Project,,,,,False
debug-js/debug,2871998,True,debug-js,45984509,Organization,MIT,True,False,,,Debug.js,https://npmjs.org/debug,,,,True
definitelytyped/definitelytyped,6093316,True,DefinitelyTyped,3637556,Organization,NOASSERTION,False,False,,,DefinitelyTyped,https://definitelytyped.org/,,,,False
defunctzombie/node-process,7580644,True,defunctzombie,84792,User,MIT,True,False,,,Roman Shtylman,,,,,True
django/asgiref,48501860,True,django,27804,Organization,BSD-3-Clause,True,False,,https://asgi.readthedocs.io/en/latest/,Django,https://www.djangoproject.com/,,,,True
djc/rustc-version-rs,41272773,True,djc,158471,User,Apache-2.0,True,False,,,Dirkjan Ochtman,https://dirkjan.ochtman.nl/,,,,True
dmitrysoshnikov/regexp-tree,85459304,True,DmitrySoshnikov,244010,User,MIT,True,False,,,Dmitry Soshnikov,http://dmitrysoshnikov.com,,,,True
dominictarr/through,4885140,True,dominictarr,259374,User,NOASSERTION,False,False,,,Dominic Tarr,https://dominictarr.com,,,,False
doowb/ansi-colors,47135420,True,doowb,995160,User,MIT,True,False,,,Brian Woodward,https://twitter.com/doowb,,,,True
douglasdwyer/wasm_sync,668034655,True,DouglasDwyer,35274124,User,,False,False,,,Douglas Dwyer,,,,,False
dougwilson/nodejs-depd,20848667,True,dougwilson,67512,User,MIT,True,False,,,Douglas Wilson,,,,,True
dtolnay/anyhow,212936374,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/automod,173074854,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/dissimilar,229514821,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/indoc,54252316,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/itoa,61962375,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/no-panic,143469762,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/paste,155652490,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/proc-macro2,91860126,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/quote,67273122,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/ref-cast,106295902,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/rustversion,183990447,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/ryu,142720484,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/semver,22432442,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/syn,67305738,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/target-triple,734167706,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/thiserror,213836768,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/trybuild,184941159,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
dtolnay/unicode-ident,492639579,True,dtolnay,1940490,User,Apache-2.0,True,False,,,David Tolnay,,,,,True
eemeli/yaml,119439276,True,eemeli,617000,User,ISC,True,False,,https://eemeli.org/yaml,Eemeli Aro,,,,,True
ehmicky/human-signals,214467546,True,ehmicky,8136211,User,Apache-2.0,True,False,,,ehmicky,https://fosstodon.org/@ehmicky,,,,True
eliben/pycparser,10589864,True,eliben,1130906,User,NOASSERTION,False,False,,,Eli Bendersky,https://eli.thegreenplace.net,,,,False
emotion-js/emotion,92570536,True,emotion-js,31557565,Organization,MIT,True,False,,https://emotion.sh/,emotion,https://emotion.sh,,,,True
enarx/ciborium,313759241,True,enarx,44877733,Organization,NOASSERTION,False,False,,,Enarx,https://enarx.dev/,,,,False
encode/httpcore,237210639,True,encode,19159390,Organization,BSD-3-Clause,True,False,,https://www.encode.io/httpcore/,Encode,http://www.encode.io/,,,,True
encode/httpx,179492861,True,encode,19159390,Organization,BSD-3-Clause,True,False,,https://www.python-httpx.org/,Encode,http://www.encode.io/,,,,True
epoberezkin/ajv-keywords,60477053,True,ajv-validator,46839968,Organization,MIT,True,False,,https://ajv.js.org,Ajv JSON schema validator,https://ajv.js.org/,,,,True
epoberezkin/fast-deep-equal,94483360,True,epoberezkin,2769109,User,MIT,True,False,,,Evgeny,https://poberezkin.com,,,,True
epoberezkin/fast-json-stable-stringify,108103016,True,epoberezkin,2769109,User,NOASSERTION,False,False,,,Evgeny,https://poberezkin.com,,,,False
epoberezkin/json-schema-traverse,93333933,True,epoberezkin,2769109,User,MIT,True,False,,,Evgeny,https://poberezkin.com,,,,True
es-shims/array-includes,28753032,True,es-shims,6288429,Organization,MIT,True,False,,https://tc39.github.io/ecma262/#sec-array.prototype.includes,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/dunder-proto,898274312,True,es-shims,6288429,Organization,MIT,True,False,,,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/es-object-atoms,773229339,True,es-shims,6288429,Organization,MIT,True,False,,,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/es-set-tostringtag,580683868,True,es-shims,6288429,Organization,MIT,True,False,,,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/math-intrinsics,902014040,True,es-shims,6288429,Organization,MIT,True,False,,,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/object.values,41723335,True,es-shims,6288429,Organization,MIT,True,False,,https://github.com/ljharb/proposal-object-values-entries,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/regexp.prototype.flags,26932422,True,es-shims,6288429,Organization,MIT,True,False,,https://tc39.es/ecma262/#sec-get-regexp.prototype.flags,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/string.prototype.trimend,114682758,True,es-shims,6288429,Organization,MIT,True,False,,https://github.com/tc39/proposal-string-left-right-trim,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
es-shims/string.prototype.trimstart,114682105,True,es-shims,6288429,Organization,MIT,True,False,,https://github.com/tc39/proposal-string-left-right-trim,ECMAScript Shims,https://tc39.es/ecma262/,,,,True
eslint-community/eslint-utils,568240379,True,eslint-community,94557945,Organization,MIT,True,False,,https://eslint-community.github.io/eslint-utils,ESLint Community,https://eslint.org,,,,True
eslint/doctrine,4286644,True,eslint,6019716,Organization,Apache-2.0,True,False,,,ESLint,https://eslint.org,,,,True
eslint/eslint,11061773,True,eslint,6019716,Organization,MIT,True,False,openjs,https://eslint.org,ESLint,https://eslint.org,,,,True
eslint/js,27620277,True,eslint,6019716,Organization,BSD-2-Clause,True,False,,,ESLint,https://eslint.org,,,,True
eslint/rewrite,791446923,True,eslint,6019716,Organization,Apache-2.0,True,False,,,ESLint,https://eslint.org,,,,True
estools/escodegen,3611422,True,estools,9900213,Organization,BSD-2-Clause,True,False,,,ECMAScript Tooling,,,,,True
estools/esquery,11412938,True,estools,9900213,Organization,NOASSERTION,False,False,,http://estools.github.io/esquery/,ECMAScript Tooling,,,,,False
estools/esrecurse,27429822,True,estools,9900213,Organization,NOASSERTION,False,False,,,ECMAScript Tooling,,,,,False
estools/estraverse,6145439,True,estools,9900213,Organization,BSD-2-Clause,True,False,,,ECMAScript Tooling,,,,,True
estools/esutils,14677293,True,estools,9900213,Organization,BSD-2-Clause,True,False,,,ECMAScript Tooling,,,,,True
ethers-io/ethers.js,63465664,True,ethers-io,18492273,Organization,MIT,True,False,,https://ethers.org/,ethers-io,https://ethers.org,,,,True
evanw/esbuild,61137153,True,evanw,406394,User,MIT,True,False,,https://esbuild.github.io/,Evan Wallace,https://madebyevan.com/,,,,True
evanw/node-source-map-support,7682781,True,evanw,406394,User,MIT,True,False,,,Evan Wallace,https://madebyevan.com/,,,,True
eventualbuddha/lines-and-columns,47284288,True,eventualbuddha,1938,User,MIT,True,False,,,Brian Donovan,,,,,True
executablebooks/markdown-it-py,249956697,True,executablebooks,57655115,Organization,MIT,True,False,,https://markdown-it-py.readthedocs.io,Executable Books,https://executablebooks.org,,,,True
executablebooks/mdurl,387293763,True,executablebooks,57655115,Organization,NOASSERTION,False,False,,,Executable Books,https://executablebooks.org,,,,False
exodusoss/bytes,885154008,True,ExodusOSS,194767098,Organization,MIT,True,False,,https://npmjs.com/@exodus/bytes,Exodus Movement Opensource Development,https://github.com/ExodusMovement,,,,True
expressjs/body-parser,15669006,True,expressjs,5658226,Organization,MIT,True,False,,,,https://expressjs.com/,,,,True
expressjs/serve-static,17464338,True,expressjs,5658226,Organization,MIT,True,False,,,,https://expressjs.com/,,,,True
facebook/create-react-app,63537249,True,facebook,69631,Organization,MIT,True,False,,https://create-react-app.dev,Meta,https://opensource.fb.com,,,,True
facebook/metro,76504246,True,facebook,69631,Organization,MIT,True,False,,https://metrobundler.dev,Meta,https://opensource.fb.com,,,,True
facebook/prop-types,87597642,True,facebook,69631,Organization,MIT,True,False,,,Meta,https://opensource.fb.com,,,,True
facebook/react,10270250,True,facebook,69631,Organization,MIT,True,False,,https://react.dev,Meta,https://opensource.fb.com,,,,True
facebook/regenerator,13346571,True,facebook,69631,Organization,MIT,True,False,,http://facebook.github.io/regenerator/,Meta,https://opensource.fb.com,,,,True
facebook/watchman,6930489,True,facebook,69631,Organization,MIT,True,False,,https://facebook.github.io/watchman/,Meta,https://opensource.fb.com,,,,True
facebook/zstd,29759715,True,facebook,69631,Organization,NOASSERTION,False,False,,http://www.zstd.net,Meta,https://opensource.fb.com,,,,False
facelessuser/soupsieve,160789418,True,facelessuser,1055125,User,MIT,True,False,,https://facelessuser.github.io/soupsieve/,Isaac Muse,,,,,True
