name,shortname,domain,homepage,github_repo,ecosystem,package,repo_url,category,programming_language,description,created,license,fetched_at
Apache OpenNLP,opennlp,opennlp.apache.org,http://opennlp.apache.org,apache/opennlp,,,https://github.com/apache/opennlp.git,library,J | a | v | a,"Apache OpenNLP software supports the most common NLP tasks, such as tokenization, sentence segmentation, part-of-speech tagging, named entity extraction, chunking, parsing, and coreference resolution.",2012-04-14,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache OpenOffice,openoffice,openoffice.apache.org,https://openoffice.apache.org,,,,https://gitbox.apache.org/repos/asf/openoffice.git,content,C | + | +,"Apache OpenOffice is a leading open-source, office-document
      productivity suite providing six productivity applications (Writer, Calc,
      Impress, Draw, Math, Base) based around the OpenDocume",2013-01-03,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache OpenWebBeans,openwebbeans,openwebbeans.apache.org,http://openwebbeans.apache.org,,,,https://svn.apache.org/repos/asf/openwebbeans,javaee,J | a | v | a,"OpenWebBeans is an ALv2-licensed implementation of the ""Contexts and Dependency Injection for the Java EE platform"" specification which is defined as JSR-299.",2011-03-06,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Openwhisk,openwhisk,openwhisk.apache.org,https://openwhisk.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache ORC,orc,orc.apache.org,https://orc.apache.org,,,,https://gitbox.apache.org/repos/asf/orc.git,"big-data, database, hadoop, library","J | a | v | a | , |   | C | + | +","ORC is a self-describing type-aware columnar file format designed for
Hadoop workloads. It is optimized for large streaming reads, but with
integrated support for finding required rows quickly. Storin",2015-05-12,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Ozone,ozone,ozone.apache.org,https://ozone.apache.org/,apache/ozone,,,https://github.com/apache/ozone.git,big-data,J | a | v | a,"Apache Ozone is a highly scalable, distributed storage for Analytics, Big data and Cloud Native applications. Ozone supports S3 compatible object APIs as well as a Hadoop Compatible File System implem",2020-10-21,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Paimon,paimon,paimon.apache.org,https://paimon.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Parquet,parquet,parquet.apache.org,http://parquet.apache.org,,,,https://git.apache.org/repos/asf?p=parquet-java.git,big-data,J | a | v | a,"Apache Parquet is an open source, column-oriented data file format designed for efficient data storage and retrieval. It provides high performance compression and encoding schemes to handle complex da",2015-05-13,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache PDFBox,pdfbox,pdfbox.apache.org,https://pdfbox.apache.org,,,,http://svn.apache.org/repos/asf/pdfbox,"content, library",J | a | v | a,,2010-12-19,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Pekko,pekko,pekko.apache.org,https://pekko.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache mod_perl,perl-mod_perl,perl.apache.org,http://perl.apache.org/,,,,http://svn.apache.org/repos/asf/perl/modperl/trunk/,httpd-module,"C | , |   | P | e | r | l","
mod_perl is a unique piece of software that integrates the power of
Perl with the flexibility and stability of the Apache Web server.
With mod_perl, you can harness the power of the full Apache API w",,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Petri,petri,petri.apache.org,http://petri.apache.org,apache/petri,,,https://github.com/apache/petri/,"education, retired",,"Apache Petri deals with the assessment of, education in, and adoption of the Foundation's policies and procedures for collaborative development and the pros and cons of joining the Foundation.",2019-11-20,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Phoenix,phoenix,phoenix.apache.org,http://phoenix.apache.org,,,,https://git-wip-us.apache.org/repos/asf/phoenix.git,"big-data, database","J | a | v | a | , |   | S | Q | L",Apache Phoenix enables OLTP and operational analytics for Apache Hadoop by providing a relational database layer leveraging Apache HBase as its backing store. It includes integration with Apache Spark,2012-04-14,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Pig,pig,pig.apache.org,http://pig.apache.org,,,,http://svn.apache.org/repos/asf/pig/,database,J | a | v | a,"Apache Pig is a platform for analyzing large data sets that consists of a high-level language for expressing data analysis programs, coupled with infrastructure for evaluating these programs. The sali",2011-05-16,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Pinot,pinot,pinot.apache.org,https://pinot.apache.org,,,,https://gitbox.apache.org/repos/asf/pinot.git,big-data,J | a | v | a,"Apache Pinot is a real-time distributed online analytical processing (OLAP) datastore. Use Pinot to ingest and immediately query data from streaming or batch data sources (including, Apache Kafka, Ama",2023-08-07,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache PLC4X,plc4x,plc4x.apache.org,https://plc4x.apache.org/,apache/plc4x,,,https://github.com/apache/plc4x.git,"c, c++, go, integration, iot, java, library, network-client, python","C | , |   | C | + | + | , |   | C | # | , |   | G | o | , |   | J | a | v | a | , |   | P | y | t | h | o | n",PLC4X is a set of libraries for communicating with industrial programmable logic controllers (PLCs) using a variety of protocols but with a shared API.,2019-04-18,h | t | t | p | s | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache POI,poi,poi.apache.org,https://poi.apache.org,,,,https://svn.apache.org/repos/asf/poi/,"content, library",J | a | v | a,"APIs for manipulating various file formats based upon Open Office XML (ECMA-376) and Microsoft's OLE 2 Compound Document formats using pure Java. Apache POI is your Java Excel, Word and PowerPoint sol",2006-01-26,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache XMLBeans,poi-xmlbeans,xmlbeans.apache.org,https://xmlbeans.apache.org/,,,,http://svn.apache.org/repos/asf/xmlbeans/trunk/,xml,J | a | v | a,"XMLBeans is a tool that allows you to access the full power of XML in a Java friendly way. The idea
            is that you can take advantage of the richness and features of XML and XML Schema and ha",2006-03-27,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Polaris,polaris,polaris.apache.org,https://polaris.apache.org,apache/polaris,,,https://github.com/apache/polaris,"big-data, data-engineering, database","J | a | v | a | , |   | P | y | t | h | o | n","Apache Polaris implements the Apache Iceberg REST API, enabling seamless multi-engine interoperability across a wide range of platforms, including Apache Doris, Apache Flink, Apache Spark, ...",2026-02-20,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Pulsar,pulsar,pulsar.apache.org,https://pulsar.apache.org/,apache/pulsar,,,https://github.com/apache/pulsar.git,big-data,J | a | v | a,Apache Pulsar is an all-in-one messaging and streaming platform. Messages can be consumed and acknowledged individually or consumed as streams with less than 10ms of latency. Its layered architecture ,2018-09-19,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Qpid,qpid,qpid.apache.org,http://qpid.apache.org,,,,https://svn.apache.org/repos/asf/qpid/trunk/qpid/,"network-server, network-client","C | + | + | , |   | J | a | v | a | , |   | C | # | , |   | P | e | r | l | , |   | P | y | t | h | o | n | , |   | R | u | b | y","Apache Qpid implements the latest AMQP specification, the first open standard for enterprise messaging, and provides transaction management, queuing, distribution, security, management, clustering, fe",2009-01-21,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Ranger,ranger,ranger.apache.org,https://ranger.apache.org,,,,https://gitbox.apache.org/repos/asf/ranger.git,"big-data, security",J | a | v | a,"Apache Ranger is a framework to enable, monitor and manage comprehensive data security - consistently across various data processing services. Integrated with most of the Big-Data technologies (Hadoop",2023-12-31,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Ratis,ratis,ratis.apache.org,https://ratis.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Rocketmq,rocketmq,rocketmq.apache.org,https://rocketmq.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Roller,roller,roller.apache.org,http://roller.apache.org/,,,,https://svn.apache.org/repos/asf/roller/,content,J | a | v | a,"Apache Roller is a full-featured, multi-user and group-blog server suitable for blog sites large and small. It runs as a Java web application that should be able to run on most any Java EE server and ",2012-04-03,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Royale,royale,royale.apache.org,https://royale.apache.org,,,,,web-framework,A | c | t | i | o | n | S | c | r | i | p | t,Apache Royale implements the principles of Apache Flex to support development of applications designed for JavaScript instead of Adobe Flash/AIR runtimes. Apache Royale improves developer productivity,2023-09-05,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Rya,rya,rya.apache.org,https://rya.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Samza,samza,samza.apache.org,http://samza.apache.org/,apache/samza,,,https://github.com/apache/samza.git,big-data,S | c | a | l | a,"Apache Samza provides a system for processing stream data from publish-subscribe systems such as Apache Kafka. The developer writes a stream processing task, and executes it as a Samza job. Samza then",2015-01-23,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Santuario,santuario,santuario.apache.org,https://santuario.apache.org,apache/santuario-xml-security-java,,,https://github.com/apache/santuario-xml-security-java,"library, security, xml",J | a | v | a,,2006-03-20,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Sdap,sdap,sdap.apache.org,https://sdap.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache SeaTunnel,seatunnel,seatunnel.apache.org,https://seatunnel.apache.org/,,,,https://gitbox.apache.org/repos/asf/seatunnel.git,big-data,J | a | v | a,"SeaTunnel is a next-generation super high-performance, distributed, massive data integration tool. It can synchronize tens of billions of data stably and efficiently every day, and has been used in th",2023-09-12,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Sedona,sedona,sedona.apache.org,https://sedona.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Serf,serf,serf.apache.org,https://serf.apache.org,,,,https://svn.apache.org/repos/asf/serf/trunk,library,C,The serf library is a high performance C-based HTTP client library built upon the Apache Portable Runtime (APR) library,2015-08-19,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Servicecomb,servicecomb,servicecomb.apache.org,https://servicecomb.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Shardingsphere,shardingsphere,shardingsphere.apache.org,https://shardingsphere.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Shenyu,shenyu,shenyu.apache.org,https://shenyu.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Shiro,shiro,shiro.apache.org,https://shiro.apache.org/,,,,git:https://gitbox.apache.org/repos/asf/shiro.git,"library, web-framework",J | a | v | a,"Apache Shiro is a powerful and flexible open-source security framework that cleanly handles
        authentication, authorization, enterprise session management, single sign-on and cryptography servic",2004-01-01,h | t | t | p | s | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0 | . | t | x | t,2026-06-29T23:06:31+00:00
Apache Singa,singa,singa.apache.org,https://singa.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Spatial Information System,sis-spatial_information_system,sis.apache.org,http://sis.apache.org/,apache/sis,,,https://github.com/apache/sis,"geospatial, library",J | a | v | a,"Apache SIS provides data structures for geographic data and associated metadata
        along with methods to manipulate those data structures. The library is an implementation of GeoAPI interfaces
  ",2010-02-24,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache SkyWalking,skywalking,skywalking.apache.org,http://skywalking.apache.org,,,,git://gitbox.apache.org/repos/asf/skywalking.git,observability,J | a | v | a,"Use Apache SkyWalking when you need an application performance monitor tool for distributed systems, especially designed for microservices, cloud native and container-based (Docker, K8s, Mesos) archit",2019-04-17,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Sling,sling,sling.apache.org,http://sling.apache.org/,,,,http://svn.apache.org/repos/asf/sling/,,J | a | v | a,"
        Apache Sling is a web framework that uses a Java Content Repository, such as Apache Jackrabbit, 
        to store and manage content.
        Sling applications use either scripts or Java ser",,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Solr,solr,solr.apache.org,http://solr.apache.org,,,,https://gitbox.apache.org/repos/asf?p=solr.git,"web-framework, network-server, search, java",J | a | v | a,"Solr is an open source enterprise search server based on the Lucene Java search library, with Rest-like JSON/HTTP APIs, high performance, high availability, powerful analytics, hit highlighting, facet",2006-01-17,h | t | t | p | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Solr Operator,solr-operator,solr.apache.org,https://solr.apache.org/operator,,,,https://gitbox.apache.org/repos/asf/solr-operator.git,"cloud, search, go",G | o,,2021-01-14,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache SpamAssassin,spamassassin,spamassassin.apache.org,https://spamassassin.apache.org/,,,,https://svn.apache.org/repos/asf/spamassassin/trunk,,"C | , |   | P | e | r | l","Apache SpamAssassin is an extensible email filter which is used to identify spam. Using its rule base, it uses a wide range of advanced heuristic and statistical analysis tests on mail headers and bod",2001-04-20,h | t | t | p | s | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Spark,spark,spark.apache.org,http://spark.apache.org,,,,,big-data,"J | a | v | a | , |   | S | c | a | l | a | , |   | P | y | t | h | o | n | , |   | R | , |   | S | Q | L | , |   | J | D | B | C","Apache Spark is a fast and general engine for large-scale data processing. It offers high-level APIs in Java, Scala, Python and R, as well as a rich set of libraries including stream processing, machi",2014-03-01,h | t | t | p | : | / | / | w | w | w | . | a | p | a | c | h | e | . | o | r | g | / | l | i | c | e | n | s | e | s | / | L | I | C | E | N | S | E | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Steve,steve,steve.apache.org,http://steve.apache.org,,,,https://svn.apache.org/repos/asf/steve/trunk,library,"P | e | r | l | , |   | P | y | t | h | o | n","Apache STeVe is a collection of online voting tools, used by the ASF, to handle STV and other voting methods.",2014-06-13,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Storm,storm,storm.apache.org,http://storm.apache.org/,,,,http://git-wip-us.apache.org/repos/asf/storm.git,big-data,J | a | v | a,"Apache Storm is a distributed real-time computation system. Similar to how Hadoop provides a set of general primitives for doing batch processing, Storm provides a set of general primitives for doing ",2014-04-12,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Stormcrawler,stormcrawler,stormcrawler.apache.org,https://stormcrawler.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Streampark,streampark,streampark.apache.org,https://streampark.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Streampipes,streampipes,streampipes.apache.org,https://streampipes.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Struts,struts,struts.apache.org,http://struts.apache.org,,,,,web-framework,J | a | v | a,"The Apache Struts Project offers the Apache Struts 2 web framework which is a comprehensive and modular tooling stack for creating web-based Java applications. Struts 2, emerged from the WebWork 2 fra",2014-04-11,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Subversion,subversion,subversion.apache.org,http://subversion.apache.org/,,,,http://svn.apache.org/repos/asf/subversion/trunk,build-management,C,"Subversion exists to be universally recognized and adopted as an open-source, centralized version control system characterized by its reliability as a safe haven for valuable data; the simplicity of i",2000-02-29,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Superset,superset,superset.apache.org,https://superset.apache.org,apache/superset,,,https://github.com/apache/superset.git,"big-data, database, data-engineering, geospatial","J | a | v | a | S | c | r | i | p | t | , |   | P | y | t | h | o | n | , |   | T | y | p | e | s | c | r | i | p | t","Superset is a fast, lightweight, intuitive, business intelligence platform. Loaded with options, Superset makes it easy for users of all skill sets to explore and visualize their data, from simple lin",2024-04-10,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Synapse,synapse,synapse.apache.org,http://synapse.apache.org/,,,,http://svn.apache.org/repos/asf/synapse/trunk/java,"xml, http, network-server, network-client",J | a | v | a,"Apache Synapse is a simple and highly effective ESB, Web Services intermediary and SOA framework. It can be
added to your existing network very simply either as a services gateway or as an HTTP proxy.",2007-06-08,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Syncope,syncope,syncope.apache.org,http://syncope.apache.org/,,,,https://git-wip-us.apache.org/repos/asf/syncope.git,"identity-management, identity-provisioning, security",J | a | v | a,"Apache Syncope is an Open Source system for managing digital identities in enterprise environments, implemented in Java EE technology and released under Apache 2.0 license.

Identity management (or Id",2012-02-14,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Systemds,systemds,systemds.apache.org,https://systemds.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Tapestry,tapestry,tapestry.apache.org,http://tapestry.apache.org,,,,https://gitbox.apache.org/repos/asf/tapestry-5.git,web-framework,J | a | v | a,"Tapestry is a component-oriented Java web application framework.
    Its design emphasizes ease of use and developer productivity. Component
    classes are simple POJOs, with Tapestry using byte code",2013-02-11,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache rivet,tcl-rivet,tcl.apache.org,https://tcl.apache.org/rivet,,,,https://gitbox.apache.org/repos/asf/tcl-rivet.git,content,T | c | l,"Apache Rivet is a system for creating dynamic web content via the Tcl programming language integrated with Apache Web Server. It is designed to be fast, powerful and extensible, consume few system res",2021-11-13,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Websh,tcl-websh,tcl.apache.org,http://tcl.apache.org/websh,,,,http://svn.apache.org/repos/asf/tcl/websh/trunk,"web-framework, httpd-module","C | , |   | T | c | l","Websh is a rapid development environment for building powerful, fast, and reliable web applications in Tcl. Websh is versatile and handles everything from HTML generation to data-base driven one-to-on",2006-03-30,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Teaclave,teaclave,teaclave.apache.org,https://teaclave.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Tez,tez,tez.apache.org,http://tez.apache.org,,,,https://gitbox.apache.org/repos/asf/tez.git,big-data,J | a | v | a,,2014-11-21,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Thrift,thrift,thrift.apache.org,http://thrift.apache.org,apache/thrift,,,https://github.com/apache/thrift.git,"http, library, network-client, network-server","C | , |   | C | # | , |   | C | + | + | , |   | D | , |   | D | a | r | t | , |   | D | e | l | p | h | i | , |   | E | r | l | a | n | g | , |   | G | o | , |   | H | a | x | e | , |   | J | a | v | a | , |   | J | a | v | a | S | c | r | i | p | t | , |   | n | o | d | e | . | j | s | , |   | O | C | a | m | l | , |   | P | e | r | l | , |   | P | H | P | , |   | P | y | t | h | o | n | , |   | R | u | s | t | , |   | S | m | a | l | l | t | a | l | k","Apache Thrift allows you to define data types and service interfaces in a simple definition file. Taking that file as input, the compiler generates code to be used to easily build RPC clients and serv",2012-04-14,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Tika,tika,tika.apache.org,https://tika.apache.org,apache/tika,,,https://github.com/apache/tika.git,"content, library",J | a | v | a,"The Apache Tika toolkit is an ASFv2 licensed open source tool for extracting information 
    from digital documents. Tika allows search engines, content management systems and other 
    applications",2007-03-22,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Tinkerpop,tinkerpop,tinkerpop.apache.org,https://tinkerpop.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache Tomcat,tomcat,tomcat.apache.org,http://tomcat.apache.org/,,,,https://gitbox.apache.org/repos/asf/tomcat.git,"network-server, http, javaee",J | a | v | a,"Apache Tomcat is a web server that is an open source software
    implementation of the Java Servlet, JavaServer Pages, Java Expression
    Language and Java WebSocket technologies. The Java Servlet, ",2006-01-27,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache TomEE,tomee,tomee.apache.org,http://tomee.apache.org,,,,http://svn.apache.org/viewvc/tomee/tomee/trunk/,network-server,J | a | v | a,"Apache TomEE Web Profile delivers Servlets, JSP, JSF, JTA, JPA, CDI, Bean Validation and EJB
              Lite. Apache TomEE Plus has all the features of TomEE with the addition of JAX-RS (RESTfull S",1999-01-01,h | t | t | p | s | : | / | / | s | v | n | . | a | p | a | c | h | e | . | o | r | g | / | r | e | p | o | s | / | a | s | f | / | t | o | m | e | e | / | t | o | m | e | e | / | t | r | u | n | k | / | L | I | C | E | N | S | E,2026-06-29T23:06:31+00:00
Apache Traffic Server,trafficserver-traffic_server,trafficserver.apache.org,https://trafficserver.apache.org,,,,https://git-wip-us.apache.org/repos/asf/trafficserver.git,http,C | + | +,"Apache Traffic Server is fast, scalable and extensible HTTP/1.1 compliant caching proxy server. ATS can be used as a reverse, forward or even transparent HTTP proxy.
    ",2011-04-08,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Training,training,training.apache.org,https://training.apache.org,,,,,no-tlp-doap,,,,,2026-06-29T23:06:31+00:00
Apache TsFile,tsfile,tsfile.apache.org,https://tsfile.apache.org,apache/tsfile,,,https://github.com/apache/tsfile.git,"big-data, iot, java, python, c++, c","J | a | v | a | , |   | C | + | + | , |   | C | , |   | P | y | t | h | o | n","TsFile is a high-performance columnar storage file format designed for industrial time-series data, featuring multi-language interfaces, high compression ratios, high read/write throughput, and fast r",2024-02-20,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
