repo,2021,2022,2023,2024,2025,2021-2025
acidanthera/brcmpatchram,2,2,2,1,1,2
acidanthera/lilu,2,2,2,2,1,2
acidanthera/opencorepkg,3,3,3,1,2,3
acidanthera/virtualsmc,2,2,2,2,1,2
acidanthera/whatevergreen,2,2,1,3,1,2
acidicoala/screamapi,1,1,1,,1,1
acidicoala/smokeapi,,1,1,,1,1
acl-dev/acl,1,1,1,1,1,1
acm-clan/algorithm-stone,1,1,1,,,1
acornjs/acorn,,,,,,1
acornjs/acorn-jsx,,,,,,2
acoustid/chromaprint,1,1,,,2,1
activeloopai/deeplake,3,2,2,3,1,3
actor-framework/actor-framework,1,1,1,1,1,1
ada-url/ada,,1,1,1,1,1
adafruit/adafruit-gfx-library,2,2,2,2,2,4
adafruit/adafruit_learning_system_guides,5,3,2,2,2,4
adafruit/adafruit_neopixel,3,2,2,3,3,5
adafruit/adafruit_sensor,,2,1,,1,2
adafruit/adafruit_ssd1306,2,2,2,2,1,4
adafruit/dht-sensor-library,2,1,1,,,2
adamdunkels/uip,,,,,,
adamstark/audiofile,1,1,1,1,1,1
adamyaxley/obfuscate,1,1,2,1,,1
adaptivecpp/adaptivecpp,2,1,1,1,2,2
adaptix-framework/adaptixc2,,,,1,1,1
adaway/adaway,1,1,1,1,1,1
add-sp/ngx_waf,1,1,,,1,1
addy-dclxvi/almighty-dotfiles,,,,,,
ading2210/linuxpdf,,,,,1,1
adishavit/argh,1,1,1,,1,1
adnanaziz/epijudge,,,,,,
adobe-type-tools/afdko,1,1,1,1,1,1
adobe/react-spectrum,,,,,,3
adoxa/ansicon,,,,,,
adrianlopezroche/fdupes,,1,,1,1,1
adsr/phpspy,1,1,1,1,1,1
aergoio/litetree,,,,,,
aerospike/aerospike-server,1,1,1,1,4,1
afiskon/stm32-ssd1306,2,1,2,1,1,3
aflplusplus/aflplusplus,,,,,,
afritz1/opentesarena,,,,,,
agauniyal/rang,1,1,,,,1
agavrel/42_cheatsheet,1,,,,,1
agibottech/agibot_x1_infer,,,,,,
agile6v/awesome-nginx,1,,1,2,2,3
agronholm/anyio,,,,,,1
agronholm/exceptiongroup,,,,,,1
aguinet/wannakey,,,,,,
agwa/git-crypt,1,1,,1,1,1
ahrm/sioyek,1,1,1,1,1,1
ahxr/ghost,,,,,,
ai-winter/ros_motion_planning,,,1,2,1,2
ai/nanoid,,,,,,1
aiekick/imguifiledialog,1,1,1,1,1,1
aimrt/aimrt,,,,2,1,1
aio-libs/aiobotocore,,,,,,3
aio-libs/aiohappyeyeballs,,,,,,
aio-libs/aiohttp,2,1,1,1,1,4
aio-libs/aiosignal,,,,,,9
aio-libs/async-timeout,,,,,,21
aio-libs/frozenlist,,,,,,15
aio-libs/multidict,,,,,,2
aio-libs/propcache,,,,,,3
aio-libs/yarl,,,,,,3
aiqinxuancai/discord-proxy,1,1,1,1,1,1
air14/hyperhide,1,1,1,,,1
aircrack-ng/aircrack-ng,1,2,1,1,1,2
aircrack-ng/rtl8188eus,2,2,1,1,1,2
airlegend/aitrack,1,1,,,,1
airockchip/rknn-toolkit2,,1,,,,1
airockchip/rknn_model_zoo,,1,,,,1
airwindows/airwindows,1,1,1,1,1,1
aitorzip/deepgtav,,,,,,
aixed/wechat-hook,,1,1,1,1,1
aiyaapp/aiyaeffectsandroid,1,1,,,1,1
ajv-validator/ajv,,,,,,1
ajv-validator/ajv-formats,,,,,,1
ajv-validator/ajv-keywords,,,,,,1
ajweeks/flexengine,,,,,,
akai-katto/dandere2x,1,1,,,,1
akemin-dayo/appsync,1,1,1,1,,1
akheron/jansson,1,1,2,1,1,1
akopytov/sysbench,1,,1,,1,1
akospasztor/stm32-bootloader,,,,,,
aksnzhy/xlearn,,1,,,,1
akylas/oss-documentscanner,,1,1,1,1,1
alan-crl/inkeys,,,1,1,1,1
alandefreitas/matplotplusplus,1,4,1,2,4,2
albar965/littlenavmap,1,1,1,1,1,1
albertlauncher/albert,1,1,1,1,1,1
albertodemichelis/squirrel,,1,2,2,,4
albfan/miraclecast,1,1,1,1,1,1
aldostools/webman-mod,1,1,1,1,1,1
alecthomas/entityx,1,,1,,1,2
alekmaul/pvsneslib,1,1,1,1,1,1
aleksoid1978/mpc-be,1,1,1,1,1,1
aleksoid1978/videorenderer,1,1,1,1,1,1
alembic/alembic,1,1,1,1,1,1
alephsecurity/xnu-qemu-arm64,1,,,,,1
alex-spataru/qsimpleupdater,1,1,1,2,1,2
alex313031/thorium,,,,,,
alexaltea/orbital,1,,1,1,,1
alexandrerouma/sdrplusplus,1,1,1,1,1,1
alexays/waybar,3,4,6,5,4,8
alexbatalov/fallout1-ce,,,1,1,1,1
alexbatalov/fallout2-ce,,1,1,1,1,1
alexcrichton/tar-rs,,,,,,1
alexdobin/star,1,1,1,1,,1
alexei/sprintf.js,,,,,,1
alexeyab/yolo_mark,,,,,,
alexeyraspopov/picocolors,,,,,,1
alexfanw/huster-cs,1,1,1,,,1
alexfru/smallerc,1,,,1,,1
alexgalhardo/software-engineering,,,,,1,1
alexgkendall/caffe-segnet,,,,,,
alexhuszagh/rust-lexical,,,,,,1
alexindigo/asynckit,,,,,,1
alexkay/spek,,1,1,,,1
alexliniger/mpcc,1,,,,,1
alfiecg24/trollinstallerx,,,,1,,1
alibaba/alios-things,1,3,1,,,3
alibaba/alisql,,1,,1,1,2
alibaba/andfix,,,,,,
alibaba/async_simple,,2,2,2,1,2
alibaba/euler,,,,,,
alibaba/gaiax,,1,1,1,1,1
alibaba/gcanvas,,,,,,
alibaba/graph-learn,1,2,2,1,1,2
alibaba/graphscope,,,,,,
alibaba/havenask,,,1,1,2,2
alibaba/loongcollector,2,3,5,3,4,5
alibaba/lvs,,,,,,
alibaba/mnn,1,4,2,2,2,3
alibaba/photonlibos,,1,1,2,3,2
alibaba/tair,,,,,,
alibaba/tengine,2,1,1,1,1,2
alibaba/tsar,,1,,,,1
alibaba/weex,2,1,1,1,,2
alibaba/xquic,1,3,2,3,2,4
alibaba/yalantinglibs,,2,2,1,1,2
alibaba/zvec,,,,,1,1
alibabaresearch/advancedliteratemachinery,,1,1,1,,2
alicevision/alicevision,1,2,2,1,2,2
alievk/avatarify-desktop,1,,1,,,2
alinshans/mytinystl,1,2,1,1,,3
alivetoolkit/alive2,1,1,1,1,1,1
allenk/geminiwatermarktool,,,,,1,1
alliedmodders/sourcemod,4,6,4,2,2,5
allinurl/goaccess,1,1,1,1,1,1
almamu/linux-wallpaperengine,1,1,1,1,1,1
alols/xcape,,,,,,
aloshi/emulationstation,,,,,,
alpha-liu-01/speedynote,,,,,1,1
altdesktop/playerctl,2,,,,,2
altramayor/f3,1,1,1,1,4,3
altramayor/gatekeeper,1,1,1,1,1,1
am0nsec/hellsgate,1,,,,,1
amadvance/snapraid,1,1,1,1,1,1
amanieu/asyncplusplus,1,1,,,,2
amanieu/parking_lot,,,,,,1
ambrosiogabe/mathanimation,1,1,1,1,,1
amerkoleci/vortice.windows,1,1,1,1,1,1
amhndu/simplenes,,2,1,2,1,1
ammarahm-ed/react-native-mmkv-storage,1,1,1,1,1,1
ammen99/wf-recorder,1,3,2,3,4,5
amnezia-vpn/amnezia-client,1,2,2,3,3,2
amov-lab/prometheus,1,2,3,1,2,3
amule-project/amule,1,2,2,1,2,2
amzeratul/halley,1,1,1,1,1,1
anael-seghezzi/ctoy,,1,1,1,,1
analogdevicesinc/no-os,2,3,3,6,5,4
andersbakken/rtags,1,1,1,1,1,1
andialbrecht/sqlparse,,,,,,1
andlabs/libui,,,,,,
andmarti1424/sc-im,1,1,1,1,1,1
andreaorru/laines,,,,,1,1
andreas-mausch/whatsapp-viewer,1,1,,,,1
andreasfertig/cppinsights,1,1,1,1,1,1
andrei-markeev/ts2c,,,,1,1,1
andrewrk/libsoundio,,1,1,,,1
andrewssobral/bgslibrary,,,,,,
andrivet/advobfuscator,,,,,1,1
android/ndk-samples,1,1,2,2,2,1
ands/lightmapper,,1,,,,1
andyperlitch/jsbn,,,,,,1
anestisb/vdexextractor,,,,,,
angband/angband,1,1,1,1,1,1
ange-yaghi/engine-sim,1,1,1,,,1
angelkitty/review_the_national_post-graduate_entrance_examination,,,,,,
angelmonica126/graphicalgorithm,1,1,,,,1
angelo1211/hybridrenderingengine,,,,,,
angular/angular-cli,1,2,2,2,2,2
angusjohnson/clipper2,,,,,,
anhkgg/superdllhijack,1,,,,,1
anhkgg/superrdp,1,1,1,,,1
anhkgg/superwechatpc,,,,,,
ankerleng/cpp-0-1-resource,,,,,,
ankitdhall/lidar_camera_calibration,1,,1,,,1
annotated-types/annotated-types,,,,,,2
ansem-sod/picofly,,,1,,,1
answer-huang/dsymtools,,,1,1,,1
answerdotai/gpu.cpp,,,,1,1,1
ansyun/dpdk-ans,1,,,,,1
anthwlock/untrunc,1,,1,1,3,1
antimicrox/antimicrox,1,1,1,1,3,1
antimof/uxplay,1,1,1,1,1,1
antirez/disque,,,,,,
antirez/dump1090,,,,1,,1
antirez/hping,,,,,,
antirez/iris.c,,,,,,
antirez/kilo,,,,,,
antirez/linenoise,,,1,1,1,1
antirez/neural-redis,,,,,,
antirez/rax,,,,,,
antirez/sds,,1,,,1,1
antirez/smallchat,,,1,,,1
antirez/smaz,,,,,,
antirez/voxtral.c,,,,,,
antoniococo/remotepotato0,1,1,,,,1
antoniococo/roguepotato,,,,,,
antonk52/lilconfig,,,,,,1
antsx/ants,1,1,1,1,1,1
anttwo/sugar,,,1,1,,1
any1/wayvnc,1,1,1,1,1,1
anybotics/elevation_mapping,,,,,,
anybotics/grid_map,1,3,4,2,1,3
anyrtcio-community/anyrtc-rtmp-opensource,1,1,1,1,1,1
aoapc-book/aoapc-bac2nd,,,,,,
aomediacodec/libavif,1,2,3,2,2,2
aorimn/dislocker,2,1,1,,3,6
apache/age,2,4,3,2,1,4
apache/airflow,4,5,6,9,8,20
apache/arrow-rs,,,,,,12
apache/brpc,3,5,4,2,2,6
apache/cloudberry,2,10,10,5,4,12
apache/guacamole-server,1,2,2,2,1,2
apache/httpd,2,2,3,2,2,2
apache/impala,7,5,5,6,5,6
apache/incubator-pegasus,2,3,2,2,1,3
apache/kudu,2,2,2,1,1,2
apache/kvrocks,2,3,3,2,2,3
apache/mesos,1,1,1,1,,1
apache/nuttx,5,6,9,14,12,13
apache/openoffice,1,1,1,1,1,1
apache/singa,2,2,2,4,5,4
apache/thrift,2,2,2,2,3,2
apache/trafficserver,4,6,6,4,4,6
aphrodite-engine/aphrodite-engine,,,1,1,1,1
apitrace/apitrace,1,1,2,2,1,1
apolloauto/apollo,4,3,3,1,1,6
apoorvnandan/tensor.h,,,,1,1,1
appimage/appimagekit,1,1,1,1,,1
appjs/appjs,,,,,,
apple-oss-distributions/xnu,,1,1,1,1,1
apple/darwin-xnu,,,,,,
apple/foundationdb,7,6,6,3,4,8
applenob/cpp_primer_practice,2,3,2,1,1,7
appleseedhq/appleseed,2,1,1,,1,3
appneta/tcpreplay,1,1,1,1,1,1
appspa/app-space,,,1,1,,1
appunite/androidffmpeg,,,,,,
apress/ray-tracing-gems,1,,,,,1
april-zju/lidar_imu_calib,,,,,,
aprilrobotics/apriltag,2,3,3,1,2,1
apsaradb/polardb-for-postgresql,3,4,3,4,5,4
arangodb/arangodb,2,4,4,4,3,4
aras-p/clangbuildanalyzer,2,1,1,1,1,1
aras-p/glsl-optimizer,,,,,,
aras-p/toypathtracer,1,1,1,1,1,1
aravisproject/aravis,1,1,1,1,1,1
archagon/sensible-side-buttons,,,,,,
archlinux/linux,,,,,,
ardagnir/athame,,,,,,
ardatan/whatwg-node,,,,,,28
ardera/flutter-pi,1,1,1,1,1,1
ardour/ardour,2,2,2,2,1,2
arduino-irremote/arduino-irremote,,,,,,
arduino/arduinocore-avr,2,1,1,1,1,2
ardupilot/ardupilot,3,2,2,2,2,3
arendst/tasmota,1,1,2,2,2,2
ares-emulator/ares,3,2,2,3,3,3
argman/east,,,,,,
argotorg/solidity,2,3,2,3,2,3
aria2/aria2,1,1,1,1,,1
arinerron/cve-2022-0847-dirtypipe-exploit,,1,,,,1
aristocratos/btop,1,2,2,2,2,2
aristocratos/btop4win,,1,,1,1,1
arjun024/mkernel,,,,,,
arkdb/inception,,1,,,,1
arkhipenko/taskscheduler,1,1,1,1,1,1
arkhipov/temporal_tables,1,,1,1,,1
arkime/arkime,1,1,1,1,1,1
arkingc/note,,,1,,,1
arm-software/arm-trusted-firmware,6,6,7,8,6,8
arm-software/armnn,5,4,3,4,2,5
arm-software/astc-encoder,1,1,1,1,1,1
arm-software/computelibrary,5,5,4,4,3,7
arm-software/ml-kws-for-mcu,,,,,,
armink/cmbacktrace,1,2,1,2,1,3
armink/easyflash,1,1,2,,1,2
armink/easylogger,1,2,1,2,,4
armink/flashdb,1,1,1,5,2,1
armink/freemodbus_slave-master-rtt-stm32,1,,,,,1
armink/sfud,2,2,2,1,1,4
armmbed/daplink,1,2,1,1,1,2
armmbed/mbed-os,2,1,1,1,,2
armon/bloomd,,1,,,,1
armory3d/armortools,1,1,1,1,1,1
armory3d/armory,2,3,2,2,1,3
arnaud-lb/php-rdkafka,1,1,2,1,1,1
arq5x/bedtools2,2,2,1,1,1,1
arrayfire/arrayfire,1,1,1,2,1,1
artelnics/opennn,2,2,3,1,2,3
artem-ogre/cdt,1,1,1,1,1,1
arthepsy/cve-2021-4034,,1,,,,1
arthursonzogni/diagon,1,1,1,1,1,1
arthursonzogni/ftxui,1,1,1,2,1,1
artifexsoftware/mupdf,2,2,2,2,2,2
artikash/textractor,1,1,1,,,1
artivis/manif,1,1,1,1,1,1
arturadib/node-qt,,,,,,
arut/nginx-rtmp-module,1,,,1,,1
arvidn/libtorrent,1,1,1,1,1,1
arx/arxlibertatis,1,1,1,1,,1
arximboldi/immer,1,1,3,1,1,2
asb2m10/dexed,1,1,1,1,1,1
asc-community/mxengine,1,1,1,1,,1
ascotbe/kernelhub,1,1,1,,,1
asdcorp/ohook,,,1,1,,1
aseprite/aseprite,1,1,1,1,1,1
asg017/sqlite-vec,,,,1,1,1
asg017/sqlite-vss,,1,1,1,,1
ashampoosystems/boden,,,,,,
ashima/webgl-noise,1,,,1,,1
ashishgup1/competitive-coding,,,,,,
ashtf8/pocketmage_pda,,,,1,2,1
ashvardanian/less_slow.cpp,,1,1,1,1,1
ashvardanian/simsimd,,,1,1,1,1
ashvardanian/stringzilla,,1,1,1,1,1
aslody/turbodex,,,,,,
aslody/whale,,,,,,
asmjit/asmjit,1,1,1,1,1,1
asmuth/clip,,,,,,
asmvik/skhd,,,1,,1,1
asmvik/yabai,1,1,1,1,1,1
aspjt/dungeontemplatelibrary,1,1,1,1,1,1
assert-rs/snapbox,,,,,,1
assimp/assimp,1,1,1,1,1,1
astanin/python-tabulate,,,,,,
asterisk/asterisk,3,2,2,2,2,3
astral-sh/ruff,1,1,2,3,4,6
astrand/xclip,1,1,1,1,1,2
astrathreshold/oled-ui-astra,,,,1,1,1
astronautlevel2/anemone3ds,2,1,,1,1,1
async-profiler/async-profiler,1,1,1,1,2,1
atar-axis/xpadneo,1,1,1,1,1,1
ataradov/usb-sniffer,,,1,1,2,1
atc1441/atc_mithermometer,1,1,1,,1,1
atcoder/ac-library,1,2,1,1,1,1
atmosphere-nx/atmosphere,1,1,1,1,1,1
atomicobject/heatshrink,,,,,,
attractivechaos/klib,1,,1,1,1,1
aubio/aubio,,,,,,
auburn/fastnoise2,1,1,1,1,1,1
audacious-media-player/audacious,1,2,1,1,1,1
audacity/audacity,2,1,1,4,3,2
audio4linux/jdsp4linux,1,1,1,1,1,1
audiorouterdev/audio-router,,,,,,
audreyt/node-webworker-threads,1,,,,,1
auth0/node-jwa,,,,,,2
autoas/as-deprecated,1,,1,,,1
autodiff/autodiff,1,1,1,2,1,1
autohotkey/autohotkey,1,1,1,1,1,1
autohotkey/autohotkey-v1.0,,1,,,,1
autotools-mirror/autoconf,,,,,,3
autotools-mirror/libtool,,,,,,27
autotools-mirror/m4,,,,,,1
autowarefoundation/autoware_universe,9,8,6,10,12,14
avahi/avahi,1,3,1,1,1,1
avast/retdec,2,3,2,1,1,2
avrdudes/avrdude,1,2,1,1,1,1
awawa-dev/hyperhdr,1,1,1,1,1,1
awesome-harmonyos/harmonyos,1,,,,,1
aws/aws-cli,1,1,1,1,1,2
aws/aws-iot-device-sdk-embedded-c,5,4,5,2,4,8
aws/aws-sdk-cpp,2,2,2,1,1,2
aws/aws-sdk-js-crypto-helpers,,,,,,11
aws/aws-sdk-js-v3,1,1,2,2,1,158
aws/pgactive,1,,1,1,1,1
aws/s2n-tls,3,4,4,4,3,4
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,3,2,10,11,3,7
axboe/fio,3,2,2,2,3,3
axboe/liburing,2,2,1,1,2,1
axel-download-accelerator/axel,,,,,,
axiomatic-systems/bento4,1,1,1,2,2,2
axios/axios,,,,,,8
axmolengine/axmol,1,1,1,1,1,1
axxaxx/axxsolder,,,1,1,1,1
ayoubfaouzi/al-khaser,1,1,2,2,2,5
ayoubfaouzi/cpu-internals,1,,,,,1
ayushsharma82/esp-dash,1,1,1,1,1,1
azagaya/laigter,1,1,1,1,1,1
azahar-emu/azahar,4,3,4,2,1,4
azerothcore/azerothcore-wotlk,7,5,4,5,4,8
azure/azure-sdk-for-js,7,4,3,4,4,10
azure/azure-sdk-for-python,8,7,6,6,6,12
azure/msrest-for-python,,,,,,1
azuread/microsoft-authentication-library-for-python,,,,,,1
b-con/crypto-algorithms,,,,,,
b4rtaz/distributed-llama,,,1,1,1,1
b4winckler/macvim,,,,,,
babel/babel,2,2,2,2,2,4
babel/babel-polyfills,,,,,,1
babelouest/ulfius,1,1,1,1,,1
babitmf/bmf,,1,3,2,3,4
baidu-research/deepbench,,,,,,
baidu/anyq,,,,,,
baidu/baikaldb,1,2,2,2,1,2
baidu/bfs,,,,,,
baidu/bigflow,,1,,,,1
baidu/braft,2,1,1,2,,3
baidu/dperf,1,1,1,1,1,1
baidu/familia,1,,,,,1
baidu/lac,1,,,,,1
baidu/openrasp,2,3,1,,1,3
baidu/sofa-pbrpc,,1,,,,1
baidu/tera,,,,,,
bakkeby/dwm-flexipatch,1,1,1,1,1,1
balazsjako/imguicolortextedit,,,,,1,1
baldurk/renderdoc,1,1,1,2,1,1
balloonwj/flamingo,1,,1,1,,1
bambulab/bambustudio,,3,5,4,4,6
banach-space/llvm-tutor,1,1,3,1,2,1
bandarhl/bhtwitter,1,1,1,1,1,2
banjorecomp/banjorecomp,,,,,1,1
baoboa/pyqt5,,,,,,
bareflank/hypervisor,1,,,,,1
bareos/bareos,2,2,3,2,3,3
baresip/baresip,2,2,2,2,2,2
barry-ran/qtscrcpy,1,1,1,1,2,1
bartobri/no-more-secrets,1,1,1,1,1,1
basedhardware/openglass,,,,2,1,2
basil00/windivert,1,1,,,,1
baskerville/bspwm,1,2,1,1,1,2
baskerville/sxhkd,1,1,1,,1,3
batchdrake/sigdigger,1,1,1,1,1,1
bats3c/darkloadlibrary,1,,,,,1
bats3c/shad0w,,,,,,
battelle/movfuscator,,,,,,
baumgarr/nixnote2,,,,,,
bb-qq/r8152,,,,,,
bbc/audiowaveform,1,1,1,1,1,1
bblanchon/arduinojson,1,1,1,1,1,1
bbuchfink/diamond,1,1,1,1,1,1
bcn3d/bcn3d-moveo,,,,,,
bcrypt-ruby/bcrypt-ruby,1,1,2,2,1,3
bdamele/icmpsh,,,,,,
bdring/fluidnc,1,1,1,1,1,1
bdwgc/bdwgc,1,1,1,1,1,1
beanstalkd/beanstalkd,2,1,1,,2,2
beatgammit/base64-js,,,,,,1
beefytech/beef,1,1,1,1,1,1
begeekmyfriend/bplustree,,1,1,,,1
begeekmyfriend/leetcode,1,,1,1,1,1
begeekmyfriend/yasea,1,,,1,,1
begla/intrinsic,1,,1,,,1
behaviortree/behaviortree.cpp,1,1,1,1,1,1
bellard/mquickjs,,,,,2,2
bellard/quickjs,1,1,1,1,1,1
ben-strasser/fast-cpp-csv-parser,,,,,,
benbuck/rbtray,1,1,,,1,1
benhoyt/inih,,,,,,
benjamin-dobell/heimdall,1,,,,,1
benjaminp/six,,,,,,1
benkuper/chataigne,1,1,1,1,1,1
bepaald/signalbackup-tools,1,1,1,1,1,1
berdav/cve-2021-4034,,1,,,,1
berkeley-abc/abc,1,1,1,1,1,1
bernardogiordano/checkpoint,3,1,1,1,1,1
berry-lang/berry,1,1,1,1,1,1
berthubert/googerteller,,1,,1,,1
bespokesynth/bespokesynth,1,1,1,2,2,1
besser82/libxcrypt,,,,,,1
betaflight/betaflight,2,2,2,3,1,3
bigtreetech/bigtreetech-skr-mini-e3,1,2,1,,1,2
bigtreetech/bigtreetech-skr-v1.3,,,,,,
bigtreetech/bigtreetech-touchscreenfirmware,4,3,2,1,1,4
bilibili/ijkplayer,1,,,,,1
bill-haku/kawaii-gcc,,,1,3,3,1
binbyu/reader,1,1,1,,1,1
bincode-org/bincode,,,,,,1
bingoogolapple/bgaqrcode-android,1,,,1,,1
binji/pokegb,1,,1,,,1
binomialllc/basis_universal,1,1,1,1,1,1
biometrics/openbr,1,1,1,2,2,1
bionus/imgbrd-grabber,1,1,1,1,1,1
bitcoin-abc/bitcoin-abc,5,3,3,2,2,3
bitcoin-core/secp256k1,2,2,2,2,2,3
bitcoin/bitcoin,5,4,4,4,4,5
bitcookies/winrar-keygen,1,1,1,1,1,1
bitcraze/crazyflie-firmware,3,3,1,2,2,4
bitdefender/bddisasm,1,1,2,1,1,2
bitfieldaudio/otto,1,1,1,,,1
bitflags/bitflags,,,,,,1
bitfunnel/nativejit,,,,,,
bitmaker-hub/nerdminer_v2,,,2,4,2,3
bitshares/bitshares-core,1,1,1,1,1,1
bittorrent/libutp,,,,,,
bjornbytes/lovr,1,1,1,1,1,1
bk138/gromit-mpx,1,1,1,1,1,1
bkaradzic/bgfx,1,1,1,1,1,1
blackarrowsec/redteam-research,1,1,1,1,,1
blackhole89/notekit,1,1,1,1,,1
blackymas/nspanel_ha_blueprint,,1,1,1,1,1
blakeembrey/array-flatten,,,,,,1
blakeembrey/change-case,,,,,,2
blasty/cve-2021-3156,,,,,,
blazingdb/blazingsql,2,,,,,2
blechschmidt/massdns,1,1,1,1,1,1
blend2d/blend2d,1,1,1,1,1,1
blender/blender,4,3,2,5,6,5
blindmindstudios/starruler2-source,,,,,,
blinker-iot/blinker-esp-idf,1,1,,,1,1
blinker-iot/blinker-library,1,1,1,,1,1
blinker-iot/blinker-nrf52,1,,,,,1
blitzer207/c-resource,,,,,,
blizzard/s2client-api,,,,,,
bloomberg/bde,3,3,3,2,2,3
bloomberg/blazingmq,,,3,3,3,3
bloomberg/comdb2,3,3,3,3,3,4
bloomberg/pystack,,,1,1,1,1
blosc/c-blosc,1,2,1,2,1,2
blueforcer/awtrix3,,,1,1,1,1
bluekitchen/btstack,1,1,1,1,1,1
bluematthew/wechatexporter,1,1,,,1,1
bluez/bluez,2,1,1,2,2,2
blurrypiano/littlevulkanengine,1,1,,,,1
bluss/bencher,,,,,,1
blynkkk/blynk-library,1,1,1,1,1,1
bmax121/kernelpatch,,,1,2,2,1
bminor/glibc,,,,,,260
bmorcelli/launcher,,,,1,1,1
bo3b/3dmigoto,,1,1,1,1,1
boazsegev/facil.io,1,,,1,1,2
bobbyanguelov/esoterica,,1,1,1,1,1
bobranten/ext4fsd,1,1,1,1,1,1
bochs-emu/bochs,1,2,2,1,1,1
bodmer/tft_espi,1,1,1,1,,1
boku7/bokuloader,1,1,1,,,1
bol-van/zapret,,,,2,3,4
bol-van/zapret2,,,,,1,1
bombela/backward-cpp,3,5,3,1,1,8
bonzaithepenguin/wikisort,1,,,,,1
boomingtech/piccolo,,6,2,,,6
boost-ext/di,2,2,2,1,1,2
boost-ext/sml,1,1,2,2,1,1
boost-ext/ut,1,3,3,3,2,5
boostorg/asio,1,1,1,1,1,1
boostorg/beast,1,2,1,1,1,2
boostorg/compute,1,,,1,1,1
boostorg/hana,1,1,1,1,1,1
boostorg/pfr,1,1,1,1,1,2
bootchk/resynthesizer,1,1,,,1,1
bootleg/ret-sync,1,2,1,1,1,1
bootlin/elixir,1,3,1,1,2,1
borndotcom/react-native-godot,,,,,1,1
boto/boto3,,,,,,1
boto/botocore,1,1,1,1,1,1
boto/s3transfer,,,,,,2
bozbez/win-capture-audio,1,1,,,,1
bpftrace/bpftrace,2,2,2,2,2,3
