repo,2021,2022,2023,2024,2025,2021-2025
abb128/livecaptions,0,77,86,1,7,171
abcminiuser/lufa,18,4,3,2,1,28
abcz316/skroot-linuxkernelroot,1,0,16,3,32,52
abishekvashok/cmatrix,11,5,3,0,0,19
ableton/link,46,27,27,9,20,129
abperiasamy/rtl8812au_8821au_linux,0,0,0,0,0,0
abrasive/shairport,0,0,0,0,0,0
abreheret/pixelannotationtool,6,0,0,0,0,6
abseil/abseil-cpp,17,233,327,258,427,1262
academysoftwarefoundation/materialx,162,263,261,259,349,1294
academysoftwarefoundation/opencolorio,192,89,119,92,62,554
academysoftwarefoundation/openexr,229,68,163,242,181,883
academysoftwarefoundation/openimageio,370,380,274,382,276,1682
academysoftwarefoundation/openshadinglanguage,122,187,129,115,104,657
academysoftwarefoundation/opentimelineio,134,111,26,53,64,388
academysoftwarefoundation/openvdb,605,430,131,237,219,1622
acados/acados,347,126,104,375,298,1250
acassen/keepalived,445,103,59,185,177,969
acaudwell/gource,6,21,3,4,4,38
acaudwell/logstalgia,1,6,2,0,1,10
aceinnolab/inkycal,25,42,338,149,34,588
achimdoebler/ugui,0,0,0,0,0,0
acidanthera/applealc,181,92,56,51,24,404
acidanthera/brcmpatchram,32,11,15,3,10,71
acidanthera/lilu,59,34,26,17,6,142
acidanthera/opencorepkg,915,466,341,143,77,1942
acidanthera/virtualsmc,58,12,14,16,10,110
acidanthera/whatevergreen,61,47,20,11,4,143
acidicoala/screamapi,37,28,21,0,9,95
acidicoala/smokeapi,0,22,44,0,183,249
acl-dev/acl,163,228,137,100,90,718
acm-clan/algorithm-stone,508,12,1,0,0,521
acornjs/acorn,0,0,0,0,0,1492
acornjs/acorn-jsx,0,0,0,0,0,486
acoustid/chromaprint,24,4,0,0,25,53
activeloopai/deeplake,2088,1300,1550,360,66,5364
actor-framework/actor-framework,234,198,568,353,302,1655
ada-url/ada,0,132,760,269,168,1329
adafruit/adafruit-gfx-library,24,16,13,5,11,69
adafruit/adafruit_learning_system_guides,1298,980,859,630,1060,4827
adafruit/adafruit_neopixel,46,8,8,15,28,105
adafruit/adafruit_sensor,0,8,17,0,2,27
adafruit/adafruit_ssd1306,33,15,3,9,10,70
adafruit/dht-sensor-library,5,2,2,0,0,9
adamdunkels/uip,0,0,0,0,0,0
adamstark/audiofile,11,18,43,8,26,106
adamyaxley/obfuscate,23,5,3,5,0,36
adaptivecpp/adaptivecpp,578,182,421,503,243,1927
adaptix-framework/adaptixc2,0,0,0,104,417,521
adaway/adaway,262,141,40,47,16,506
add-sp/ngx_waf,193,5,0,0,7,205
addy-dclxvi/almighty-dotfiles,0,0,0,0,0,0
ading2210/linuxpdf,0,0,0,0,20,20
adishavit/argh,7,10,1,0,1,19
adnanaziz/epijudge,0,0,0,0,0,0
adobe-type-tools/afdko,163,178,150,34,6,531
adobe/react-spectrum,0,0,0,0,0,5749
adoxa/ansicon,0,0,0,0,0,0
adrianlopezroche/fdupes,0,22,0,8,6,36
adsr/phpspy,11,17,6,6,3,43
aergoio/litetree,0,0,0,0,0,0
aerospike/aerospike-server,247,179,240,165,126,957
afiskon/stm32-ssd1306,6,7,13,7,3,36
aflplusplus/aflplusplus,0,0,0,0,0,0
afritz1/opentesarena,0,0,0,0,0,0
agauniyal/rang,5,1,0,0,0,6
agavrel/42_cheatsheet,18,0,0,0,0,18
agibottech/agibot_x1_infer,0,0,0,0,0,0
agile6v/awesome-nginx,2,0,13,10,3,28
agronholm/anyio,0,0,0,0,0,1159
agronholm/exceptiongroup,0,0,0,0,0,133
aguinet/wannakey,0,0,0,0,0,0
agwa/git-crypt,1,3,0,1,10,15
ahrm/sioyek,268,494,602,299,88,1751
ahxr/ghost,0,0,0,0,0,0
ai-winter/ros_motion_planning,0,0,330,68,57,455
ai/nanoid,0,0,0,0,0,1163
aiekick/imguifiledialog,90,66,91,70,28,345
aimrt/aimrt,0,0,0,92,393,485
aio-libs/aiobotocore,0,0,0,0,0,1009
aio-libs/aiohappyeyeballs,0,0,0,0,0,0
aio-libs/aiohttp,583,331,360,1408,712,8905
aio-libs/aiosignal,0,0,0,0,0,158
aio-libs/async-timeout,0,0,0,0,0,155
aio-libs/frozenlist,0,0,0,0,0,433
aio-libs/multidict,0,0,0,0,0,1109
aio-libs/propcache,0,0,0,0,0,106
aio-libs/yarl,0,0,0,0,0,1385
aiqinxuancai/discord-proxy,17,6,2,8,2,35
air14/hyperhide,8,13,5,0,0,26
aircrack-ng/aircrack-ng,127,130,408,78,2,745
aircrack-ng/rtl8188eus,8,17,14,1,1,41
airlegend/aitrack,21,60,0,0,0,81
airockchip/rknn-toolkit2,0,1,0,0,0,1
airockchip/rknn_model_zoo,0,1,0,0,0,1
airwindows/airwindows,70,26,71,50,58,275
aitorzip/deepgtav,0,0,0,0,0,0
aixed/wechat-hook,0,202,159,86,57,504
aiyaapp/aiyaeffectsandroid,6,2,0,0,2,10
ajv-validator/ajv,0,0,0,0,0,2481
ajv-validator/ajv-formats,0,0,0,0,0,106
ajweeks/flexengine,0,0,0,0,0,0
akai-katto/dandere2x,34,24,0,0,0,58
akemin-dayo/appsync,13,35,41,4,0,93
akheron/jansson,15,4,6,16,17,58
akopytov/sysbench,14,0,11,0,4,29
akospasztor/stm32-bootloader,0,0,0,0,0,0
aksnzhy/xlearn,0,2,0,0,0,2
akylas/oss-documentscanner,0,12,231,1455,510,2208
alan-crl/inkeys,0,0,9,144,173,326
alandefreitas/matplotplusplus,81,9,36,6,7,139
albar965/littlenavmap,602,585,500,602,212,2501
albertlauncher/albert,10,131,392,270,283,1086
albertodemichelis/squirrel,0,6,3,4,0,13
albfan/miraclecast,15,27,7,10,10,69
aldostools/webman-mod,362,379,127,120,87,1075
alecthomas/entityx,4,0,1,0,2,7
alekmaul/pvsneslib,154,333,416,175,71,1149
aleksoid1978/mpc-be,866,782,926,782,799,4155
aleksoid1978/videorenderer,205,152,207,172,142,878
alembic/alembic,55,19,23,14,15,126
alephsecurity/xnu-qemu-arm64,1,0,0,0,0,1
alex-spataru/qsimpleupdater,5,2,3,9,2,21
alex313031/thorium,0,0,0,0,0,0
alexaltea/orbital,88,0,1,2,0,91
alexandrerouma/sdrplusplus,277,203,150,236,41,907
alexays/waybar,170,286,369,314,141,1280
alexbatalov/fallout1-ce,0,0,63,7,4,74
alexbatalov/fallout2-ce,0,598,212,20,62,892
alexcrichton/tar-rs,0,0,0,0,0,523
alexdobin/star,108,36,17,2,0,163
alexei/sprintf.js,0,0,0,0,0,285
alexeyab/yolo_mark,0,0,0,0,0,0
alexeyraspopov/picocolors,0,0,0,0,0,89
alexfanw/huster-cs,2,1,6,0,0,9
alexfru/smallerc,4,0,0,22,0,26
alexgalhardo/software-engineering,0,0,0,0,1,1
alexgkendall/caffe-segnet,0,0,0,0,0,0
alexhuszagh/rust-lexical,0,0,0,0,0,726
alexindigo/asynckit,0,0,0,0,0,28
alexkay/spek,0,11,19,0,0,30
alexliniger/mpcc,2,0,0,0,0,2
alfiecg24/trollinstallerx,0,0,0,89,0,89
alibaba/alios-things,33,212,12,0,0,257
alibaba/alisql,0,2,0,1,2,5
alibaba/andfix,0,0,0,0,0,0
alibaba/async_simple,0,145,78,35,31,289
alibaba/euler,0,0,0,0,0,0
alibaba/gaiax,0,685,188,94,4,971
alibaba/gcanvas,0,0,0,0,0,0
alibaba/graph-learn,71,49,20,3,1,144
alibaba/graphscope,0,0,0,0,0,0
alibaba/havenask,0,0,29,10,10,49
alibaba/loongcollector,42,264,376,334,322,1338
alibaba/lvs,0,0,0,0,0,0
alibaba/mnn,104,33,34,52,682,905
alibaba/photonlibos,0,74,142,283,203,702
alibaba/tair,0,0,0,0,0,0
alibaba/tengine,18,59,100,2,2,181
alibaba/tsar,0,2,0,0,0,2
alibaba/weex,13,11,1,1,0,26
alibaba/xquic,1,63,64,31,30,189
alibaba/yalantinglibs,0,118,337,223,161,839
alibaba/zvec,0,0,0,0,7,7
alibabaresearch/advancedliteratemachinery,0,1,1,1,0,3
alicevision/alicevision,705,845,1270,464,455,3739
alievk/avatarify-desktop,6,0,1,0,0,7
alinshans/mytinystl,4,6,3,1,0,14
alivetoolkit/alive2,290,330,268,271,108,1267
allenk/geminiwatermarktool,0,0,0,0,27,27
alliedmodders/sourcemod,189,113,115,73,84,574
allinurl/goaccess,224,239,163,128,102,856
almamu/linux-wallpaperengine,76,102,139,56,70,443
alols/xcape,0,0,0,0,0,0
aloshi/emulationstation,0,0,0,0,0,0
alpha-liu-01/speedynote,0,0,0,0,500,500
altdesktop/playerctl,10,0,0,0,0,10
altramayor/f3,6,13,2,7,10,38
altramayor/gatekeeper,116,114,36,39,4,309
am0nsec/hellsgate,1,0,0,0,0,1
amadvance/snapraid,31,14,10,10,114,179
amanieu/asyncplusplus,2,2,0,0,0,4
amanieu/parking_lot,0,0,0,0,0,892
ambrosiogabe/mathanimation,17,98,38,1,0,154
amerkoleci/vortice.windows,195,194,51,35,22,497
amhndu/simplenes,0,40,1,11,22,74
ammarahm-ed/react-native-mmkv-storage,264,106,48,31,17,466
ammen99/wf-recorder,5,27,28,13,16,89
amnezia-vpn/amnezia-client,355,333,641,401,330,2060
amov-lab/prometheus,168,276,171,89,77,781
amule-project/amule,45,3,4,14,11,77
amzeratul/halley,983,1116,1041,856,802,4798
anael-seghezzi/ctoy,0,3,1,1,0,5
analogdevicesinc/no-os,367,753,871,608,630,3229
andersbakken/rtags,33,12,7,12,46,110
andialbrecht/sqlparse,0,0,0,0,0,1260
andlabs/libui,0,0,0,0,0,0
andmarti1424/sc-im,438,33,47,40,16,574
andreaorru/laines,0,0,0,0,1,1
andreas-mausch/whatsapp-viewer,28,2,0,0,0,30
andreasfertig/cppinsights,49,67,51,49,30,246
andrei-markeev/ts2c,0,0,0,27,39,66
andrewrk/libsoundio,0,2,1,0,0,3
andrewrk/node-pend,0,0,0,0,0,13
andrewssobral/bgslibrary,0,0,0,0,0,0
andrivet/advobfuscator,0,0,0,0,17,17
android/ndk-samples,12,66,9,6,4,97
ands/lightmapper,0,1,0,0,0,1
andyperlitch/jsbn,0,0,0,0,0,22
anestisb/vdexextractor,0,0,0,0,0,0
angband/angband,560,253,203,262,254,1532
ange-yaghi/engine-sim,4,192,1,0,0,197
angelkitty/review_the_national_post-graduate_entrance_examination,0,0,0,0,0,0
angelmonica126/graphicalgorithm,113,6,0,0,0,119
angelo1211/hybridrenderingengine,0,0,0,0,0,0
angular/angular-cli,1325,1302,1422,1378,1829,7256
angusjohnson/clipper2,0,0,0,0,0,0
anhkgg/superdllhijack,1,0,0,0,0,1
anhkgg/superrdp,44,14,3,0,0,61
anhkgg/superwechatpc,0,0,0,0,0,0
ankerleng/cpp-0-1-resource,0,0,0,0,0,0
ankitdhall/lidar_camera_calibration,19,0,7,0,0,26
annotated-types/annotated-types,0,0,0,0,0,84
ansem-sod/picofly,0,0,45,0,0,45
answer-huang/dsymtools,0,0,2,2,0,4
answerdotai/gpu.cpp,0,0,0,319,16,335
ansyun/dpdk-ans,1,0,0,0,0,1
anthwlock/untrunc,27,0,2,57,5,91
antimicrox/antimicrox,217,280,65,89,50,701
antimof/uxplay,393,453,157,93,123,1219
antirez/disque,0,0,0,0,0,0
antirez/dump1090,0,0,0,2,0,2
antirez/hping,0,0,0,0,0,0
antirez/iris.c,0,0,0,0,0,0
antirez/kilo,0,0,0,0,0,0
antirez/linenoise,0,0,11,1,3,15
antirez/neural-redis,0,0,0,0,0,0
antirez/rax,0,0,0,0,0,0
antirez/sds,0,1,0,0,1,2
antirez/smallchat,0,0,27,0,0,27
antirez/smaz,0,0,0,0,0,0
antirez/voxtral.c,0,0,0,0,0,0
antoniococo/remotepotato0,34,1,0,0,0,35
antoniococo/roguepotato,0,0,0,0,0,0
antonk52/lilconfig,0,0,0,0,0,136
antsx/ants,48,82,68,113,73,384
anttwo/sugar,0,0,18,13,0,31
any1/wayvnc,18,112,113,91,62,396
anybotics/elevation_mapping,0,0,0,0,0,0
anybotics/grid_map,17,18,12,8,4,59
anyrtcio-community/anyrtc-rtmp-opensource,8,41,15,1,1,66
aoapc-book/aoapc-bac2nd,0,0,0,0,0,0
aomediacodec/libavif,181,365,515,476,285,1822
aorimn/dislocker,12,3,7,0,16,38
apache/age,124,142,213,83,32,594
apache/airflow,2520,3004,3802,4253,6596,31149
apache/arrow,2278,2071,2215,1615,1240,16385
apache/arrow-rs,0,0,0,0,0,6967
apache/brpc,120,221,172,180,143,836
apache/cloudberry,214,673,957,603,388,2835
apache/guacamole-server,53,61,83,128,69,394
apache/httpd,376,337,361,252,138,1464
apache/impala,345,450,567,579,576,2517
apache/incubator-pegasus,379,306,268,214,88,1255
apache/kudu,377,292,288,224,255,1436
apache/kvrocks,177,439,514,540,457,2127
apache/mesos,33,29,1,121,0,184
apache/nuttx,3185,3678,3732,3817,2375,16787
apache/openoffice,268,183,340,313,552,1656
apache/singa,59,75,59,106,50,349
apache/thrift,171,190,103,147,166,777
apache/trafficserver,662,464,1131,723,535,3515
aphrodite-engine/aphrodite-engine,0,0,442,653,528,1623
apitrace/apitrace,239,117,64,31,59,510
apolloauto/apollo,467,837,65,44,2,1415
apoorvnandan/tensor.h,0,0,0,3,1,4
appimage/appimagekit,4,27,3,8,0,42
appjs/appjs,0,0,0,0,0,0
apple-oss-distributions/xnu,0,3,2,2,2,9
apple/darwin-xnu,0,0,0,0,0,0
apple/foundationdb,4570,5917,2482,624,516,14109
applenob/cpp_primer_practice,7,7,10,1,2,27
appleseedhq/appleseed,6,1,1,0,2,10
appneta/tcpreplay,63,54,47,56,33,253
appspa/app-space,0,0,45,3,0,48
appunite/androidffmpeg,0,0,0,0,0,0
apress/ray-tracing-gems,2,0,0,0,0,2
april-zju/lidar_imu_calib,0,0,0,0,0,0
aprilrobotics/apriltag,18,47,20,103,28,216
apsaradb/polardb-for-postgresql,2134,1518,462,449,423,4986
arangodb/arangodb,1360,1617,1811,911,615,6314
aras-p/clangbuildanalyzer,13,8,15,11,3,50
aras-p/glsl-optimizer,0,0,0,0,0,0
aras-p/toypathtracer,1,4,17,1,2,25
aravisproject/aravis,374,128,186,91,49,828
archagon/sensible-side-buttons,0,0,0,0,0,0
archlinux/linux,0,0,0,0,0,0
ardagnir/athame,0,0,0,0,0,0
ardatan/graphql-tools,0,0,0,0,0,2519
ardatan/whatwg-node,0,0,0,0,0,706
ardera/flutter-pi,51,95,285,74,32,537
ardour/ardour,2551,2625,1860,1481,1733,10250
arduino-irremote/arduino-irremote,0,0,0,0,0,0
arduino/arduinocore-avr,24,6,2,2,2,36
ardupilot/ardupilot,5547,4549,5092,4277,3924,23389
arendst/tasmota,2753,1939,1335,1409,906,8342
ares-emulator/ares,363,641,567,338,547,2456
argman/east,0,0,0,0,0,0
argotorg/solidity,2075,1251,896,1014,713,5949
aria2/aria2,21,24,41,13,0,99
arinerron/cve-2022-0847-dirtypipe-exploit,0,10,0,0,0,10
aristocratos/btop,326,218,176,101,218,1039
aristocratos/btop4win,0,99,0,1,5,105
arjun024/mkernel,0,0,0,0,0,0
arkdb/inception,0,8,0,0,0,8
arkhipenko/taskscheduler,6,6,6,7,107,132
arkhipov/temporal_tables,2,0,11,2,0,15
arkime/arkime,577,501,348,386,220,2032
arkingc/note,0,0,7,0,0,7
arm-software/arm-trusted-firmware,1249,1414,1735,1611,1764,7773
arm-software/armnn,505,403,394,250,69,1621
arm-software/astc-encoder,623,359,122,66,47,1217
arm-software/computelibrary,627,281,415,300,162,1785
arm-software/ml-kws-for-mcu,0,0,0,0,0,0
armink/cmbacktrace,1,6,4,4,1,16
armink/easyflash,1,5,3,0,1,10
armink/easylogger,4,11,5,5,0,25
armink/flashdb,41,35,76,18,5,175
armink/freemodbus_slave-master-rtt-stm32,1,0,0,0,0,1
armink/sfud,8,7,5,3,2,25
armmbed/daplink,415,47,29,5,5,501
armmbed/mbed-os,1577,131,77,31,0,1816
armon/bloomd,0,2,0,0,0,2
armory3d/armortools,687,333,451,536,1022,3029
armory3d/armory,461,483,338,141,423,1846
arnaud-lb/php-rdkafka,49,17,3,19,4,92
arq5x/bedtools2,29,15,16,2,2,64
arrayfire/arrayfire,44,173,213,32,69,531
artelnics/opennn,1314,643,280,596,725,3558
artem-ogre/cdt,39,105,55,12,22,233
arthepsy/cve-2021-4034,0,6,0,0,0,6
arthursonzogni/diagon,22,21,19,10,1,73
arthursonzogni/ftxui,178,122,126,63,128,617
artifexsoftware/mupdf,455,440,646,551,837,2929
artikash/textractor,107,23,12,0,0,142
artivis/manif,118,18,6,22,15,179
arturadib/node-qt,0,0,0,0,0,0
arut/nginx-rtmp-module,2,0,0,4,0,6
arvidn/libtorrent,450,337,147,84,120,1138
arx/arxlibertatis,1201,1228,215,36,0,2680
arximboldi/immer,30,104,33,130,10,307
asb2m10/dexed,36,29,2,62,22,151
asc-community/mxengine,71,1,62,2,0,136
ascotbe/kernelhub,40,9,12,0,0,61
asdcorp/ohook,0,0,5,1,0,6
aseprite/aseprite,585,563,569,580,485,2782
asg017/sqlite-vec,0,0,0,333,18,351
asg017/sqlite-vss,0,4,260,1,0,265
ashampoosystems/boden,0,0,0,0,0,0
ashima/webgl-noise,24,0,0,27,0,51
ashishgup1/competitive-coding,0,0,0,0,0,0
ashtf8/pocketmage_pda,0,0,0,18,231,249
ashvardanian/less_slow.cpp,0,12,9,86,230,337
ashvardanian/simsimd,0,0,291,575,137,1003
ashvardanian/stringzilla,0,4,238,468,1127,1837
aslody/turbodex,0,0,0,0,0,0
aslody/whale,0,0,0,0,0,0
asmjit/asmjit,27,39,73,39,41,219
asmuth/clip,0,0,0,0,0,0
asmvik/skhd,0,0,12,0,2,14
asmvik/yabai,91,152,106,274,55,678
aspjt/dungeontemplatelibrary,2,2,2,1,1,8
assert-rs/snapbox,0,0,0,0,0,1291
assimp/assimp,1058,659,632,248,207,2804
astanin/python-tabulate,0,0,0,0,0,0
asterisk/asterisk,344,296,265,194,249,1348
astral-sh/ruff,6,1386,4372,2502,4264,13145
astrand/xclip,5,1,1,2,3,12
astrathreshold/oled-ui-astra,0,0,0,101,1,102
astronautlevel2/anemone3ds,12,9,0,70,1,92
async-profiler/async-profiler,33,137,106,179,265,720
atar-axis/xpadneo,90,36,17,73,44,260
ataradov/usb-sniffer,0,0,25,3,5,33
atc1441/atc_mithermometer,42,4,1,0,7,54
atcoder/ac-library,34,7,29,3,10,83
atmosphere-nx/atmosphere,759,206,187,98,105,1355
atomicobject/heatshrink,0,0,0,0,0,0
attractivechaos/klib,8,0,5,3,4,20
aubio/aubio,0,0,0,0,0,0
auburn/fastnoise2,279,37,71,83,49,519
audacious-media-player/audacious,37,36,61,78,62,274
audacity/audacity,1645,1964,2027,1690,1268,8594
audio4linux/jdsp4linux,166,53,368,26,28,641
audiorouterdev/audio-router,0,0,0,0,0,0
audreyt/node-webworker-threads,2,0,0,0,0,2
autoas/as-deprecated,28,0,1,0,0,29
autodiff/autodiff,80,67,31,32,1,211
autohotkey/autohotkey,344,555,218,190,70,1377
autohotkey/autohotkey-v1.0,0,1,0,0,0,1
autotools-mirror/autoconf,0,0,0,0,0,5575
autotools-mirror/libtool,0,0,0,0,0,2464
autotools-mirror/m4,0,0,0,0,0,707
autowarefoundation/autoware_universe,1333,1817,2851,3145,1631,10777
avahi/avahi,1,29,73,51,97,251
avast/retdec,96,63,18,9,8,194
avrdudes/avrdude,118,701,713,1275,344,3151
awawa-dev/hyperhdr,112,100,63,73,61,409
awesome-harmonyos/harmonyos,1,0,0,0,0,1
aws/aws-cli,891,931,911,863,865,12857
aws/aws-iot-device-sdk-embedded-c,117,28,23,8,10,186
aws/aws-sdk-cpp,103,236,515,541,746,2141
aws/aws-sdk-js-crypto-helpers,0,0,0,0,0,153
aws/aws-sdk-js-v3,495,513,450,410,432,3603
aws/pgactive,1,0,202,32,14,249
aws/s2n-tls,382,369,379,408,442,1980
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,80,5,52,33,11,181
axboe/fio,231,278,241,192,182,1124
axboe/liburing,312,569,324,585,293,2083
axel-download-accelerator/axel,0,0,0,0,0,0
axiomatic-systems/bento4,34,36,23,31,21,145
axios/axios,0,0,0,0,0,1606
axmolengine/axmol,722,920,926,694,822,4084
axxaxx/axxsolder,0,0,156,440,91,687
ayoubfaouzi/al-khaser,12,1,4,8,9,34
ayoubfaouzi/cpu-internals,1,0,0,0,0,1
ayushsharma82/esp-dash,31,51,28,46,37,193
azagaya/laigter,120,2,25,17,28,192
azahar-emu/azahar,119,343,742,845,418,2467
azerothcore/azerothcore-wotlk,2381,2047,1895,1533,1551,9407
azure/azure-sdk-for-js,3342,2722,2115,2725,2858,19162
azure/azure-sdk-for-python,3061,3306,2899,3019,3391,19963
azuread/microsoft-authentication-library-for-python,0,0,0,0,0,1262
b-con/crypto-algorithms,0,0,0,0,0,0
b4rtaz/distributed-llama,0,0,86,193,113,392
b4winckler/macvim,0,0,0,0,0,0
babel/babel,818,686,621,596,493,17178
babel/babel-polyfills,0,0,0,0,0,435
babelouest/ulfius,78,128,48,21,0,275
babitmf/bmf,0,52,292,193,137,674
baidu-research/deepbench,0,0,0,0,0,0
baidu/anyq,0,0,0,0,0,0
baidu/baikaldb,20,48,18,22,8,116
baidu/bfs,0,0,0,0,0,0
baidu/bigflow,0,1,0,0,0,1
baidu/braft,43,13,17,7,0,80
baidu/dperf,45,100,42,60,21,268
baidu/familia,1,0,0,0,0,1
baidu/lac,1,0,0,0,0,1
baidu/openrasp,44,22,2,0,3,71
baidu/sofa-pbrpc,0,1,0,0,0,1
baidu/tera,0,0,0,0,0,0
bakkeby/dwm-flexipatch,79,83,44,24,19,249
balazsjako/imguicolortextedit,0,0,0,0,3,3
baldurk/renderdoc,949,826,641,1163,1119,4698
balloonwj/flamingo,1,0,1,3,0,5
bambulab/bambustudio,0,951,2445,1907,3114,8417
banach-space/llvm-tutor,42,41,15,17,15,130
bandarhl/bhtwitter,17,28,36,23,49,153
banjorecomp/banjorecomp,0,0,0,0,116,116
baoboa/pyqt5,0,0,0,0,0,0
bareflank/hypervisor,69,0,0,0,0,69
bareos/bareos,1019,1040,926,945,946,4876
baresip/baresip,638,654,275,261,199,2027
barry-ran/qtscrcpy,44,98,3,13,33,191
bartobri/no-more-secrets,7,4,2,2,2,17
basedhardware/openglass,0,0,0,49,3,52
basil00/windivert,3,3,0,0,0,6
baskerville/bspwm,17,8,8,5,3,41
baskerville/sxhkd,1,2,2,0,4,9
batchdrake/sigdigger,145,271,192,124,74,806
bats3c/darkloadlibrary,17,0,0,0,0,17
bats3c/shad0w,0,0,0,0,0,0
battelle/movfuscator,0,0,0,0,0,0
baumgarr/nixnote2,0,0,0,0,0,0
bb-qq/r8152,0,0,0,0,0,0
bbc/audiowaveform,41,38,55,17,13,164
bblanchon/arduinojson,166,127,254,143,52,742
bbuchfink/diamond,200,12,60,12,70,354
bcn3d/bcn3d-moveo,0,0,0,0,0,0
bcrypt-ruby/bcrypt-ruby,23,9,10,7,7,56
bdamele/icmpsh,0,0,0,0,0,0
bdring/fluidnc,650,488,310,265,230,1943
bdwgc/bdwgc,347,535,594,618,416,5771
beanstalkd/beanstalkd,3,10,2,0,7,22
beatgammit/base64-js,0,0,0,0,0,149
beefytech/beef,891,1020,222,398,546,3077
begeekmyfriend/bplustree,0,5,1,0,0,6
begeekmyfriend/leetcode,53,0,16,10,5,84
begeekmyfriend/yasea,11,0,0,1,0,12
begla/intrinsic,1,0,1,0,0,2
behaviortree/behaviortree.cpp,31,142,250,118,111,652
bellard/mquickjs,0,0,0,0,5,5
bellard/quickjs,1,4,11,67,6,89
ben-strasser/fast-cpp-csv-parser,0,0,0,0,0,0
benbuck/rbtray,7,7,0,0,6,20
benhoyt/inih,0,0,0,0,0,0
benjamin-dobell/heimdall,3,0,0,0,0,3
benjaminp/six,0,0,0,0,0,539
benkuper/chataigne,559,492,280,203,60,1594
bepaald/signalbackup-tools,59,92,296,269,244,960
berdav/cve-2021-4034,0,22,0,0,0,22
berkeley-abc/abc,126,111,193,286,319,1035
bernardogiordano/checkpoint,24,1,2,2,64,93
berry-lang/berry,142,62,54,44,31,333
berthubert/googerteller,0,36,0,5,0,41
bespokesynth/bespokesynth,911,153,181,145,117,1507
besser82/libxcrypt,0,0,0,0,0,857
betaflight/betaflight,581,679,403,307,602,2572
bigtreetech/bigtreetech-skr-mini-e3,6,3,1,0,4,14
bigtreetech/bigtreetech-skr-v1.3,0,0,0,0,0,0
bigtreetech/bigtreetech-touchscreenfirmware,306,143,85,36,4,574
bilibili/ijkplayer,8,0,0,0,0,8
bill-haku/kawaii-gcc,0,0,19,6,5,30
binbyu/reader,16,9,5,0,2,32
bingoogolapple/bgaqrcode-android,3,0,0,1,0,4
binji/pokegb,52,0,2,0,0,54
binomialllc/basis_universal,95,29,18,76,87,305
biometrics/openbr,173,15,12,13,26,239
bionus/imgbrd-grabber,493,431,244,177,17,1362
bitcoin-abc/bitcoin-abc,1361,1487,1776,1896,1201,7721
bitcoin-core/secp256k1,219,192,322,115,117,965
bitcoin/bitcoin,3585,3109,3105,3509,3154,16462
bitcookies/winrar-keygen,37,50,5,30,16,138
