repo,2021,2022,2023,2024,2025,2021-2025
adrianlopezroche/fdupes,0,0,0,0,0,0
adsr/phpspy,0,0,0,0,0,0
aergoio/litetree,0,0,0,0,0,0
aerospike/aerospike-server,0,0,0,0,2,2
afiskon/stm32-ssd1306,0,0,0,0,0,0
aflplusplus/aflplusplus,0,0,0,0,0,0
afritz1/opentesarena,0,0,0,0,0,0
agauniyal/rang,0,0,0,0,0,0
agavrel/42_cheatsheet,0,0,0,0,0,0
agibottech/agibot_x1_infer,0,0,0,0,0,0
agile6v/awesome-nginx,0,0,0,0,0,0
aguinet/wannakey,0,0,0,0,0,0
agwa/git-crypt,0,0,0,0,0,0
ahrm/sioyek,0,0,0,0,0,0
ahxr/ghost,0,0,0,0,0,0
ai-winter/ros_motion_planning,0,0,0,0,0,0
aiekick/imguifiledialog,0,0,0,0,0,0
aimrt/aimrt,0,0,0,0,0,0
aiqinxuancai/discord-proxy,0,0,0,0,0,0
air14/hyperhide,0,0,0,0,0,0
aircrack-ng/aircrack-ng,0,0,0,0,0,0
aircrack-ng/rtl8188eus,0,0,0,0,0,0
airlegend/aitrack,0,0,0,0,0,0
airockchip/rknn-toolkit2,0,0,0,0,0,0
airockchip/rknn_model_zoo,0,0,0,0,0,0
airwindows/airwindows,0,0,0,0,0,0
aitorzip/deepgtav,0,0,0,0,0,0
aixed/wechat-hook,0,0,0,0,0,0
aiyaapp/aiyaeffectsandroid,0,0,0,0,0,0
ajweeks/flexengine,0,0,0,0,0,0
akai-katto/dandere2x,1,0,0,0,0,1
akemin-dayo/appsync,0,0,0,0,0,0
akheron/jansson,0,0,0,1,0,1
akopytov/sysbench,0,0,0,0,0,0
akospasztor/stm32-bootloader,0,0,0,0,0,0
aksnzhy/xlearn,0,0,0,0,0,0
akylas/oss-documentscanner,0,0,0,0,0,0
alan-crl/inkeys,0,0,0,0,0,0
alandefreitas/matplotplusplus,0,0,0,0,0,0
albar965/littlenavmap,0,0,0,0,0,0
albertlauncher/albert,0,0,0,0,0,0
albertodemichelis/squirrel,0,0,0,0,0,0
albfan/miraclecast,0,0,0,0,0,0
aldostools/webman-mod,0,0,0,0,0,0
alecthomas/entityx,0,0,0,0,0,0
alekmaul/pvsneslib,0,0,0,0,0,0
aleksoid1978/mpc-be,0,0,0,0,0,0
aleksoid1978/videorenderer,0,0,0,0,0,0
alembic/alembic,0,0,0,0,0,0
alephsecurity/xnu-qemu-arm64,0,0,0,0,0,0
alex-spataru/qsimpleupdater,0,0,0,0,0,0
alex313031/thorium,0,0,0,0,0,0
alexaltea/orbital,0,0,0,0,0,0
alexandrerouma/sdrplusplus,0,0,0,0,0,0
alexays/waybar,0,0,0,1,1,1
alexbatalov/fallout1-ce,0,0,0,0,0,0
alexbatalov/fallout2-ce,0,0,0,0,0,0
alexdobin/star,0,0,0,0,0,0
alexeyab/yolo_mark,0,0,0,0,0,0
alexfanw/huster-cs,0,0,0,0,0,0
alexfru/smallerc,0,0,0,0,0,0
alexgalhardo/software-engineering,0,0,0,0,0,0
alexgkendall/caffe-segnet,0,0,0,0,0,0
alexkay/spek,0,0,0,0,0,0
alexliniger/mpcc,0,0,0,0,0,0
alfiecg24/trollinstallerx,0,0,0,0,0,0
alibaba/alios-things,0,0,0,0,0,0
alibaba/alisql,0,0,0,0,0,0
alibaba/andfix,0,0,0,0,0,0
alibaba/async_simple,0,0,0,0,0,0
alibaba/euler,0,0,0,0,0,0
alibaba/gaiax,0,0,0,0,0,0
alibaba/gcanvas,0,0,0,0,0,0
alibaba/graph-learn,0,1,1,0,0,1
alibaba/graphscope,0,0,0,0,0,0
alibaba/havenask,0,0,0,0,0,0
alibaba/loongcollector,0,0,0,0,0,0
alibaba/lvs,0,0,0,0,0,0
alibaba/mnn,0,0,0,1,0,1
alibaba/photonlibos,0,0,1,1,0,1
alibaba/tair,0,0,0,0,0,0
alibaba/tengine,0,0,0,0,0,0
alibaba/tsar,0,0,0,0,0,0
alibaba/weex,0,0,0,0,0,0
alibaba/xquic,0,0,0,0,0,0
alibaba/yalantinglibs,0,0,0,0,1,1
alibaba/zvec,0,0,0,0,0,0
alibabaresearch/advancedliteratemachinery,0,0,0,0,0,0
alicevision/alicevision,0,0,0,0,0,0
alievk/avatarify-desktop,0,0,0,0,0,0
alinshans/mytinystl,0,0,0,0,0,0
alivetoolkit/alive2,1,1,1,0,1,2
allenk/geminiwatermarktool,0,0,0,0,0,0
alliedmodders/sourcemod,0,0,1,1,1,1
allinurl/goaccess,0,0,0,0,0,0
almamu/linux-wallpaperengine,0,0,0,0,1,1
alols/xcape,0,0,0,0,0,0
aloshi/emulationstation,0,0,0,0,0,0
alpha-liu-01/speedynote,0,0,0,0,0,0
altdesktop/playerctl,0,0,0,0,0,0
altramayor/f3,0,0,0,0,0,0
altramayor/gatekeeper,0,0,0,0,0,0
am0nsec/hellsgate,0,0,0,0,0,0
amadvance/snapraid,0,0,0,0,0,0
amanieu/asyncplusplus,0,0,0,0,0,0
ambrosiogabe/mathanimation,0,0,0,0,0,0
amerkoleci/vortice.windows,0,1,0,0,0,1
amhndu/simplenes,0,0,0,0,0,0
ammarahm-ed/react-native-mmkv-storage,0,0,0,0,0,0
ammen99/wf-recorder,0,0,0,0,0,0
amnezia-vpn/amnezia-client,0,0,0,0,0,0
amov-lab/prometheus,0,0,0,0,0,0
amule-project/amule,0,0,0,0,0,0
amzeratul/halley,0,0,0,0,0,0
anael-seghezzi/ctoy,0,0,0,0,0,0
analogdevicesinc/no-os,0,0,0,0,0,0
andersbakken/rtags,0,0,0,0,0,0
andlabs/libui,0,0,0,0,0,0
andmarti1424/sc-im,0,0,0,0,0,0
andreaorru/laines,0,0,0,0,0,0
andreas-mausch/whatsapp-viewer,0,0,0,0,0,0
andreasfertig/cppinsights,0,0,0,0,0,0
andrei-markeev/ts2c,0,0,0,0,0,1
andrewrk/libsoundio,0,0,0,0,0,0
andrewssobral/bgslibrary,0,0,0,0,0,0
andrivet/advobfuscator,0,0,0,0,0,0
android/ndk-samples,0,0,0,0,0,0
ands/lightmapper,0,0,0,0,0,0
anestisb/vdexextractor,0,0,0,0,0,0
angband/angband,0,0,0,0,0,0
ange-yaghi/engine-sim,0,0,0,0,0,0
angelkitty/review_the_national_post-graduate_entrance_examination,0,0,0,0,0,0
angelmonica126/graphicalgorithm,0,0,0,0,0,0
angelo1211/hybridrenderingengine,0,0,0,0,0,0
angusjohnson/clipper2,0,0,0,0,0,0
anhkgg/superdllhijack,0,0,0,0,0,0
anhkgg/superrdp,0,0,0,0,0,0
anhkgg/superwechatpc,0,0,0,0,0,0
ankerleng/cpp-0-1-resource,0,0,0,0,0,0
ankitdhall/lidar_camera_calibration,0,0,0,0,0,0
ansem-sod/picofly,0,0,0,0,0,0
answer-huang/dsymtools,0,0,0,0,0,0
answerdotai/gpu.cpp,0,0,0,0,0,0
ansyun/dpdk-ans,0,0,0,0,0,0
anthwlock/untrunc,0,0,0,0,0,0
antimicrox/antimicrox,0,0,0,0,0,0
antimof/uxplay,0,0,0,0,0,0
antirez/disque,0,0,0,0,0,0
antirez/dump1090,0,0,0,0,0,0
antirez/hping,0,0,0,0,0,0
antirez/iris.c,0,0,0,0,0,0
antirez/kilo,0,0,0,0,0,0
antirez/linenoise,0,0,0,0,0,0
antirez/neural-redis,0,0,0,0,0,0
antirez/rax,0,0,0,0,0,0
antirez/sds,0,0,0,0,0,0
antirez/smallchat,0,0,0,0,0,0
antirez/smaz,0,0,0,0,0,0
antirez/voxtral.c,0,0,0,0,0,0
antoniococo/remotepotato0,0,0,0,0,0,0
antoniococo/roguepotato,0,0,0,0,0,0
antsx/ants,0,0,0,0,0,0
anttwo/sugar,0,0,0,0,0,0
any1/wayvnc,0,0,0,0,0,0
anybotics/elevation_mapping,0,0,0,0,0,0
anybotics/grid_map,0,0,0,0,0,0
anyrtcio-community/anyrtc-rtmp-opensource,0,0,0,0,0,0
aoapc-book/aoapc-bac2nd,0,0,0,0,0,0
aomediacodec/libavif,0,0,1,1,1,1
aorimn/dislocker,0,0,0,0,0,0
apache/age,0,0,0,1,1,1
apache/arrow,0,1,1,1,1,1
apache/brpc,0,0,0,0,0,0
apache/cloudberry,0,0,0,0,0,0
apache/guacamole-server,0,0,0,0,0,0
apache/httpd,0,0,0,0,0,0
apache/impala,0,0,0,0,0,0
apache/incubator-pegasus,0,0,1,1,1,1
apache/kudu,0,0,0,0,0,0
apache/kvrocks,0,0,0,0,0,0
apache/mesos,0,1,0,0,0,1
apache/nuttx,0,1,1,1,1,1
apache/openoffice,0,0,0,0,0,0
apache/singa,0,0,0,0,0,0
apache/thrift,0,1,1,1,1,1
apache/trafficserver,0,0,0,0,0,0
aphrodite-engine/aphrodite-engine,0,0,0,1,1,2
apitrace/apitrace,0,0,0,0,0,0
apolloauto/apollo,0,0,0,0,0,0
apoorvnandan/tensor.h,0,0,0,0,0,0
appimage/appimagekit,0,0,0,0,0,0
appjs/appjs,0,0,0,0,0,0
apple-oss-distributions/xnu,0,0,0,0,0,0
apple/darwin-xnu,0,0,0,0,0,0
apple/foundationdb,0,1,1,1,1,1
applenob/cpp_primer_practice,0,0,0,0,0,0
appleseedhq/appleseed,0,0,0,0,0,0
appneta/tcpreplay,0,0,0,0,0,0
appspa/app-space,0,0,0,0,0,0
appunite/androidffmpeg,0,0,0,0,0,0
apress/ray-tracing-gems,0,0,0,0,0,0
april-zju/lidar_imu_calib,0,0,0,0,0,0
aprilrobotics/apriltag,0,0,0,0,0,0
apsaradb/polardb-for-postgresql,0,0,0,1,1,1
arangodb/arangodb,0,0,1,0,1,1
aras-p/clangbuildanalyzer,0,0,0,0,0,0
aras-p/glsl-optimizer,0,0,0,0,0,0
aras-p/toypathtracer,0,0,0,0,0,0
aravisproject/aravis,0,0,0,0,0,0
archagon/sensible-side-buttons,0,0,0,0,0,0
ardagnir/athame,0,0,0,0,0,0
ardera/flutter-pi,0,0,0,0,0,0
ardour/ardour,0,0,0,0,0,0
arduino-irremote/arduino-irremote,0,0,0,0,0,0
arduino/arduinocore-avr,0,1,1,1,1,1
ardupilot/ardupilot,0,0,0,0,1,1
arendst/tasmota,0,0,0,0,0,0
ares-emulator/ares,0,0,0,0,0,0
argman/east,0,0,0,0,0,0
argotorg/solidity,0,0,0,0,0,0
aria2/aria2,0,0,0,1,0,1
arinerron/cve-2022-0847-dirtypipe-exploit,0,0,0,0,0,0
aristocratos/btop,0,0,0,0,1,1
aristocratos/btop4win,0,0,0,0,0,0
arjun024/mkernel,0,0,0,0,0,0
arkdb/inception,0,0,0,0,0,0
arkhipenko/taskscheduler,0,0,0,0,0,0
arkhipov/temporal_tables,0,0,0,0,0,0
arkime/arkime,1,1,1,1,2,2
arkingc/note,0,0,0,0,0,0
arm-software/arm-trusted-firmware,1,1,1,1,1,1
arm-software/armnn,0,0,0,0,0,0
arm-software/astc-encoder,0,0,0,0,0,0
arm-software/computelibrary,0,0,0,0,0,0
arm-software/ml-kws-for-mcu,0,0,0,0,0,0
armink/cmbacktrace,0,0,0,0,0,0
armink/easyflash,0,0,0,0,0,0
armink/easylogger,0,0,0,0,0,0
armink/flashdb,0,0,0,0,0,0
armink/freemodbus_slave-master-rtt-stm32,0,0,0,0,0,0
armink/sfud,0,0,0,0,0,0
armmbed/daplink,0,0,0,0,0,0
armmbed/mbed-os,0,0,0,0,0,0
armon/bloomd,0,0,0,0,0,0
armory3d/armortools,0,0,0,0,0,0
armory3d/armory,0,0,0,0,0,0
arnaud-lb/php-rdkafka,0,0,0,0,0,0
arq5x/bedtools2,0,0,0,0,0,0
arrayfire/arrayfire,0,0,0,0,0,0
artelnics/opennn,0,0,0,0,0,0
artem-ogre/cdt,0,0,0,0,0,0
arthepsy/cve-2021-4034,0,0,0,0,0,0
arthursonzogni/diagon,0,0,0,0,0,0
arthursonzogni/ftxui,0,0,0,0,0,0
artifexsoftware/mupdf,0,0,0,0,0,0
artikash/textractor,0,0,0,0,0,0
artivis/manif,0,0,0,0,0,0
arturadib/node-qt,0,0,0,0,0,0
arut/nginx-rtmp-module,0,0,0,0,0,0
arvidn/libtorrent,0,0,0,0,0,0
arx/arxlibertatis,0,0,0,0,0,0
arximboldi/immer,0,0,0,0,0,0
asb2m10/dexed,0,0,0,0,0,0
asc-community/mxengine,0,0,0,0,0,0
ascotbe/kernelhub,0,0,0,0,0,0
asdcorp/ohook,0,0,0,0,0,0
aseprite/aseprite,0,0,0,0,0,0
asg017/sqlite-vec,0,0,0,0,0,0
asg017/sqlite-vss,0,0,0,0,0,0
ashampoosystems/boden,0,0,0,0,0,0
ashima/webgl-noise,0,0,0,0,0,0
ashishgup1/competitive-coding,0,0,0,0,0,0
ashtf8/pocketmage_pda,0,0,0,0,0,0
ashvardanian/less_slow.cpp,0,0,0,0,0,0
ashvardanian/simsimd,0,0,1,2,0,2
ashvardanian/stringzilla,0,0,1,1,0,1
aslody/turbodex,0,0,0,0,0,0
aslody/whale,0,0,0,0,0,0
asmjit/asmjit,0,0,0,0,0,0
asmuth/clip,0,0,0,0,0,0
asmvik/skhd,0,0,0,0,0,0
asmvik/yabai,0,0,0,0,0,0
aspjt/dungeontemplatelibrary,0,0,0,0,0,0
assimp/assimp,0,1,1,1,1,1
asterisk/asterisk,0,0,0,0,0,0
astrand/xclip,0,0,0,0,0,0
astrathreshold/oled-ui-astra,0,0,0,0,0,0
astronautlevel2/anemone3ds,0,0,0,0,0,0
async-profiler/async-profiler,0,0,0,0,0,0
atar-axis/xpadneo,0,0,0,0,0,0
ataradov/usb-sniffer,0,0,0,0,0,0
atc1441/atc_mithermometer,0,0,0,0,0,0
atcoder/ac-library,0,0,0,0,0,0
atmosphere-nx/atmosphere,0,0,0,0,0,0
atomicobject/heatshrink,0,0,0,0,0,0
attractivechaos/klib,0,0,0,0,0,0
aubio/aubio,0,0,0,0,0,0
auburn/fastnoise2,0,0,0,0,0,0
audacious-media-player/audacious,0,0,0,0,0,0
audacity/audacity,0,0,0,0,0,0
audio4linux/jdsp4linux,0,0,1,2,1,2
audiorouterdev/audio-router,0,0,0,0,0,0
audreyt/node-webworker-threads,0,0,0,0,0,0
autoas/as-deprecated,0,0,0,0,0,0
autodiff/autodiff,0,0,0,0,0,0
autohotkey/autohotkey,0,0,0,0,0,0
autohotkey/autohotkey-v1.0,0,0,0,0,0,0
autowarefoundation/autoware_universe,2,3,2,2,3,4
avahi/avahi,0,0,1,1,1,1
avast/retdec,0,0,0,0,0,0
avrdudes/avrdude,0,0,0,0,0,0
awawa-dev/hyperhdr,0,0,0,1,1,1
awesome-harmonyos/harmonyos,0,0,0,0,0,0
aws/aws-iot-device-sdk-embedded-c,2,0,1,1,0,2
aws/aws-sdk-cpp,1,1,1,1,0,1
aws/pgactive,0,0,0,0,0,0
aws/s2n-tls,0,0,0,1,1,1
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,0,0,0,0,0,0
axboe/fio,0,0,0,0,0,0
axboe/liburing,0,0,0,0,0,0
axel-download-accelerator/axel,0,0,0,0,0,0
axiomatic-systems/bento4,0,0,1,0,0,1
axmolengine/axmol,0,0,0,0,0,0
axxaxx/axxsolder,0,0,0,0,0,0
ayoubfaouzi/al-khaser,0,0,0,0,0,0
ayoubfaouzi/cpu-internals,0,0,0,0,0,0
ayushsharma82/esp-dash,0,0,0,1,0,1
azagaya/laigter,0,0,0,0,0,0
azahar-emu/azahar,0,0,0,0,0,0
azerothcore/azerothcore-wotlk,0,0,1,1,2,2
b-con/crypto-algorithms,0,0,0,0,0,0
b4rtaz/distributed-llama,0,0,0,0,0,0
b4winckler/macvim,0,0,0,0,0,0
babelouest/ulfius,0,0,0,0,0,0
babitmf/bmf,0,0,0,0,0,0
baidu-research/deepbench,0,0,0,0,0,0
baidu/anyq,0,0,0,0,0,0
baidu/baikaldb,0,0,0,0,0,0
baidu/bfs,0,0,0,0,0,0
baidu/bigflow,0,0,0,0,0,0
baidu/braft,0,0,0,0,0,0
baidu/dperf,0,0,0,0,0,0
baidu/familia,0,0,0,0,0,0
baidu/lac,0,0,0,0,0,0
baidu/openrasp,1,1,1,0,0,1
baidu/sofa-pbrpc,0,0,0,0,0,0
baidu/tera,0,0,0,0,0,0
bakkeby/dwm-flexipatch,0,0,0,0,0,0
balazsjako/imguicolortextedit,0,0,0,0,0,0
baldurk/renderdoc,0,0,0,0,0,0
balloonwj/flamingo,0,0,0,0,0,0
bambulab/bambustudio,0,0,0,0,0,0
banach-space/llvm-tutor,0,0,0,0,0,0
bandarhl/bhtwitter,0,0,0,0,0,0
banjorecomp/banjorecomp,0,0,0,0,0,0
baoboa/pyqt5,0,0,0,0,0,0
bareflank/hypervisor,0,0,0,0,0,0
bareos/bareos,0,0,0,0,0,0
baresip/baresip,0,0,0,0,0,0
barry-ran/qtscrcpy,0,0,0,0,0,0
bartobri/no-more-secrets,0,0,0,0,0,0
basedhardware/openglass,0,0,0,0,0,0
basil00/windivert,0,0,0,0,0,0
baskerville/bspwm,0,0,0,0,0,0
baskerville/sxhkd,0,0,0,0,0,0
batchdrake/sigdigger,0,0,0,0,0,0
bats3c/darkloadlibrary,0,0,0,0,0,0
bats3c/shad0w,0,0,0,0,0,0
battelle/movfuscator,0,0,0,0,0,0
baumgarr/nixnote2,0,0,0,0,0,0
bb-qq/r8152,0,0,0,0,0,0
bbc/audiowaveform,0,0,0,0,0,0
bblanchon/arduinojson,0,0,0,0,0,0
bbuchfink/diamond,0,0,0,0,0,0
bcn3d/bcn3d-moveo,0,0,0,0,0,0
bcrypt-ruby/bcrypt-ruby,0,0,0,0,0,0
bdamele/icmpsh,0,0,0,0,0,0
bdring/fluidnc,0,0,0,0,0,0
bdwgc/bdwgc,0,0,0,0,0,0
beanstalkd/beanstalkd,0,0,0,0,0,0
beefytech/beef,0,0,0,0,0,0
begeekmyfriend/bplustree,0,0,0,0,0,0
begeekmyfriend/leetcode,0,0,0,0,0,0
begeekmyfriend/yasea,0,0,0,0,0,0
begla/intrinsic,0,0,0,0,0,0
behaviortree/behaviortree.cpp,0,1,0,0,1,2
bellard/mquickjs,0,0,0,0,0,0
bellard/quickjs,0,0,0,0,0,0
ben-strasser/fast-cpp-csv-parser,0,0,0,0,0,0
benbuck/rbtray,0,0,0,0,0,0
benhoyt/inih,0,0,0,0,0,0
benjamin-dobell/heimdall,0,0,0,0,0,0
benkuper/chataigne,0,0,0,0,0,0
bepaald/signalbackup-tools,0,0,0,0,0,0
berdav/cve-2021-4034,0,0,0,0,0,0
berkeley-abc/abc,0,0,0,0,0,0
bernardogiordano/checkpoint,0,0,0,0,0,0
berry-lang/berry,0,0,0,0,0,0
berthubert/googerteller,0,0,0,0,0,0
bespokesynth/bespokesynth,0,0,0,0,0,0
betaflight/betaflight,0,0,0,0,0,0
bigtreetech/bigtreetech-skr-mini-e3,0,0,0,0,0,0
bigtreetech/bigtreetech-skr-v1.3,0,0,0,0,0,0
bigtreetech/bigtreetech-touchscreenfirmware,0,0,0,0,0,0
bilibili/ijkplayer,0,0,0,0,0,0
bill-haku/kawaii-gcc,0,0,0,0,0,0
binbyu/reader,0,0,0,0,0,0
bingoogolapple/bgaqrcode-android,0,0,0,0,0,0
binji/pokegb,0,0,0,0,0,0
binomialllc/basis_universal,0,0,0,0,0,0
biometrics/openbr,0,0,0,0,0,0
bionus/imgbrd-grabber,0,0,0,0,1,1
bitcoin-abc/bitcoin-abc,0,0,0,0,0,0
bitcoin-core/secp256k1,0,0,0,0,0,0
bitcoin/bitcoin,0,0,0,0,0,0
bitcookies/winrar-keygen,0,0,0,0,0,0
bitcraze/crazyflie-firmware,0,0,0,0,0,0
bitdefender/bddisasm,0,0,0,0,0,0
bitfieldaudio/otto,0,0,0,0,0,0
bitfunnel/nativejit,0,0,0,0,0,0
bitmaker-hub/nerdminer_v2,0,0,0,0,0,0
bitshares/bitshares-core,0,0,0,0,0,0
bittorrent/libutp,0,0,0,0,0,0
bjornbytes/lovr,0,0,0,0,0,0
bk138/gromit-mpx,0,0,0,0,0,0
bkaradzic/bgfx,0,0,0,0,0,0
blackarrowsec/redteam-research,0,0,0,0,0,0
blackhole89/notekit,0,0,0,0,0,0
blackymas/nspanel_ha_blueprint,0,0,0,0,1,1
blasty/cve-2021-3156,0,0,0,0,0,0
blazingdb/blazingsql,0,0,0,0,0,0
blechschmidt/massdns,0,0,0,0,0,0
blend2d/blend2d,0,0,0,0,0,0
blender/blender,0,0,0,0,0,0
blindmindstudios/starruler2-source,0,0,0,0,0,0
blinker-iot/blinker-esp-idf,0,0,0,0,0,0
blinker-iot/blinker-library,0,0,0,0,0,0
blinker-iot/blinker-nrf52,0,0,0,0,0,0
blitzer207/c-resource,0,0,0,0,0,0
blizzard/s2client-api,0,0,0,0,0,0
bloomberg/bde,0,0,0,0,0,0
bloomberg/blazingmq,0,0,1,0,0,1
bloomberg/comdb2,0,1,0,1,0,1
bloomberg/pystack,0,0,1,1,1,1
blosc/c-blosc,0,0,1,0,1,1
blueforcer/awtrix3,0,0,0,0,0,0
bluekitchen/btstack,0,0,0,0,0,0
bluematthew/wechatexporter,0,0,0,0,0,0
bluez/bluez,0,0,0,0,0,0
blurrypiano/littlevulkanengine,0,0,0,0,0,0
blynkkk/blynk-library,0,0,0,0,0,0
bmax121/kernelpatch,0,0,0,1,0,1
bmorcelli/launcher,0,0,0,0,0,0
bo3b/3dmigoto,0,0,0,0,0,0
boazsegev/facil.io,0,0,0,0,0,0
bobbyanguelov/esoterica,0,0,0,0,0,0
bobranten/ext4fsd,0,0,0,0,0,0
bochs-emu/bochs,0,0,0,0,0,0
bodmer/tft_espi,0,0,0,0,0,0
boku7/bokuloader,0,0,0,0,0,0
bol-van/zapret,0,0,0,1,0,1
bol-van/zapret2,0,0,0,0,0,0
bombela/backward-cpp,0,0,0,0,0,0
bonzaithepenguin/wikisort,0,0,0,0,0,0
boomingtech/piccolo,0,0,0,0,0,0
boost-ext/di,0,0,0,0,0,0
boost-ext/sml,0,0,0,0,0,0
boost-ext/ut,0,0,0,0,0,0
boostorg/asio,0,0,0,0,0,0
boostorg/beast,0,0,0,0,0,0
boostorg/compute,0,0,0,0,0,0
boostorg/hana,0,0,0,0,0,0
boostorg/pfr,0,0,0,0,1,1
bootchk/resynthesizer,0,0,0,0,0,0
bootleg/ret-sync,0,0,0,0,0,0
bootlin/elixir,0,0,0,0,0,0
borndotcom/react-native-godot,0,0,0,0,0,0
bozbez/win-capture-audio,0,0,0,0,0,0
bpftrace/bpftrace,0,0,0,0,0,0
bqi343/cp-notebook,0,0,0,0,0,0
br3ttb/arduino-pid-library,0,0,0,0,0,0
