repo,repo_id,score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,Webhooks,date
libfuse/sshfs,48388286,3.9,10,0,1,0,4,10,10,0,0,10,0,-1,0,0,0,8,0,10,,2026-04-06T14:35:00+01:00
libgit2/rugged,901663,4.6,10,1,2,0,5,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T20:35:43+01:00
libharu/libharu,96269,3.9,10,0,0,0,4,10,10,0,0,10,4,-1,0,0,0,-1,0,10,,2026-04-07T10:52:45+01:00
libidn/libidn2,87378214,3.7,10,0,-1,0,0,10,-1,0,10,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:37:50+01:00
libimobiledevice/ideviceinstaller,8180848,3.1,10,0,-1,0,0,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T13:58:21+01:00
libimobiledevice/idevicerestore,13831185,3.4,10,0,10,0,0,10,10,0,0,10,2,-1,0,0,0,0,0,10,,2026-04-07T11:54:18+01:00
libimobiledevice/libimobiledevice,8180677,3.2,10,0,10,0,0,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-06T13:41:54+01:00
libimobiledevice/usbmuxd,8180474,3.1,10,0,0,0,1,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T11:55:43+01:00
libjpeg-turbo/libjpeg-turbo,39760454,5.4,10,3,-1,0,0,10,-1,0,10,9,10,-1,-1,0,0,8,-1,10,,2026-04-06T16:36:07+01:00
libjxl/libjxl,340219494,8.5,10,,9,7,6,10,10,10,10,10,10,-1,9,9,10,0,10,8,,2026-05-03T23:27:10+01:00
libopencm3/libopencm3,4065980,5.5,10,5,0,0,10,10,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-06T17:36:16+01:00
libpixman/pixman,81675971,2.8,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,9,,2026-04-27T21:38:12+01:00
libredwg/libredwg,132338773,4.8,10,3,-1,0,0,10,10,0,10,10,10,-1,5,10,4,0,0,0,,2026-04-07T14:55:40+01:00
libressl/portable,21735012,5.9,10,0,8,0,6,10,10,0,10,9,10,-1,8,0,0,8,0,10,,2026-04-07T13:55:37+01:00
libretro/common-shaders,3286864,2.9,10,3,0,0,1,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:55:56+01:00
libsdl-org/sdl,330008801,3.9,9,3,7,0,3,10,0,0,0,10,10,-1,0,0,0,8,0,10,,2026-04-06T12:39:56+01:00
libssh2/libssh2,31701703,8.7,10,3,9,2,6,10,10,10,10,10,10,10,8,9,10,8,10,10,,2026-04-07T12:58:05+01:00
libusb/libusb,15120676,5.5,10,3,10,0,1,10,10,0,10,10,10,-1,1,0,0,8,0,10,,2026-04-06T14:41:56+01:00
libuv/libuv,14812739,6.0,10,3,9,0,9,10,10,10,0,10,10,-1,0,0,10,-1,0,2,,2026-04-06T12:36:26+01:00
libuvc/libuvc,1345732,3.9,10,3,0,0,7,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:56:13+01:00
libvips/libvips,1291410,5.2,10,0,10,0,7,10,-1,0,10,10,10,-1,-1,0,0,0,-1,10,,2026-04-06T13:36:34+01:00
libvirt/libvirt,36074217,4.1,10,0,-1,0,0,10,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-07T11:56:16+01:00
libvnc/libvncserver,18277887,6.0,10,0,10,0,1,10,10,0,10,10,10,-1,0,10,9,-1,0,10,,2026-04-07T14:56:26+01:00
lieff/minimp3,116830129,3.8,10,0,0,0,3,0,-1,0,10,10,2,-1,-1,0,0,-1,-1,10,,2026-04-07T10:58:08+01:00
lienol/openwrt,240011145,2.5,4,0,-1,0,0,10,0,0,0,9,10,-1,0,0,0,-1,0,10,,2026-04-06T17:35:37+01:00
liexusong/php-beast,10562671,3.3,10,3,0,0,4,0,10,0,0,0,0,-1,0,0,0,-1,0,10,,2026-04-07T11:54:21+01:00
liji32/sameboy,55260928,3.8,10,0,-1,0,0,10,10,0,0,9,10,-1,0,0,0,0,0,10,,2026-04-07T10:50:01+01:00
linusu/buffer-from,66025821,2.9,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T16:06:12+01:00
linux-audit/audit-userspace,52464964,4.8,10,0,3,0,1,10,10,0,0,10,10,-1,0,0,10,-1,0,10,,2026-04-27T21:38:15+01:00
linux-can/can-utils,31673071,5.0,10,0,10,0,2,10,10,0,0,10,10,-1,0,10,0,-1,0,10,,2026-04-06T18:52:10+01:00
linux-noah/noah,55659461,2.5,0,0,0,0,7,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:54:36+01:00
linux-rdma/rdma-core,68456226,4.8,10,3,10,0,7,10,-1,0,0,9,10,-1,-1,0,0,0,-1,10,,2026-04-06T20:38:00+01:00
linux-test-project/ltp,3649922,3.8,9,0,-1,0,0,10,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-06T19:47:45+01:00
linuxmint/nemo,5099405,4.1,10,0,8,0,2,10,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-07T13:00:52+01:00
linuxmint/warpinator,238946632,3.6,10,0,10,0,1,6,10,0,10,10,5,-1,0,0,0,0,0,4,,2026-04-07T13:00:20+01:00
linw7/skill-tree,95624763,2.6,10,0,0,0,3,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-06T17:35:45+01:00
litejs/natural-compare-lite,9146732,4.0,10,0,0,0,0,3,10,0,0,10,0,-1,0,7,10,-1,0,10,,2026-04-27T21:38:29+01:00
liteos/liteos,67934190,2.6,0,1,0,0,2,3,-1,0,10,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T15:41:21+01:00
litespeedtech/lsquic,104516416,4.1,10,0,10,0,1,10,-1,0,0,10,10,-1,0,0,0,-1,-1,10,,2026-04-07T10:59:33+01:00
little-brother/sqlite-gui,247280266,2.4,4,0,-1,0,0,0,-1,0,10,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T15:55:56+01:00
littlefs-project/littlefs,83160811,4.1,10,3,10,0,7,10,0,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T14:38:29+01:00
littlekernel/lk,3058456,4.4,9,3,10,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,9,,2026-04-06T17:35:52+01:00
lizongying/my-tv,727213319,1.8,0,0,0,0,1,0,10,0,0,0,0,-1,0,0,0,0,0,10,,2026-04-06T12:35:49+01:00
ljharb/call-bind,308533760,4.2,10,1,-1,0,0,10,10,0,0,10,3,-1,0,0,10,-1,0,10,,2026-04-27T14:56:55+01:00
ljharb/call-bind-apply-helpers,898190951,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T14:55:19+01:00
ljharb/call-bound,898125972,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T14:54:19+01:00
ljharb/concat-map,548993448,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T17:19:08+01:00
ljharb/define-data-property,689109338,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T17:19:09+01:00
ljharb/define-properties,28768789,3.9,10,1,0,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T15:05:26+01:00
ljharb/es-abstract,28995155,4.7,10,1,0,0,0,10,10,0,0,10,6,-1,0,7,10,-1,0,10,,2026-04-27T17:19:11+01:00
ljharb/es-define-property,756570458,4.8,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,10,10,,2026-04-27T14:56:18+01:00
ljharb/es-errors,752160492,4.8,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,10,10,,2026-04-27T14:53:12+01:00
ljharb/es-object-atoms,773229339,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T14:57:08+01:00
ljharb/es-shim-unscopables,480458584,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T17:19:16+01:00
ljharb/es-to-primitive,32377814,4.1,10,,0,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-05-03T23:27:20+01:00
ljharb/get-intrinsic,308516559,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T14:54:54+01:00
ljharb/get-proto,911035271,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T15:08:20+01:00
ljharb/gopd,560708130,4.1,10,1,-1,0,0,10,10,0,0,10,1,-1,0,0,10,-1,0,10,,2026-04-27T14:55:51+01:00
ljharb/has-bigints,201714166,4.1,10,1,-1,0,0,10,10,0,0,10,2,-1,0,0,10,-1,0,10,,2026-04-27T16:09:44+01:00
ljharb/internal-slot,216159146,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T17:19:22+01:00
ljharb/object-keys,9103992,4.4,10,,0,0,0,10,10,0,0,10,3,-1,0,0,10,-1,0,10,,2026-05-03T23:27:30+01:00
ljharb/object.assign,17755831,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T16:10:15+01:00
ljharb/possible-typed-array-names,760136716,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T16:08:48+01:00
ljharb/qs,22266795,5.2,10,1,10,5,1,10,10,0,0,10,10,-1,0,0,10,-1,0,10,,2026-04-27T17:19:26+01:00
ljharb/safe-regex-test,540138887,4.1,10,1,10,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T17:19:28+01:00
ljharb/set-function-length,704249795,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T16:06:43+01:00
ljharb/side-channel,225239081,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T15:06:14+01:00
ljharb/side-channel-list,901451610,4.7,10,,-1,0,0,10,10,0,0,10,5,-1,0,0,10,-1,0,10,,2026-05-03T23:27:35+01:00
ljharb/side-channel-map,901191461,4.0,10,1,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T17:19:33+01:00
ljharb/side-channel-weakmap,901188921,4.2,10,,-1,0,0,10,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-05-03T23:27:44+01:00
lloyd/yajl,89912,2.9,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:36:47+01:00
lmarzen/esp32-weather-epd,467381275,5.0,10,6,8,0,4,6,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T14:41:59+01:00
lmatteis/torrent-net,88288736,1.9,2,0,-1,0,0,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:01:53+01:00
lmdb/lmdb,34406933,1.7,10,0,-1,0,0,10,-1,0,0,0,2,-1,-1,0,0,-1,-1,0,,2026-04-06T18:51:19+01:00
lodash/lodash,3955647,6.8,10,3,9,0,8,10,10,10,10,9,10,-1,1,9,10,-1,0,0,,2026-04-27T14:53:10+01:00
loganfsmyth/gensync,132383032,1.9,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-27T17:19:39+01:00
logrotate/logrotate,33591844,6.6,9,3,8,0,8,10,10,10,0,10,5,-1,10,9,0,8,0,10,,2026-04-07T12:58:24+01:00
lojii/knot,239665453,2.6,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:59:39+01:00
lokathor/bytemuck,209673558,4.0,10,0,8,0,2,10,10,0,0,10,5,-1,0,0,0,-1,0,10,,2026-04-27T21:38:44+01:00
lonelywolf/stm32,10585825,2.5,10,0,0,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:58:42+01:00
longsoft/uefitool,13405986,5.2,10,0,0,0,3,10,10,10,10,10,10,-1,0,0,0,0,0,10,,2026-04-06T15:36:22+01:00
lora-net/loramac-node,16346821,3.6,10,0,0,0,1,10,-1,0,0,9,0,-1,-1,0,10,-1,-1,10,,2026-04-07T10:51:22+01:00
lotabout/write-a-c-interpreter,48469763,3.1,10,0,0,0,6,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T16:35:39+01:00
louisbrunner/valgrind-macos,142547143,5.7,10,8,6,0,0,10,10,10,0,10,4,-1,0,10,0,-1,0,10,,2026-04-07T14:56:20+01:00
loyinglin/learnopengles,53649842,1.9,6,0,-1,0,0,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:56:46+01:00
lsalzman/enet,4233299,3.6,10,0,0,0,4,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-06T18:36:14+01:00
luadist/lua,950038,2.8,10,0,-1,0,0,6,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T13:00:08+01:00
luajit/luajit,40306512,3.7,10,0,-1,0,0,0,-1,0,0,9,10,-1,-1,0,0,-1,-1,10,,2026-04-06T15:35:51+01:00
luben/zstd-jni,31339163,4.5,10,0,7,0,3,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-07T18:03:17+01:00
luc-github/esp3d,34058391,3.9,9,0,5,0,0,3,10,10,0,10,10,-1,0,0,0,-1,0,0,,2026-04-07T10:53:46+01:00
lucavallin/barco,670640073,3.6,10,0,0,0,1,3,10,10,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T12:57:03+01:00
lucyoa/kernel-exploits,88852338,1.1,0,0,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:57:47+01:00
luigirizzo/netmap,33124686,3.8,10,0,0,0,0,10,-1,0,0,10,2,-1,-1,0,10,-1,-1,10,,2026-04-07T10:52:39+01:00
lukeed/dequal,174421655,4.2,10,0,-1,0,0,10,10,10,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T21:38:44+01:00
lukeed/escalade,273568715,3.2,10,0,0,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T15:53:34+01:00
lukeed/kleur,140393403,3.3,10,0,-1,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T21:38:47+01:00
lukesmithxyz/st,117944122,3.2,10,0,0,0,3,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:55:43+01:00
lumateam/luma3ds,51275984,3.7,10,0,0,0,2,10,-1,0,0,10,10,-1,-1,0,0,0,-1,10,,2026-04-06T14:39:44+01:00
luohaha/chinese-uvbook,45845794,2.8,10,0,0,0,5,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:57:26+01:00
lvgl/lv_port_esp32,165520544,3.5,10,0,0,0,3,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T15:03:00+01:00
lwfinger/rtw88,277639157,3.6,9,0,-1,0,0,10,-1,0,0,0,10,-1,-1,0,0,-1,-1,10,,2026-04-07T13:56:07+01:00
lwip-tcpip/lwip,152787888,3.7,10,3,2,0,3,10,-1,0,0,9,0,-1,-1,2,0,-1,-1,10,,2026-04-07T12:56:44+01:00
lxc/lxc,5720995,8.0,10,8,10,5,10,10,10,10,10,9,10,-1,0,0,0,8,10,9,,2026-04-06T15:38:53+01:00
lxc/lxcfs,27918935,6.7,10,8,10,2,10,10,10,0,0,9,10,-1,0,0,0,8,10,10,,2026-04-07T16:00:24+01:00
lxml/lxml,1353927,6.4,10,,8,0,0,10,10,10,10,10,10,-1,5,0,10,0,0,10,,2026-05-03T23:27:54+01:00
ly4k/pwnkit,452306200,2.5,8,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:00:40+01:00
lydell/js-tokens,17552490,3.5,10,0,4,0,0,10,10,10,0,10,0,-1,2,0,0,-1,0,0,,2026-04-27T14:57:28+01:00
lz4/lz4,18106269,7.2,10,1,10,0,6,10,10,10,10,9,10,-1,4,0,10,0,10,10,,2026-04-06T13:35:41+01:00
lzfse/lzfse,60655360,3.8,10,0,0,0,10,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:59:27+01:00
m0nad/diamorphine,14187797,3.2,10,0,0,0,1,3,-1,0,0,9,5,-1,-1,0,0,-1,-1,10,,2026-04-06T20:35:55+01:00
mabeijianxi/small-video-record,66544073,1.5,0,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T17:36:56+01:00
mackstann/tinywm,2860137,2.2,10,0,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:56:44+01:00
mackyle/sqlite,10400632,4.8,10,0,-1,0,0,10,-1,0,10,9,10,-1,-1,0,0,-1,-1,10,,2026-04-07T10:52:12+01:00
madeye/proxydroid,3280827,2.6,3,0,5,0,1,10,10,0,0,0,3,-1,0,0,0,0,0,10,,2026-04-06T19:48:59+01:00
madler/zlib,2359378,5.0,10,0,-1,2,0,10,10,0,10,9,10,-1,0,0,0,8,0,10,,2026-04-06T14:36:48+01:00
madmax43v3r/chia-plotter,369852087,3.5,10,0,0,0,3,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-06T20:36:22+01:00
mafintosh/end-of-stream,14732255,3.2,10,0,0,0,3,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T16:06:56+01:00
mafintosh/pump,12118126,3.8,10,0,0,0,1,10,-1,0,0,10,1,-1,-1,0,10,-1,-1,10,,2026-04-27T21:38:52+01:00
mafintosh/tar-stream,15340089,3.9,10,0,0,0,0,10,10,0,0,10,1,-1,0,0,10,-1,0,10,,2026-04-27T21:38:59+01:00
magicstack/immutables,127474402,4.3,10,8,0,0,5,10,10,0,0,9,0,-1,0,0,0,-1,0,10,,2026-04-07T15:57:05+01:00
maharmstone/btrfs,52230396,3.4,10,0,-1,0,0,3,10,0,0,10,6,-1,0,0,0,0,0,10,,2026-04-06T14:34:56+01:00
majerle/c-code-style,144600839,3.1,10,0,0,0,1,0,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T15:00:42+01:00
majerle/lwrb,165559833,3.4,10,0,0,0,0,0,10,10,0,10,0,-1,0,0,0,-1,0,5,,2026-04-07T13:58:43+01:00
majerle/stm32-usart-uart-dma-rx-tx,153930005,3.4,10,0,0,0,0,0,10,10,0,10,0,-1,0,0,0,-1,0,5,,2026-04-07T11:54:13+01:00
majianjia/nnom,166869630,3.8,7,0,0,0,10,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T16:55:41+01:00
managarm/mlibc,63353495,5.2,9,3,10,0,9,10,10,0,0,9,10,-1,0,0,0,-1,0,10,,2026-04-07T17:58:51+01:00
mange/rtl8192eu-linux-driver,40992267,4.1,10,3,0,0,6,10,10,0,0,0,5,-1,0,0,0,-1,0,10,,2026-04-07T13:57:52+01:00
mangowm/mango,926616051,4.1,10,1,0,0,1,6,10,0,0,9,10,-1,0,0,0,-1,0,10,,2026-04-06T20:36:15+01:00
maoabc/nmmp,369624899,1.7,7,0,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,0,-1,10,,2026-04-07T17:00:39+01:00
mapserver/mapserver,3921611,6.4,10,3,10,0,4,10,10,10,10,9,10,-1,0,9,10,0,0,6,,2026-04-07T15:59:20+01:00
maratyszcza/nnpack,54410262,2.9,10,0,0,0,3,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:55:23+01:00
marcobambini/gravity,83052165,4.4,10,0,0,0,1,10,10,0,0,10,9,-1,0,7,0,-1,0,10,,2026-04-06T16:34:57+01:00
marella/ctransformers,640683234,2.2,0,0,0,0,0,0,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T10:57:10+01:00
marlinfirmware/configurations,211756905,4.3,10,0,10,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T20:36:34+01:00
marshallpierce/rust-base64,47371310,3.8,10,,3,0,5,6,-1,0,10,10,0,-1,-1,0,0,-1,-1,4,,2026-05-03T23:27:54+01:00
martanne/vis,26677418,5.0,10,0,10,0,1,10,10,0,10,9,10,-1,0,0,0,6,0,10,,2026-04-06T16:35:00+01:00
martijnvanbrummelen/nwipe,12656161,4.8,10,0,10,0,6,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-07T16:57:44+01:00
martin-ger/esp32_nat_router,241046888,3.2,10,0,0,0,0,0,-1,0,0,0,10,-1,-1,0,0,-1,-1,10,,2026-04-07T10:59:04+01:00
martin-ger/esp_wifi_repeater,76649430,3.0,9,0,0,0,5,0,-1,0,0,10,1,-1,-1,0,0,-1,-1,10,,2026-04-06T15:37:25+01:00
martinezjavier/ldd3,1117185,3.8,10,0,0,0,9,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-06T19:47:04+01:00
martinmarinov/tempestsdr,14776505,1.8,0,0,0,0,3,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:56:52+01:00
mas-bandwidth/netcode,77645747,3.6,10,0,5,0,0,10,10,0,0,10,3,-1,0,0,0,-1,0,10,,2026-04-06T19:47:23+01:00
mas-bandwidth/yojimbo,59925747,3.9,10,0,0,0,3,10,10,10,0,10,0,-1,0,0,0,-1,0,5,,2026-04-06T19:40:56+01:00
matheuzsecurity/singularity,1062196393,4.1,10,0,-1,0,0,10,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-07T12:57:53+01:00
mathiasbynens/cssesc,12001360,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T17:19:54+01:00
mathiasbynens/emoji-regex,24557614,3.6,10,0,0,0,0,10,10,0,0,10,0,10,0,0,0,-1,0,10,,2026-04-27T21:39:06+01:00
mathiasbynens/jsesc,10498729,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T17:20:00+01:00
mathiasbynens/punycode.js,2755924,3.6,10,0,0,0,4,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T14:56:17+01:00
mathiasbynens/regenerate,10182772,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T17:20:01+01:00
mathiasbynens/regexpu-core,49437324,3.6,10,0,10,0,1,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T21:39:08+01:00
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,3.3,10,0,-1,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T17:20:07+01:00
mathiasbynens/unicode-property-aliases-ecmascript,88333533,3.2,10,0,0,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T17:20:08+01:00
matklad/once_cell,143220272,4.9,10,0,10,0,7,10,10,0,0,10,5,-1,8,0,0,-1,0,10,,2026-04-27T21:39:18+01:00
matplotlib/matplotlib,1385122,8.5,10,8,10,0,10,10,10,10,10,9,10,-1,6,9,10,-1,10,1,,2026-04-27T21:39:19+01:00
mattconte/tlsf,36315741,2.5,10,0,0,0,2,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:58:25+01:00
mattiasgustavsson/libs,46212152,3.3,10,0,5,0,1,10,10,0,0,0,1,-1,0,0,0,-1,0,10,,2026-04-06T20:36:40+01:00
mattn/go-sqlite3,2755696,5.0,10,0,9,0,1,10,10,0,10,10,10,-1,1,0,0,-1,0,10,,2026-04-06T13:39:51+01:00
mattrajca/sudo-touchid,72390385,2.4,10,0,0,0,0,6,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:57:17+01:00
matz/streem,27860738,3.7,10,0,0,0,6,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-06T16:34:52+01:00
maximkulkin/esp-homekit,113219787,2.9,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:00:13+01:00
mayaposch/nymphcast,169604606,2.9,3,0,0,0,0,6,-1,0,10,10,5,-1,-1,0,0,0,-1,10,,2026-04-06T19:47:33+01:00
mbebenita/broadway,2577939,2.0,0,0,0,0,2,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-06T18:51:31+01:00
mcavage/node-assert-plus,4767976,3.4,10,,0,0,3,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-05-03T23:28:01+01:00
mcnopper/opengl,8373358,2.6,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T19:47:31+01:00
mcollina/fastq,37368217,4.7,10,0,2,0,1,10,10,10,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T17:20:13+01:00
mcollina/reusify,42106515,4.8,10,0,0,0,2,10,10,10,0,10,0,-1,0,0,10,-1,0,10,,2026-04-27T21:39:25+01:00
mcu-tools/mcuboot,76305806,6.2,10,5,10,2,10,10,10,10,0,10,10,-1,1,0,10,-1,0,0,,2026-04-07T10:58:53+01:00
mdbtools/mdbtools,723884,3.8,10,0,0,0,4,10,10,0,10,10,0,-1,0,0,0,0,0,10,,2026-04-07T16:55:47+01:00
mdn/data,70901646,7.8,10,8,9,0,10,10,10,10,0,10,10,-1,10,5,10,-1,0,9,,2026-04-27T17:20:16+01:00
meckazin/chromekatz,728877639,3.2,10,0,0,0,0,6,10,0,0,10,4,-1,0,0,0,0,0,10,,2026-04-07T13:57:49+01:00
medikoo/d,10817569,3.2,10,0,-1,0,0,6,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T17:20:17+01:00
medikoo/es5-ext,1792941,3.8,10,8,0,0,0,6,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T15:52:38+01:00
medikoo/es6-symbol,14423385,3.9,10,8,-1,0,0,6,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T17:20:19+01:00
medikoo/type,177198492,3.8,10,8,0,0,0,6,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T16:07:15+01:00
medusalix/xone,382113989,2.6,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T19:49:16+01:00
meetecho/janus-gateway,16734696,5.6,10,0,8,0,3,10,10,0,10,10,10,-1,0,0,10,-1,10,0,,2026-04-06T13:39:48+01:00
megamarc/tilengine,42005563,3.7,10,6,0,0,2,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:03:44+01:00
meituan-dianping/dbproxy,77523707,3.4,9,0,0,0,9,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:35:48+01:00
meituan-dianping/logan,150354367,3.8,8,6,0,0,7,10,-1,10,0,10,0,-1,0,0,0,-1,-1,0,,2026-04-06T14:41:29+01:00
meituan-dianping/myflash,110948420,2.2,8,0,0,0,0,0,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:59:05+01:00
meituan-dianping/sqladvisor,83523036,1.6,0,0,0,0,2,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T15:34:52+01:00
