name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
eog-plugins,eog-plugins,gnome.org,https://gitlab.gnome.org/GNOME/eog-plugins,GNOME/eog-plugins,,,,2026-07-05T17:43:25+00:00
Epiphany,epiphany,gnome.org,https://gitlab.gnome.org/GNOME/epiphany,GNOME/epiphany,,,"A simple, clean, beautiful view of the Web",2026-07-05T17:43:25+00:00
evince,evince,gnome.org,https://gitlab.gnome.org/GNOME/evince,GNOME/evince,,,Evince is a document viewer for multiple document formats. The goal of evince is to replace the multiple document viewers that exist on the GNOME Desktop with a single simple application.,2026-07-05T17:43:25+00:00
evolution,evolution,gnome.org,https://gitlab.gnome.org/GNOME/evolution,GNOME/evolution,,,,2026-07-05T17:43:25+00:00
evolution-activesync,evolution-activesync,gnome.org,https://gitlab.gnome.org/GNOME/evolution-activesync,GNOME/evolution-activesync,,,,2026-07-05T17:43:25+00:00
evolution-data-server,evolution-data-server,gnome.org,https://gitlab.gnome.org/GNOME/evolution-data-server,GNOME/evolution-data-server,,,,2026-07-05T17:43:25+00:00
evolution-etesync,evolution-etesync,gnome.org,https://gitlab.gnome.org/GNOME/evolution-etesync,GNOME/evolution-etesync,,,End-to-end encrypted private information sync for Evolution using the EteSync open-source protocol.,2026-07-05T17:43:25+00:00
evolution-ews,evolution-ews,gnome.org,https://gitlab.gnome.org/GNOME/evolution-ews,GNOME/evolution-ews,,,,2026-07-05T17:43:25+00:00
File Roller,file-roller,gnome.org,https://gitlab.gnome.org/GNOME/file-roller,GNOME/file-roller,,,,2026-07-05T17:43:25+00:00
five-or-more,five-or-more,gnome.org,https://gitlab.gnome.org/GNOME/five-or-more,GNOME/five-or-more,,,Remove colored balls from the board by forming lines,2026-07-05T17:43:25+00:00
folks,folks,gnome.org,https://gitlab.gnome.org/GNOME/folks,GNOME/folks,,,"Folks is a contact aggregation library. It retrieves contacts from various sources (including Telepathy IM accounts, and local contact stores) and compiles them into fully-fledged people objects.",2026-07-05T17:43:25+00:00
foundry,foundry,gnome.org,https://gitlab.gnome.org/GNOME/foundry,GNOME/foundry,,,Foundry provides a platform for developer tools in GNOME,2026-07-05T17:43:25+00:00
four-in-a-row,four-in-a-row,gnome.org,https://gitlab.gnome.org/GNOME/four-in-a-row,GNOME/four-in-a-row,,,,2026-07-05T17:43:25+00:00
frogr,frogr,gnome.org,https://gitlab.gnome.org/GNOME/frogr,GNOME/frogr,,,,2026-07-05T17:43:25+00:00
gcab,gcab,gnome.org,https://gitlab.gnome.org/GNOME/gcab,GNOME/gcab,,,,2026-07-05T17:43:25+00:00
gcr,gcr,gnome.org,https://gitlab.gnome.org/GNOME/gcr,GNOME/gcr,,,,2026-07-05T17:43:25+00:00
gdk-pixbuf,gdk-pixbuf,gnome.org,https://gitlab.gnome.org/GNOME/gdk-pixbuf,GNOME/gdk-pixbuf,,,,2026-07-05T17:43:25+00:00
gdm,gdm,gnome.org,https://gitlab.gnome.org/GNOME/gdm,GNOME/gdm,,,,2026-07-05T17:43:25+00:00
Geary,geary,gnome.org,https://gitlab.gnome.org/GNOME/geary,GNOME/geary,,,"Geary is an email application built around conversations, for the GNOME desktop.",2026-07-05T17:43:25+00:00
gedit-latex,gedit-latex,gnome.org,https://gitlab.gnome.org/GNOME/gedit-latex,GNOME/gedit-latex,,,,2026-07-05T17:43:25+00:00
gegl,gegl,gnome.org,https://gitlab.gnome.org/GNOME/gegl,GNOME/gegl,,,,2026-07-05T17:43:25+00:00
genius,genius,gnome.org,https://gitlab.gnome.org/GNOME/genius,GNOME/genius,,,,2026-07-05T17:43:25+00:00
geocode-glib,geocode-glib,gnome.org,https://gitlab.gnome.org/GNOME/geocode-glib,GNOME/geocode-glib,,,,2026-07-05T17:43:25+00:00
gexiv2,gexiv2,gnome.org,https://gitlab.gnome.org/GNOME/gexiv2,GNOME/gexiv2,,,"gexiv2 is a GObject wrapper around the Exiv2 photo metadata library. It allows for GNOME applications to easily inspect and update EXIF, IPTC, and XMP metadata in photo and video files of various form",2026-07-05T17:43:25+00:00
GHex,ghex,gnome.org,https://gitlab.gnome.org/GNOME/ghex,GNOME/ghex,,,Simple hex editor for the GNOME desktop,2026-07-05T17:43:25+00:00
gi-docgen,gi-docgen,gnome.org,https://gitlab.gnome.org/GNOME/gi-docgen,GNOME/gi-docgen,,,A documentation generator for GObject-based libraries,2026-07-05T17:43:25+00:00
GIMP,gimp,gnome.org,https://gitlab.gnome.org/GNOME/gimp,GNOME/gimp,,,The GNU Image Manipulation Program,2026-07-05T17:43:25+00:00
gimp-book-painting,gimp-book-painting,gnome.org,https://gitlab.gnome.org/GNOME/gimp-book-painting,GNOME/gimp-book-painting,,,,2026-07-05T17:43:25+00:00
gimp-data,gimp-data,gnome.org,https://gitlab.gnome.org/GNOME/gimp-data,GNOME/gimp-data,,,,2026-07-05T17:43:25+00:00
gimp-data-extras,gimp-data-extras,gnome.org,https://gitlab.gnome.org/GNOME/gimp-data-extras,GNOME/gimp-data-extras,,,,2026-07-05T17:43:25+00:00
gimp-help,gimp-help,gnome.org,https://gitlab.gnome.org/GNOME/gimp-help,GNOME/gimp-help,,,,2026-07-05T17:43:25+00:00
gimp-perl,gimp-perl,gnome.org,https://gitlab.gnome.org/GNOME/gimp-perl,GNOME/gimp-perl,,,,2026-07-05T17:43:25+00:00
gitg,gitg,gnome.org,https://gitlab.gnome.org/GNOME/gitg,GNOME/gitg,,,gitg is a GUI client to view git repositories https://wiki.gnome.org/Apps/Gitg/,2026-07-05T17:43:25+00:00
gjs,gjs,gnome.org,https://gitlab.gnome.org/GNOME/gjs,GNOME/gjs,,,GNOME Javascript bindings,2026-07-05T17:43:25+00:00
GLib,glib,gnome.org,https://gitlab.gnome.org/GNOME/glib,GNOME/glib,,,Low-level core library that forms the basis for projects such as GTK and GNOME.,2026-07-05T17:43:25+00:00
glib-networking,glib-networking,gnome.org,https://gitlab.gnome.org/GNOME/glib-networking,GNOME/glib-networking,,,Network extensions for GLib,2026-07-05T17:43:25+00:00
glibmm,glibmm,gnome.org,https://gitlab.gnome.org/GNOME/glibmm,GNOME/glibmm,,,,2026-07-05T17:43:25+00:00
glycin,glycin,gnome.org,https://gitlab.gnome.org/GNOME/glycin,GNOME/glycin,,,Sandboxed and extendable image loading,2026-07-05T17:43:25+00:00
2048,gnome-2048,gnome.org,https://gitlab.gnome.org/GNOME/gnome-2048,GNOME/gnome-2048,,,,2026-07-05T17:43:25+00:00
gnome-app-list,gnome-app-list,gnome.org,https://gitlab.gnome.org/GNOME/gnome-app-list,GNOME/gnome-app-list,,,,2026-07-05T17:43:25+00:00
gnome-applets,gnome-applets,gnome.org,https://gitlab.gnome.org/GNOME/gnome-applets,GNOME/gnome-applets,,,,2026-07-05T17:43:25+00:00
gnome-autoar,gnome-autoar,gnome.org,https://gitlab.gnome.org/GNOME/gnome-autoar,GNOME/gnome-autoar,,,,2026-07-05T17:43:25+00:00
gnome-backgrounds,gnome-backgrounds,gnome.org,https://gitlab.gnome.org/GNOME/gnome-backgrounds,GNOME/gnome-backgrounds,,,Default wallpaper set for GNOME. Please read the guidelines before suggesting additions.,2026-07-05T17:43:25+00:00
gnome-battery-bench,gnome-battery-bench,gnome.org,https://gitlab.gnome.org/GNOME/gnome-battery-bench,GNOME/gnome-battery-bench,,,,2026-07-05T17:43:25+00:00
gnome-bluetooth,gnome-bluetooth,gnome.org,https://gitlab.gnome.org/GNOME/gnome-bluetooth,GNOME/gnome-bluetooth,,,,2026-07-05T17:43:25+00:00
GNOME Boxes,gnome-boxes,gnome.org,https://gitlab.gnome.org/GNOME/gnome-boxes,GNOME/gnome-boxes,,,Virtualization made simple. https://gnomeboxes.org This project is in low-maintenance mode. This repo is no longer receiving active feature updates. Active development has moved to a new code base at ,2026-07-05T17:43:25+00:00
gnome-boxes-logos,gnome-boxes-logos,gnome.org,https://gitlab.gnome.org/GNOME/gnome-boxes-logos,GNOME/gnome-boxes-logos,,,The Libosinfo database of logos used by GNOME Boxes,2026-07-05T17:43:25+00:00
Break Timer,gnome-break-timer,gnome.org,https://gitlab.gnome.org/GNOME/gnome-break-timer,GNOME/gnome-break-timer,,,,2026-07-05T17:43:25+00:00
gnome-browser-connector,gnome-browser-connector,gnome.org,https://gitlab.gnome.org/GNOME/gnome-browser-connector,GNOME/gnome-browser-connector,,,,2026-07-05T17:43:25+00:00
gnome-browser-extension,gnome-browser-extension,gnome.org,https://gitlab.gnome.org/GNOME/gnome-browser-extension,GNOME/gnome-browser-extension,,,GNOME Shell browser extension,2026-07-05T17:43:25+00:00
gnome-browser-integration,gnome-browser-integration,gnome.org,https://gitlab.gnome.org/GNOME/gnome-browser-integration,GNOME/gnome-browser-integration,,,GNOME browser integration website,2026-07-05T17:43:25+00:00
gnome-build-meta,gnome-build-meta,gnome.org,https://gitlab.gnome.org/GNOME/gnome-build-meta,GNOME/gnome-build-meta,,,The GNOME Build Metadata repository is where the GNOME release team manages build metadata for building the GNOME software stack.,2026-07-05T17:43:25+00:00
gnome-builder,gnome-builder,gnome.org,https://gitlab.gnome.org/GNOME/gnome-builder,GNOME/gnome-builder,,,An IDE for writing GNOME-based software.,2026-07-05T17:43:25+00:00
gnome-calculator,gnome-calculator,gnome.org,https://gitlab.gnome.org/GNOME/gnome-calculator,GNOME/gnome-calculator,,,Calculator for solving mathematical equations,2026-07-05T17:43:25+00:00
gnome-calendar,gnome-calendar,gnome.org,https://gitlab.gnome.org/GNOME/gnome-calendar,GNOME/gnome-calendar,,,Calendar application for GNOME,2026-07-05T17:43:25+00:00
Characters,gnome-characters,gnome.org,https://gitlab.gnome.org/GNOME/gnome-characters,GNOME/gnome-characters,,,Character map application,2026-07-05T17:43:25+00:00
Chess,gnome-chess,gnome.org,https://gitlab.gnome.org/GNOME/gnome-chess,GNOME/gnome-chess,,,,2026-07-05T17:43:25+00:00
Clocks,gnome-clocks,gnome.org,https://gitlab.gnome.org/GNOME/gnome-clocks,GNOME/gnome-clocks,,,Time for Clocks,2026-07-05T17:43:25+00:00
gnome-color-manager,gnome-color-manager,gnome.org,https://gitlab.gnome.org/GNOME/gnome-color-manager,GNOME/gnome-color-manager,,,,2026-07-05T17:43:25+00:00
gnome-commander,gnome-commander,gnome.org,https://gitlab.gnome.org/GNOME/gnome-commander,GNOME/gnome-commander,,,,2026-07-05T17:43:25+00:00
Connections,gnome-connections,gnome.org,https://gitlab.gnome.org/GNOME/gnome-connections,GNOME/gnome-connections,,,A remote desktop client for the GNOME desktop environment,2026-07-05T17:43:25+00:00
GNOME Contacts,gnome-contacts,gnome.org,https://gitlab.gnome.org/GNOME/gnome-contacts,GNOME/gnome-contacts,,,Manage your contacts in GNOME,2026-07-05T17:43:25+00:00
Settings,gnome-control-center,gnome.org,https://gitlab.gnome.org/GNOME/gnome-control-center,GNOME/gnome-control-center,,,GNOME's main interface to configure various aspects of the desktop. Developer Documentation https://gitlab.gnome.org/GNOME/gnome-control-center/-/blob/main/docs/index.md,2026-07-05T17:43:25+00:00
GNOME Utility Library,gnome-desktop,gnome.org,https://gitlab.gnome.org/GNOME/gnome-desktop,GNOME/gnome-desktop,,,libgnome-desktop is an unstable backend library for sharing code between GNOME desktop components.,2026-07-05T17:43:25+00:00
gnome-desktop-testing,gnome-desktop-testing,gnome.org,https://gitlab.gnome.org/GNOME/gnome-desktop-testing,GNOME/gnome-desktop-testing,,,,2026-07-05T17:43:25+00:00
gnome-directory-thumbnailer,gnome-directory-thumbnailer,gnome.org,https://gitlab.gnome.org/GNOME/gnome-directory-thumbnailer,GNOME/gnome-directory-thumbnailer,,,,2026-07-05T17:43:25+00:00
gnome-disk-utility,gnome-disk-utility,gnome.org,https://gitlab.gnome.org/GNOME/gnome-disk-utility,GNOME/gnome-disk-utility,,,"GNOME Disks, gnome-disk-image-mounter and gsd-disk-utility-notify are libraries and applications for dealing with storage devices.",2026-07-05T17:43:25+00:00
gnome-epub-thumbnailer,gnome-epub-thumbnailer,gnome.org,https://gitlab.gnome.org/GNOME/gnome-epub-thumbnailer,GNOME/gnome-epub-thumbnailer,,,,2026-07-05T17:43:25+00:00
gnome-extensions-app,gnome-extensions-app,gnome.org,https://gitlab.gnome.org/GNOME/gnome-extensions-app,GNOME/gnome-extensions-app,,,,2026-07-05T17:43:25+00:00
gnome-flashback,gnome-flashback,gnome.org,https://gitlab.gnome.org/GNOME/gnome-flashback,GNOME/gnome-flashback,,,,2026-07-05T17:43:25+00:00
Fonts,gnome-font-viewer,gnome.org,https://gitlab.gnome.org/GNOME/gnome-font-viewer,GNOME/gnome-font-viewer,,,View fonts on your system,2026-07-05T17:43:25+00:00
gnome-i18n,gnome-i18n,gnome.org,https://gitlab.gnome.org/GNOME/gnome-i18n,GNOME/gnome-i18n,,,,2026-07-05T17:43:25+00:00
gnome-initial-setup,gnome-initial-setup,gnome.org,https://gitlab.gnome.org/GNOME/gnome-initial-setup,GNOME/gnome-initial-setup,,,,2026-07-05T17:43:25+00:00
gnome-keyring,gnome-keyring,gnome.org,https://gitlab.gnome.org/GNOME/gnome-keyring,GNOME/gnome-keyring,,,,2026-07-05T17:43:25+00:00
gnome-keysign,gnome-keysign,gnome.org,https://gitlab.gnome.org/GNOME/gnome-keysign,GNOME/gnome-keysign,,,"An easier way to sign OpenPGP keys over the local network. A GTK/GNOME application to use GnuPG for signing other peoples' keys. Quickly, easily, and securely.",2026-07-05T17:43:25+00:00
GNOME Kiosk,gnome-kiosk,gnome.org,https://gitlab.gnome.org/GNOME/gnome-kiosk,GNOME/gnome-kiosk,,,"mutter based compositor for kiosks Kiosk provides a desktop enviroment suitable for fixed purpose, or single application deployments like wall displays and point-of-sale systems.",2026-07-05T17:43:25+00:00
Klotski,gnome-klotski,gnome.org,https://gitlab.gnome.org/GNOME/gnome-klotski,GNOME/gnome-klotski,,,,2026-07-05T17:43:25+00:00
gnome-kra-ora-thumbnailer,gnome-kra-ora-thumbnailer,gnome.org,https://gitlab.gnome.org/GNOME/gnome-kra-ora-thumbnailer,GNOME/gnome-kra-ora-thumbnailer,,,,2026-07-05T17:43:25+00:00
gnome-logs,gnome-logs,gnome.org,https://gitlab.gnome.org/GNOME/gnome-logs,GNOME/gnome-logs,,,,2026-07-05T17:43:25+00:00
Mahjongg,gnome-mahjongg,gnome.org,https://gitlab.gnome.org/GNOME/gnome-mahjongg,GNOME/gnome-mahjongg,,,Match tiles and clear the board,2026-07-05T17:43:25+00:00
gnome-maps,gnome-maps,gnome.org,https://gitlab.gnome.org/GNOME/gnome-maps,GNOME/gnome-maps,,,,2026-07-05T17:43:25+00:00
gnome-menus,gnome-menus,gnome.org,https://gitlab.gnome.org/GNOME/gnome-menus,GNOME/gnome-menus,,,GNOME Menu support,2026-07-05T17:43:25+00:00
gnome-mines,gnome-mines,gnome.org,https://gitlab.gnome.org/GNOME/gnome-mines,GNOME/gnome-mines,,,Clear hidden mines from a minefield,2026-07-05T17:43:25+00:00
gnome-multi-writer,gnome-multi-writer,gnome.org,https://gitlab.gnome.org/GNOME/gnome-multi-writer,GNOME/gnome-multi-writer,,,GNOME MultiWriter can be used to write an ISO file to multiple USB devices at once.,2026-07-05T17:43:25+00:00
gnome-music,gnome-music,gnome.org,https://gitlab.gnome.org/GNOME/gnome-music,GNOME/gnome-music,,,,2026-07-05T17:43:25+00:00
gnome-network-displays,gnome-network-displays,gnome.org,https://gitlab.gnome.org/GNOME/gnome-network-displays,GNOME/gnome-network-displays,,,Screencasting for GNOME. Supports the Miracast and Chromecast protocols.,2026-07-05T17:43:25+00:00
Nibbles,gnome-nibbles,gnome.org,https://gitlab.gnome.org/GNOME/gnome-nibbles,GNOME/gnome-nibbles,,,,2026-07-05T17:43:25+00:00
gnome-online-accounts,gnome-online-accounts,gnome.org,https://gitlab.gnome.org/GNOME/gnome-online-accounts,GNOME/gnome-online-accounts,,,Single sign-on framework for core GNOME components,2026-07-05T17:43:25+00:00
gnome-packagekit,gnome-packagekit,gnome.org,https://gitlab.gnome.org/GNOME/gnome-packagekit,GNOME/gnome-packagekit,,,,2026-07-05T17:43:25+00:00
gnome-panel,gnome-panel,gnome.org,https://gitlab.gnome.org/GNOME/gnome-panel,GNOME/gnome-panel,,,,2026-07-05T17:43:25+00:00
gnome-power-manager,gnome-power-manager,gnome.org,https://gitlab.gnome.org/GNOME/gnome-power-manager,GNOME/gnome-power-manager,,,,2026-07-05T17:43:25+00:00
gnome-remote-desktop,gnome-remote-desktop,gnome.org,https://gitlab.gnome.org/GNOME/gnome-remote-desktop,GNOME/gnome-remote-desktop,,,Remote desktop server which allows you to connect to your machine remotely,2026-07-05T17:43:25+00:00
gnome-robots,gnome-robots,gnome.org,https://gitlab.gnome.org/GNOME/gnome-robots,GNOME/gnome-robots,,,,2026-07-05T17:43:25+00:00
gnome-runtime-images,gnome-runtime-images,gnome.org,https://gitlab.gnome.org/GNOME/gnome-runtime-images,GNOME/gnome-runtime-images,,,,2026-07-05T17:43:25+00:00
gnome-session,gnome-session,gnome.org,https://gitlab.gnome.org/GNOME/gnome-session,GNOME/gnome-session,,,,2026-07-05T17:43:25+00:00
gnome-settings-daemon,gnome-settings-daemon,gnome.org,https://gitlab.gnome.org/GNOME/gnome-settings-daemon,GNOME/gnome-settings-daemon,,,,2026-07-05T17:43:25+00:00
gnome-shell,gnome-shell,gnome.org,https://gitlab.gnome.org/GNOME/gnome-shell,GNOME/gnome-shell,,,,2026-07-05T17:43:25+00:00
gnome-shell-extensions,gnome-shell-extensions,gnome.org,https://gitlab.gnome.org/GNOME/gnome-shell-extensions,GNOME/gnome-shell-extensions,,,GNOME Shell Extensions is a collection of extensions providing additional and optional functionality to GNOME Shell.,2026-07-05T17:43:25+00:00
gnome-software,gnome-software,gnome.org,https://gitlab.gnome.org/GNOME/gnome-software,GNOME/gnome-software,,,,2026-07-05T17:43:25+00:00
gnome-subtitles,gnome-subtitles,gnome.org,https://gitlab.gnome.org/GNOME/gnome-subtitles,GNOME/gnome-subtitles,,,"Gnome Subtitles is a subtitle editor for the GNOME desktop. It supports the most common text-based subtitle formats and allows for subtitle editing, translation and synchronization.",2026-07-05T17:43:25+00:00
Sudoku,gnome-sudoku,gnome.org,https://gitlab.gnome.org/GNOME/gnome-sudoku,GNOME/gnome-sudoku,,,,2026-07-05T17:43:25+00:00
gnome-system-monitor,gnome-system-monitor,gnome.org,https://gitlab.gnome.org/GNOME/gnome-system-monitor,GNOME/gnome-system-monitor,,,View current processes and monitor system state,2026-07-05T17:43:25+00:00
Taquin,gnome-taquin,gnome.org,https://gitlab.gnome.org/GNOME/gnome-taquin,GNOME/gnome-taquin,,,,2026-07-05T17:43:25+00:00
gnome-terminal,gnome-terminal,gnome.org,https://gitlab.gnome.org/GNOME/gnome-terminal,GNOME/gnome-terminal,,,GNOME Terminal # **You must read the [FAQ](https://gitlab.gnome.org/GNOME/gnome-terminal/-/wikis/FAQ) and the [bug reporting guidelines](https://gitlab.gnome.org/GNOME/gnome-terminal/-/wikis/BugReport,2026-07-05T17:43:25+00:00
Tetravex,gnome-tetravex,gnome.org,https://gitlab.gnome.org/GNOME/gnome-tetravex,GNOME/gnome-tetravex,,,Reorder tiles to fit a square,2026-07-05T17:43:25+00:00
gnome-text-editor,gnome-text-editor,gnome.org,https://gitlab.gnome.org/GNOME/gnome-text-editor,GNOME/gnome-text-editor,,,A simple text editor,2026-07-05T17:43:25+00:00
GNOME Tour,gnome-tour,gnome.org,https://gitlab.gnome.org/GNOME/gnome-tour,GNOME/gnome-tour,,,GNOME Tour & Greeter.,2026-07-05T17:43:25+00:00
GNOME Tweaks,gnome-tweaks,gnome.org,https://gitlab.gnome.org/GNOME/gnome-tweaks,GNOME/gnome-tweaks,,,,2026-07-05T17:43:25+00:00
Usage,gnome-usage,gnome.org,https://gitlab.gnome.org/GNOME/gnome-usage,GNOME/gnome-usage,,,Analyse your system,2026-07-05T17:43:25+00:00
gnome-user-docs,gnome-user-docs,gnome.org,https://gitlab.gnome.org/GNOME/gnome-user-docs,GNOME/gnome-user-docs,,,GNOME User Documentation,2026-07-05T17:43:25+00:00
gnome-user-share,gnome-user-share,gnome.org,https://gitlab.gnome.org/GNOME/gnome-user-share,GNOME/gnome-user-share,,,,2026-07-05T17:43:25+00:00
Weather,gnome-weather,gnome.org,https://gitlab.gnome.org/GNOME/gnome-weather,GNOME/gnome-weather,,,"A small application that allows you to monitor the current weather conditions for your city, or anywhere in the world.",2026-07-05T17:43:25+00:00
gnomemm-website,gnomemm-website,gnome.org,https://gitlab.gnome.org/GNOME/gnomemm-website,GNOME/gnomemm-website,,,,2026-07-05T17:43:25+00:00
gnote,gnote,gnome.org,https://gitlab.gnome.org/GNOME/gnote,GNOME/gnote,,,,2026-07-05T17:43:25+00:00
gnumeric,gnumeric,gnome.org,https://gitlab.gnome.org/GNOME/gnumeric,GNOME/gnumeric,,,,2026-07-05T17:43:25+00:00
gnumeric-web,gnumeric-web,gnome.org,https://gitlab.gnome.org/GNOME/gnumeric-web,GNOME/gnumeric-web,,,,2026-07-05T17:43:25+00:00
gobject-introspection,gobject-introspection,gnome.org,https://gitlab.gnome.org/GNOME/gobject-introspection,GNOME/gobject-introspection,,,📘 https://gi.readthedocs.io 📗 [libgirepository API docs](https://gnome.pages.gitlab.gnome.org/gobject-introspection/girepository),2026-07-05T17:43:25+00:00
gobject-introspection-tests,gobject-introspection-tests,gnome.org,https://gitlab.gnome.org/GNOME/gobject-introspection-tests,GNOME/gobject-introspection-tests,,,,2026-07-05T17:43:25+00:00
goffice,goffice,gnome.org,https://gitlab.gnome.org/GNOME/goffice,GNOME/goffice,,,,2026-07-05T17:43:25+00:00
gom,gom,gnome.org,https://gitlab.gnome.org/GNOME/gom,GNOME/gom,,,,2026-07-05T17:43:25+00:00
gparted,gparted,gnome.org,https://gitlab.gnome.org/GNOME/gparted,GNOME/gparted,,,,2026-07-05T17:43:25+00:00
grilo,grilo,gnome.org,https://gitlab.gnome.org/GNOME/grilo,GNOME/grilo,,,,2026-07-05T17:43:25+00:00
grilo-plugins,grilo-plugins,gnome.org,https://gitlab.gnome.org/GNOME/grilo-plugins,GNOME/grilo-plugins,,,,2026-07-05T17:43:25+00:00
gsettings-desktop-schemas,gsettings-desktop-schemas,gnome.org,https://gitlab.gnome.org/GNOME/gsettings-desktop-schemas,GNOME/gsettings-desktop-schemas,,,,2026-07-05T17:43:25+00:00
gsound,gsound,gnome.org,https://gitlab.gnome.org/GNOME/gsound,GNOME/gsound,,,,2026-07-05T17:43:25+00:00
