repo,value_class,host,creators,origin,known_funders,repo_tm,repo_tm_owner,repo_tm_owner_domain,repo_tm_owner_type,repo_confidence,repo_reason,user,user_name,user_type,user_owner,user_owner_name,user_owner_domain,user_owner_type,user_tm,user_tm_owner,user_tm_owner_domain,user_tm_owner_type,user_confidence,user_reason,checked_at
abbr/deasync,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abbr,,,,,,,,,,,,,2026-04-27T23:00:00Z
abdolence/gcloud-sdk-rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abdolence,,,,,,,,,,,,,2026-04-27T23:00:00Z
abdolence/secret-vault-rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abdolence,,,,,,,,,,,,,2026-04-27T23:00:00Z
abersheeran/a2wsgi,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abersheeran,,,,,,,,,,,,,2026-04-27T23:00:00Z
abetlen/llama-cpp-python,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abetlen,,,,,,,,,,,,,2026-04-27T23:00:00Z
abhimanyuhk/aws-psycopg2,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abhimanyuhk,,,,,,,,,,,,,2026-04-27T23:00:00Z
abhinavk99/jikanpy,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abhinavk99,,,,,,,,,,,,,2026-04-27T23:00:00Z
abonander/buf_redux,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abonander,,,,,,,,,,,,,2026-04-27T23:00:00Z
abonander/mime_guess,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abonander,,,,,,,,,,,,,2026-04-27T23:00:00Z
abonander/multipart,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abonander,,,,,,,,,,,,,2026-04-27T23:00:00Z
abonander/safemem,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abonander,,,,,,,,,,,,,2026-04-27T23:00:00Z
aboutcode-org/license-expression,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aboutcode-org,,,,,,,,,,,,,2026-04-27T23:00:00Z
abramenal/cypress-file-upload,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abramenal,,,,,,,,,,,,,2026-04-27T23:00:00Z
abseil/abseil-cpp,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abseil,,,,,,,,,,,,,2026-04-27T23:00:00Z
abseil/abseil-py,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abseil,,,,,,,,,,,,,2026-04-27T23:00:00Z
absolucy/nanorand-rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),absolucy,,,,,,,,,,,,,2026-04-27T23:00:00Z
absolucy/tracing-oslog,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),absolucy,,,,,,,,,,,,,2026-04-27T23:00:00Z
academysoftwarefoundation/imath,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),academysoftwarefoundation,,,,,,,,,,,,,2026-04-27T23:00:00Z
academysoftwarefoundation/openexr,C,lf,,,,Openexr,Linux Foundation,,nonprofit,85,lf-hosted; foundation holds the trademark,academysoftwarefoundation,,,,,,,,,,,,,2026-04-27T23:00:00Z
acatton/serde-yaml-ng,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),acatton,,,,,,,,,,,,,2026-04-27T23:00:00Z
accesskit/accesskit,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),accesskit,,,,,,,,,,,,,2026-04-27T23:00:00Z
acdenissk/uwl,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),acdenissk,,,,,,,,,,,,,2026-04-27T23:00:00Z
acdlite/change-emitter,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),acdlite,,,,,,,,,,,,,2026-04-27T23:00:00Z
acdlite/recompose,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),acdlite,,,,,,,,,,,,,2026-04-27T23:00:00Z
aceakash/string-similarity,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aceakash,,,,,,,,,,,,,2026-04-27T23:00:00Z
achanda/ipnetwork,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),achanda,,,,,,,,,,,,,2026-04-27T23:00:00Z
achreto/rust-armv8,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),achreto,,,,,,,,,,,,,2026-04-27T23:00:00Z
acidic9/bae,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),acidic9,,,,,,,,,,,,,2026-04-27T23:00:00Z
aclysma/basis-universal-rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aclysma,,,,,,,,,,,,,2026-04-27T23:00:00Z
aclysma/profiling,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aclysma,,,,,,,,,,,,,2026-04-27T23:00:00Z
aclysma/wepoll-ffi,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aclysma,,,,,,,,,,,,,2026-04-27T23:00:00Z
acornjs/acorn,A,,,,,Acorn,Marijn Haverbeke,marijnhaverbeke.nl,community,90,inherited from owner mapping (acornjs),acornjs,,Organization,acornjs,Acorn,marijnhaverbeke.nl,community,Acorn,Marijn Haverbeke,marijnhaverbeke.nl,community,90,JS parser maintained by Marijn Haverbeke,2026-04-27T22:41:10Z
acornjs/acorn-jsx,B,,,,,Acorn,Marijn Haverbeke,marijnhaverbeke.nl,community,90,inherited from owner mapping (acornjs),acornjs,,Organization,acornjs,Acorn,marijnhaverbeke.nl,community,Acorn,Marijn Haverbeke,marijnhaverbeke.nl,community,90,JS parser maintained by Marijn Haverbeke,2026-04-27T22:41:10Z
acryldata/avro_gen,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),acryldata,,,,,,,,,,,,,2026-04-27T23:00:00Z
actions/toolkit,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),actions,,,,,,,,,,,,,2026-04-27T23:00:00Z
activestate/appdirs,C,psf,,,,Appdirs,Python Software Foundation,,nonprofit,85,psf-hosted; foundation holds the trademark,activestate,,,,,,,,,,,,,2026-04-27T23:00:00Z
actix/actix,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),actix,,,,,,,,,,,,,2026-04-27T23:00:00Z
actix/actix-extras,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),actix,,,,,,,,,,,,,2026-04-27T23:00:00Z
actix/actix-net,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),actix,,,,,,,,,,,,,2026-04-27T23:00:00Z
actix/actix-web,C,,Nikolay Kim,Created by Nikolay Kim in 2017 as one of the fastest web frameworks ever benchmarked; controversial governance period in 2020.,individual contributors,,,,,0,owner not in claude-github-users.csv (likely C/D class),actix,,,,,,,,,,,,,2026-04-27T23:00:00Z
actyx/sync_wrapper,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),actyx,,,,,,,,,,,,,2026-04-27T23:00:00Z
acw/simple_asn1,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),acw,,,,,,,,,,,,,2026-04-27T23:00:00Z
ada-url/ada,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),ada-url,,,,,,,,,,,,,2026-04-27T23:00:00Z
adah1972/libunibreak,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adah1972,,,,,,,,,,,,,2026-04-27T23:00:00Z
adaltas/node-csv,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adaltas,,,,,,,,,,,,,2026-04-27T23:00:00Z
adaltas/node-http-status,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adaltas,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamchainz/django-cors-headers,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamchainz,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamchainz/ec2-metadata,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamchainz,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamchainz/flake8-comprehensions,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamchainz,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamchainz/time-machine,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamchainz,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamcrume/java-properties,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamcrume,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamgruber/mochawesome,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamgruber,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamgruber/mochawesome-report-generator,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamgruber,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamreisnz/replace-in-file,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamreisnz,,,,,,,,,,,,,2026-04-27T23:00:00Z
adamwdraper/numeral-js,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adamwdraper,,,,,,,,,,,,,2026-04-27T23:00:00Z
adbar/htmldate,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adbar,,,,,,,,,,,,,2026-04-27T23:00:00Z
addaleax/eventemitter-asyncresource,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),addaleax,,,,,,,,,,,,,2026-04-27T23:00:00Z
addaleax/nice-napi,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),addaleax,,,,,,,,,,,,,2026-04-27T23:00:00Z
addr-rs/addr,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),addr-rs,,,,,,,,,,,,,2026-04-27T23:00:00Z
addr-rs/psl,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),addr-rs,,,,,,,,,,,,,2026-04-27T23:00:00Z
addr-rs/psl-types,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),addr-rs,,,,,,,,,,,,,2026-04-27T23:00:00Z
adobe/css-tools,C,,,,,Adobe,Adobe Inc. (ADBE),,company,90,inherited from owner mapping (adobe),adobe,"Adobe, Inc.",Organization,adobe,"Adobe, Inc.",adobe.com,company,Adobe,Adobe Inc. (ADBE),adobe.com,company,90,publicly listed company,2026-04-27T22:41:10Z
adobe/react-spectrum,B,,,,Adobe,Adobe,Adobe Inc. (ADBE),adobe.com,company,90,inherited from owner mapping (adobe),adobe,"Adobe, Inc.",Organization,adobe,"Adobe, Inc.",adobe.com,company,Adobe,Adobe Inc. (ADBE),adobe.com,company,90,publicly listed company,2026-04-27T22:41:10Z
adraffy/ens-normalize.js,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adraffy,,,,,,,,,,,,,2026-04-27T23:00:00Z
adriantoine/enzyme-to-json,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adriantoine,,,,,,,,,,,,,2026-04-27T23:00:00Z
adrienverge/yamllint,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adrienverge,,,,,,,,,,,,,2026-04-27T23:00:00Z
adwhit/diesel-derive-enum,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),adwhit,,,,,,,,,,,,,2026-04-27T23:00:00Z
aeledfyr/deepsize,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aeledfyr,,,,,,,,,,,,,2026-04-27T23:00:00Z
aembke/fred-macros,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aembke,,,,,,,,,,,,,2026-04-27T23:00:00Z
aembke/fred.rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aembke,,,,,,,,,,,,,2026-04-27T23:00:00Z
aembke/redis-protocol.rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aembke,,,,,,,,,,,,,2026-04-27T23:00:00Z
aerialx/const-default.rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aerialx,,,,,,,,,,,,,2026-04-27T23:00:00Z
aetf/unicode-truncate,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aetf,,,,,,,,,,,,,2026-04-27T23:00:00Z
afc163/array-tree-filter,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),afc163,,,,,,,,,,,,,2026-04-27T23:00:00Z
agentzh/echo-nginx-module,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),agentzh,,,,,,,,,,,,,2026-04-27T23:00:00Z
agerasev/ringbuf,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),agerasev,,,,,,,,,,,,,2026-04-27T23:00:00Z
agronholm/anyio,B,,Alex Grönholm,,Tidelift | Encode,,,,individual,90,inherited from owner mapping (agronholm),agronholm,,,agronholm,Alex Grönholm,,individual,,,,individual,90,solo Python maintainer (apscheduler/anyio),2026-04-27T22:41:10Z
agronholm/cbor2,D,,Alex Grönholm,,,,,,individual,90,inherited from owner mapping (agronholm),agronholm,,,agronholm,Alex Grönholm,,individual,,,,individual,90,solo Python maintainer (apscheduler/anyio),2026-04-27T22:41:10Z
agronholm/exceptiongroup,B,,Alex Grönholm,,,,,,individual,90,inherited from owner mapping (agronholm),agronholm,,,agronholm,Alex Grönholm,,individual,,,,individual,90,solo Python maintainer (apscheduler/anyio),2026-04-27T22:41:10Z
agronholm/pythonfutures,C,,Alex Grönholm,,,,,,individual,90,inherited from owner mapping (agronholm),agronholm,,,agronholm,Alex Grönholm,,individual,,,,individual,90,solo Python maintainer (apscheduler/anyio),2026-04-27T22:41:10Z
agrueneberg/corser,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),agrueneberg,,,,,,,,,,,,,2026-04-27T23:00:00Z
aheckmann/mpath,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aheckmann,,,,,,,,,,,,,2026-04-27T23:00:00Z
aheckmann/mquery,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aheckmann,,,,,,,,,,,,,2026-04-27T23:00:00Z
aheckmann/regexp-clone,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aheckmann,,,,,,,,,,,,,2026-04-27T23:00:00Z
aheckmann/sliced,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aheckmann,,,,,,,,,,,,,2026-04-27T23:00:00Z
ahl/does-it-json,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),ahl,,,,,,,,,,,,,2026-04-27T23:00:00Z
ahl/schema,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),ahl,,,,,,,,,,,,,2026-04-27T23:00:00Z
ahmadnassri/har-schema,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),ahmadnassri,,,,,,,,,,,,,2026-04-27T23:00:00Z
ahmadnassri/node-glob-promise,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),ahmadnassri,,,,,,,,,,,,,2026-04-27T23:00:00Z
ahmadnassri/node-har-validator,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),ahmadnassri,,,,,,,,,,,,,2026-04-27T23:00:00Z
ahupp/python-magic,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),ahupp,,,,,,,,,,,,,2026-04-27T23:00:00Z
ai/nanoid,B,,Andrey Sitnik,"Created by Andrey Sitnik in 2017 as a smaller, faster, URL-safe alternative to UUID v4.",,,,,individual,90,inherited from owner mapping (ai),ai,Andrey Sitnik,User,ai,Andrey Sitnik,sitnik.es,individual,,,sitnik.es,individual,90,solo maintainer (nanoid/postcss/etc),2026-04-27T22:41:10Z
aikoven/assert-never,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aikoven,,,,,,,,,,,,,2026-04-27T23:00:00Z
aio-libs/aiobotocore,A,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiocache,D,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiohappyeyeballs,B,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiohttp,A,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiohttp-cors,D,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiokafka,D,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiomysql,D,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiorwlock,D,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/aiosignal,B,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/async-lru,C,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/async-timeout,B,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/frozenlist,B,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
aio-libs/multidict,B,,,,,,,,community,90,inherited from owner mapping (aio-libs),aio-libs,aio-libs,Organization,aio-libs,aio-libs,,community,,,,community,90,Python asyncio community collective,2026-04-27T22:41:10Z
