"user","user_id","user_type","name","company","blog","domain","is_verified","foundation","followers","public_repos","source"
"aandrewww","","","","","","","False","","","",""
"aaronabramov","","","","","","","False","","","",""
"aaronmansfield5","","","","","","","False","","","",""
"aaronmccall","","","","","","","False","","","",""
"aaronshaf","122654","User","Aaron Shafovaloff","@instructure ","","","False","","233","320","db"
"abakay","","","","","","","False","","","",""
"abaumhauer","","","","","","","False","","","",""
"abbr","","","","","","","False","","","",""
"abersheeran","","","","","","","False","","","",""
"abetlen","6826477","User","Andrei","","","","False","","608","49","db"
"abhimanyuhk","","","","","","","False","","","",""
"abhinaba-ghosh","","","","","","","False","","","",""
"abhinavk99","","","","","","","False","","","",""
"abhisekp","","","","","","","False","","","",""
"abhishekkyd","","","","","","","False","","","",""
"ably","","","","","","","False","","","",""
"ably-forks","","","","","","","False","","","",""
"abonander","","","","","","","False","","","",""
"abosamoor","172182","User","RAMI ALRFOU","Google","alrfou.com","","False","","203","35","db"
"aboutcode-org","95001295","Organization","AboutCode","","https://aboutcode.org","","False","","234","143","db"
"abrkn","","","","","","","False","","","",""
"abseil","26718316","Organization","Abseil","","https://www.abseil.io","","False","","683","6","db"
"absent1706","","","","","","","False","","","",""
"absolucy","","","","","","","False","","","",""
"absolute-version","","","","","","","False","","","",""
"abulgakoff","","","","","","","False","","","",""
"abusix","","","","","","","False","","","",""
"acacode","39670415","Organization","acacode","","","","False","","30","13","db"
"acatton","","","","","","","False","","","",""
"accesskit","86313622","Organization","","","https://accesskit.dev","","False","","47","7","db"
"acdlite","3624098","User","Andrew Clark","@vercel ","andrewclark.io","","False","","14909","74","db"
"aceakash","1387900","User","Akash K","","","","False","","35","77","db"
"achanda","","","","","","","False","","","",""
"achillean","373864","User","John Matherly","Shodan","https://developer.shodan.io","","False","","614","15","db"
"achingbrain","","","","","","","False","","","",""
"achreto","","","","","","","False","","","",""
"acidic9","","","","","","","False","","","",""
"acloudguru","","","","","","","False","","","",""
"aclysma","","","","","","","False","","","",""
"aconbere","","","","","","","False","","","",""
"aconrad","","","","","","","False","","","",""
"acornjs","34631683","Organization","","","","","False","","103","17","db"
"acrazing","","","","","","","False","","","",""
"acroz","","","","","","","False","","","",""
"acryldata","","","","","","","False","","","",""
"acsone","","","","","","","False","","","",""
"actions","44036562","Organization","GitHub Actions","","https://github.com/features/actions","github.com","True","","9720","82","db"
"activecampaign","563440","Organization","ActiveCampaign","","https://www.activecampaign.com","","False","","69","86","db"
"activeliang","","","","","","","False","","","",""
"activestate","319781","Organization","ActiveState Software","","https://activestate.com/","activestate.com","True","","241","245","db"
"actix","32776943","Organization","Actix","","https://actix.rs","actix.rs","True","","886","16","db"
"actuallyacat","","","","","","","False","","","",""
"actyx","","","","","","","False","","","",""
"acw","","","","","","","False","","","",""
"ad-m","3618479","User","Adam Dobrawy","Redakcja ""Jasność""","http://ochrona.jawne.info.pl","","False","","180","115","db"
"adaltas","8912778","Organization","","","","","False","","47","100","db"
"adamayres","","","","","","","False","","","",""
"adamboche","","","","","","","False","","","",""
"adamchainz","857609","User","Adam Johnson","@django, @djangolondon","https://adamj.eu/","","False","","3921","1342","db"
"adamcrume","","","","","","","False","","","",""
"adametry","","","","","","","False","","","",""
"adamgibbons","","","","","","","False","","","",""
"adamgleave","","","","","","","False","","","",""
"adamgruber","2378900","User","Adam Gruber","Prime Video","","","False","","130","70","db"
"adamhalasz","","","","","","","False","","","",""
"adamjstewart","","","","","","","False","","","",""
"adamreisnz","","","","","","","False","","","",""
"adamshaylor","","","","","","","False","","","",""
"adbar","2125866","User","Adrien Barbaresi","","adrien.barbaresi.eu","","False","","474","33","db"
"add2cal","108517909","Organization","Add to Calendar","","https://add-to-calendar-pro.com","add-to-calendar-pro.com","True","","16","6","db"
"addaleax","899444","User","Anna Henningsen","@mongodb ","https://bsky.app/profile/addaleax.bsky.social","","False","","1977","245","db"
"addr-rs","","","","","","","False","","","",""
"addyosmani","110953","User","Addy Osmani","Google","https://www.addyosmani.com","","False","","45383","352","db"
"adefossez","","","","","","","False","","","",""
"adeled","942068","User","","","","","False","","115","17","db"
"adelost","","","","","","","False","","","",""
"adgaudio","","","","","","","False","","","",""
"adierkens","","","","","","","False","","","",""
"admc","5144","User","Adam Christian","@AirLabsTeam ","http://admc.io","","False","","270","64","db"
"adobe","476009","Organization","Adobe, Inc.","","https://adobe.com","adobe.com","True","","2985","1069","db"
"adobe-webplatform","2976699","Organization","Adobe Web Platform","","http://webplatform.adobe.com/","","False","","98","26","db"
"adopted-ember-addons","","","","","","","False","","","",""
"adoxography","23176291","User","","","","","False","","15","25","db"
"adraffy","","","","","","","False","","","",""
"adriangb","","","","","","","False","","","",""
"adriantoine","","","","","","","False","","","",""
"adriengibrat","","","","","","","False","","","",""
"adrienjoly","","","","","","","False","","","",""
"adrienverge","5244945","User","Adrien Vergé","","","","False","","240","88","db"
"aduth","","","","","","","False","","","",""
"advanced-cropper","108796427","Organization","Advanced Cropper","","","","False","","23","4","db"
"advisr-io","","","","","","","False","","","",""
"aelbore","","","","","","","False","","","",""
"aeledfyr","","","","","","","False","","","",""
"aeolun","","","","","","","False","","","",""
"aerialx","","","","","","","False","","","",""
"aerogear","","","","","","","False","","","",""
"aetf","","","","","","","False","","","",""
"aexmachina","","","","","","","False","","","",""
"af","25241","User","Aaron Franks","","aaronfranks.com","","False","","92","108","db"
"afarkas","188254","User","Alexander Farkas","","http://boffinhouse.com","","False","","1212","67","db"
"afc163","507615","User","afc163","Alipay","https://twitter.com/afc163","","False","","7333","270","db"
"afonasev","","","","","","","False","","","",""
"afq984","","","","","","","False","","","",""
"ag-grid","30720768","Organization","AG Grid","","www.ag-grid.com","","False","","319","60","db"
"agebrock","","","","","","","False","","","",""
"agenda","29439479","Organization","Agenda","","","","False","","19","6","db"
"agentclientprotocol","235308037","Organization","Agent Client Protocol (ACP)","","https://agentclientprotocol.com/","agentclientprotocol.com","True","","225","11","db"
"agerasev","","","","","","","False","","","",""
"aghassemi","","","","","","","False","","","",""
"agilgur5","","","","","","","False","","","",""
"agnoster","15210","User","Isaac W","","","","False","","263","66","db"
"agontuk","5656440","User","Iftekhar Rifat","bKash Limited","https://agontuk.github.io/","","False","","134","45","db"
"agoraio","","","","","","","False","","","",""
"agranom","","","","","","","False","","","",""
"agreatfool","","","","","","","False","","","",""
"agronholm","130003","User","Alex Grönholm","NextDay Solutions Oy","","","False","","744","141","db"
"agrueneberg","","","","","","","False","","","",""
"aguingand","","","","","","","False","","","",""
"agustincb","","","","","","","False","","","",""
"ahawker","","","","","","","False","","","",""
"aheckmann","166834","User","Aaron Heckmann","","https://aaronheckmann.substack.com/","","False","","1373","69","db"
"aheissenberger","","","","","","","False","","","",""
"ahl","","","","","","","False","","","",""
"ahmadawais","960133","User","Ahmad Awais","Founder & CEO @CommandCodeAI, VP DevTools @Google gDAB GDE ","https://AhmadAwais.com","","False","","6619","828","db"
"ahmadnassri","","","","","","","False","","","",""
"ahmedadelfahim","","","","","","","False","","","",""
"aholachek","3680488","User","Alex Holachek","@DataDog","alex.holachek.com","","False","","1399","54","db"
"ahsanayaz","9844254","User","Muhammad Ahsan Ayaz","@Scania","https://codewithahsan.dev","","False","","1527","265","db"
"ahupp","40594","User","Adam Hupp","Facebook","http://hupp.org/adam/","","False","","98","28","db"
"ai","19343","User","Andrey Sitnik","@evilmartians","https://sitnik.es","","False","","9960","98","db"
"aidenybai","38025074","User","Aiden Bai","","https://aiden.mov","","False","","5176","179","db"
"aiguofer","","","","","","","False","","","",""
"aikoven","","","","","","","False","","","",""
"aintaer","","","","","","","False","","","",""
"aio-libs","7049303","Organization","aio-libs","","https://github.com/orgs/aio-libs/discussions","","False","","1168","73","db"
"aiogram","33784865","Organization","aiogram","","https://aiogram.dev","","False","","259","20","db"
"aiortc","47147108","Organization","","","","","False","","115","8","db"
"airbnb","698437","Organization","Airbnb","","https://airbnb.tech","airbnb.tech","True","","5478","203","db"
"airbytehq","59758427","Organization","Airbyte","","https://airbyte.io","airbyte.io","True","","958","94","db"
"airfooox","","","","","","","False","","","",""
"airjp73","","","","","","","False","","","",""
"airportyh","","","","","","","False","","","",""
"airtable","9687261","Organization","Airtable","","https://airtable.com","airtable.com","True","","455","33","db"
"aishek","","","","","","","False","","","",""
"aisk","","","","","","","False","","","",""
"ajafff","","","","","","","False","","","",""
"ajaxorg","168515","Organization","Ajax.org","","http://www.ajax.org","","False","","124","9","db"
"ajayaldo","","","","","","","False","","","",""
"ajitid","","","","","","","False","","","",""
"ajv-validator","46839968","Organization","Ajv JSON schema validator","","https://ajv.js.org/","","False","","78","15","db"
"akabekobeko","","","","","","","False","","","",""
"akamai","","","","","","","False","","","",""
"akamai-open","","","","","","","False","","","",""
"akaruidevelopment","","","","","","","False","","","",""
"akfamily","91018023","Organization","AKFamily","","https://akquant.akfamily.xyz/","","False","","654","9","db"
"akhilles","","","","","","","False","","","",""
"akiran","3403295","User","Kiran Abburi","Consultant","https://neostack.com","","False","","688","163","db"
"aklajnert","","","","","","","False","","","",""
"aknuds1","","","","","","","False","","","",""
"akoumjian","","","","","","","False","","","",""
"akryum","2798204","User","Guillaume Chau","","https://akryum.dev","","False","","5280","217","db"
"akshaynagpal","","","","","","","False","","","",""
"akubera","","","","","","","False","","","",""
"al45tair","","","","","","","False","","","",""
"al8n","","","","","","","False","","","",""
"alabianca","","","","","","","False","","","",""
"alacritty","29714349","Organization","Alacritty","","","","False","","529","11","db"
"aladdin-add","","","","","","","False","","","",""
"alafr","","","","","","","False","","","",""
"alampros","297461","User","Aaron Lampros","","https://alampros.com/","","False","","87","78","db"
"alandtse","7086117","User","Alan Tse","","https://www.buymeacoffee.com/alandtse","","False","","253","176","db"
"alangpierce","211605","User","Alan Pierce","Benchling","","","False","","262","51","db"
"alanjds","155623","User","Alan Justino da Silva","","","","False","","145","234","db"
"alanshaw","152863","User","ash","Storacha Network","https://storacha.network","","False","","1096","450","db"
"alansl","","","","","","","False","","","",""
"alasql","18397742","Organization","","","","","False","","30","15","db"
"albell","","","","","","","False","","","",""
"alberthaff","","","","","","","False","","","",""
"albertosottile","","","","","","","False","","","",""
"alchemyplatform","49798644","Organization","Alchemy","","https://www.alchemy.com","","False","","1030","157","db"
"alcibiades13","","","","","","","False","","","",""
"aldanor","","","","","","","False","","","",""
"aldaronlau","","","","","","","False","","","",""
"aleclarson","1925840","User","Alec Larson","","","","False","","942","847","db"
"alecmocatta","","","","","","","False","","","",""
"aleg94","","","","","","","False","","","",""
"alejandrofrias","","","","","","","False","","","",""
"aleju","11698516","User","Alexander Jung","","","","False","","1048","24","db"
"alenvelocity","","","","","","","False","","","",""
"aleph-alpha","61506608","Organization","Aleph Alpha GmbH","","https://www.aleph-alpha.com","","False","","694","30","db"
"alephalpha","","","","","","","False","","","",""
"alepop","","","","","","","False","","","",""
"aleshaoleg","","","","","","","False","","","",""
"alessandromaggio","","","","","","","False","","","",""
"alessioalex","","","","","","","False","","","",""
"alex","772","User","Alex Gaynor","Anthropic","https://alexgaynor.net","","False","","10538","494","db"
"alex-cory","","","","","","","False","","","",""
"alex-d","426843","User","Alexandre Demode","@Spilium, @Colllect, @Monitoror","https://alex-d.fr","","False","","359","14","db"
"alex-oleshkevich","","","","","","","False","","","",""
"alex3165","4259832","User","Alexandre Rieux","","https://alexrieux.com","","False","","359","96","db"
"alexanderlukanin13","","","","","","","False","","","",""
"alexanderwallin","","","","","","","False","","","",""
"alexandrebonaventure","","","","","","","False","","","",""
"alexbbt","","","","","","","False","","","",""
"alexbol99","","","","","","","False","","","",""
"alexbrazier","","","","","","","False","","","",""
"alexcanessa","","","","","","","False","","","",""
"alexcrichton","64996","User","Alex Crichton","","","","False","","5392","471","db"
"alexcrist","","","","","","","False","","","",""
"alexdavid","","","","","","","False","","","",""
"alexdlaird","","","","","","","False","","","",""
"alexdm0","","","","","","","False","","","",""
"alexdunphy","","","","","","","False","","","",""
"alexei","96283","User","Alexandru Mărășteanu","@sailoboats","https://alexei.ro/","","False","","84","47","db"
"alexeykuzmin","","","","","","","False","","","",""
"alexeyraspopov","858295","User","Oleksii","","attitude.dev","","False","","325","189","db"
"alexgorbatchev","65633","User","Alex Gorbatchev","Block","https://www.linkedin.com/in/alexgorbatchev/","","False","","706","275","db"
"alexguan","","","","","","","False","","","",""
"alexheretic","","","","","","","False","","","",""
"alexhuszagh","","","","","","","False","","","",""
"alexindigo","","","","","","","False","","","",""
"alexkamaev","","","","","","","False","","","",""
"alexkhymenko","","","","","","","False","","","",""
"alexliesenfeld","","","","","","","False","","","",""
"alexmingoia","","","","","","","False","","","",""
"alexmojaki","3627481","User","Alex Hall","@pydantic","https://futurecoder.io/","","False","","903","127","db"
"alexpasmantier","47638216","User","Alex Pasmantier","","","","False","","96","42","db"
"alexplumb","","","","","","","False","","","",""
"alexprengere","","","","","","","False","","","",""
"alexprey","","","","","","","False","","","",""
"alexreardon","2182637","User","Alex Reardon","","","","False","","1171","71","db"
"alexsasharegan","","","","","","","False","","","",""
"alferov","","","","","","","False","","","",""
"alfg","702541","User","ALF","NBCUniversal / PeacockTV / Sky UK","https://alfg.dev","","False","","428","141","db"
"alfred-skyblue","55641773","User","远方os","null","","","False","","736","53","db"
"alfredosalzillo","","","","","","","False","","","",""
"algesten","227204","User","Martin Algesten","","https://dulc.es/@martin","","False","","110","112","db"
"algolia","2034458","Organization","Algolia","","https://www.algolia.com","algolia.com","True","","815","530","db"
"algorand","23182699","Organization","Algorand","","https://www.algorand.co","algorand.com","True","","708","64","db"
"ali-sdk","11186302","Organization","ali-sdk","","https://github.com/ali-sdk","","False","","25","17","db"
"ali322","","","","","","","False","","","",""
"alibaba","1961952","Organization","Alibaba","","https://opensource.alibaba.com/","","False","","19089","517","db"
"aliheym","","","","","","","False","","","",""
"alir3z4","591113","User","Alireza Savand","@SavandBros ","","","False","","204","72","db"
"alisaifee","79842","User","Ali-Akber Saifee","@indydevs ","https://ali.indydevs.org","","False","","95","63","db"
"alitaheri","","","","","","","False","","","",""
"alixaxel","262782","User","Alix Axel","","https://namegrep.com/","","False","","280","17","db"
"aliyun","941070","Organization","Alibaba Cloud","","www.alibabacloud.com","alibabacloud.com","True","","1742","643","db"
"aljullu","3616980","User","Albert Juhé Lluveras","@Automattic ","https://www.albertjuhe.com/","","False","","112","28","db"
"alkaline-ml","58331763","Organization","alkaline-ml","","alkaline-ml.com","","False","","20","3","db"
"alkis","","","","","","","False","","","",""
"all-contributors","46410174","Organization","All Contributors","","https://allcontributors.org","","False","","209","9","db"
"allan2","6740989","User","Allan Zhang","","","","False","","0","123","db"
"allankp","","","","","","","False","","","",""
"allegro","562236","Organization","Allegro Tech","","https://allegro.tech","allegro.tech","True","","505","142","db"
"allenap","","","","","","","False","","","",""
"allenfang","5351390","User","allen","ex-ShopBack, ex-Rakuten","","","False","","520","123","db"
"alliefitter","","","","","","","False","","","",""
"allisson","","","","","","","False","","","",""
"alloy-rs","128098468","Organization","Alloy","","https://www.paradigm.xyz/oss/alloy","","False","","871","18","db"
"allure-framework","5879127","Organization","Allure Framework","","https://allurereport.org","allurereport.org","True","","660","51","db"
"almaclaine","","","","","","","False","","","",""
"almende","","","","","","","False","","","",""
"almerosteyn","","","","","","","False","","","",""
"almindor","","","","","","","False","","","",""
"almost","","","","","","","False","","","",""
"alonreznik","","","","","","","False","","","",""
"alorel","","","","","","","False","","","",""
"alphagov","596977","Organization","Government Digital Service","","https://gds.blog.gov.uk/","","False","","1482","1510","db"
"alphahydrae","","","","","","","False","","","",""
"alpinejs","59030169","Organization","Alpine.js","","","","False","","431","2","db"
"alsotang","1147375","User","alsotang","","https://alsotang.com/","","False","","5244","211","db"
"altair-viz","","","","","","","False","","","",""
"altano","","","","","","","False","","","",""
"altendky","","","","","","","False","","","",""
"alteryx","12972388","Organization","alteryx","","http://www.alteryx.com","","False","","274","142","db"
"altf02","","","","","","","False","","","",""
"althonos","8660647","User","Martin Larralde","LUMC (ex EMBL) @zellerlab","","","False","","547","91","db"
"altsysrq","","","","","","","False","","","",""
"alvinlindstam","","","","","","","False","","","",""
"amaimersion","","","","","","","False","","","",""
"amanieu","278509","User","Amanieu d'Antras","","","","False","","884","103","db"
"amannn","4038316","User","Jan Amann","Freelancer","https://amann.work","","False","","417","165","db"
"amarcruz","","","","","","","False","","","",""
"amarofashion","","","","","","","False","","","",""
"amasad","587518","User","Amjad Masad","Replit","http://amasad.me","","False","","2359","146","db"
"ambassify","","","","","","","False","","","",""
"amdmi3","","","","","","","False","","","",""
"americanexpress","3853301","Organization","American Express","","https://americanexpress.io","","False","","461","88","db"
"amilajack","6374832","User","Amila Welihinda","@palettedev","https://amilajack.com","","False","","1457","1670","db"
"aminya","","","","","","","False","","","",""
"amio","215282","User","Amio Jin","","https://amio.cn","","False","","462","201","db"
"amir20","260667","User","Amir Raminfar","Netflix","https://amirraminfar.me/","","False","","1238","72","db"
"amireh","153786","User","Ahmad Amireh","Semantic Works","","","False","","112","142","db"
"amirziai","","","","","","","False","","","",""
"amitdev","","","","","","","False","","","",""
"amitport","","","","","","","False","","","",""
"ammarahm-ed","40239442","User","Ammar Ahmed","@streetwriters","ammarahmed@streetwriters.co","","False","","606","127","db"
"amobiz","","","","","","","False","","","",""
"amodm","","","","","","","False","","","",""
"amoffat","259113","User","Andrew","","https://getlost.gg","","False","","474","28","db"
"ampersandjs","","","","","","","False","","","",""
"amplify-education","","","","","","","False","","","",""
"amplitude","2291562","Organization","Amplitude Analytics","","https://amplitude.com","amplitude.com","True","","198","145","db"
"ampproject","14114390","Organization","AMP","","https://amp.dev","","False","","490","60","db"
"amqp","","","","","","","False","","","",""
"amqp-node","79077848","Organization","amqp.node project","","","","False","","11","1","db"
"amqp-rs","97097975","Organization","AMQP.rs","","","","False","","15","10","db"
"amrbashir","","","","","","","False","","","",""
"amueller","449558","User","Andreas Mueller","Microsoft","http://amueller.github.io","","False","","11103","201","db"
"amundsen-io","67136999","Organization","Amundsen","","https://www.amundsen.io/","","False","","86","11","db"
"anaisbetts","1396","User","Ani Betts","","blog.anaisbetts.org","","False","","2415","349","db"
"analog-nico","","","","","","","False","","","",""
"ananay","","","","","","","False","","","",""
"anandchowdhary","2841780","User","Anand Chowdhary","@firstquadrant-ai","https://anandchowdhary.com","","False","","1258","245","db"
"anandsuresh","","","","","","","False","","","",""
"anandthakker","4974151","User","Anand Eng-Thakker","@desmosinc","","","False","","222","150","db"
"anatawa12","","","","","","","False","","","",""
"anber","","","","","","","False","","","",""
"ancwrd1","","","","","","","False","","","",""
"and3rson","","","","","","","False","","","",""
"andarist","9800850","User","Mateusz Burzyński","@pullfrog","","","False","","2254","598","db"
"anders429","","","","","","","False","","","",""
"andersk","","","","","","","False","","","",""
"anderskm","4207617","User","Anders Krogh Mortensen","The AI Lab","theailab.dk","","False","","26","21","db"
"andialbrecht","25632","User","Andi Albrecht","","http://andialbrecht.de","","False","","129","17","db"
"andlon","","","","","","","False","","","",""
"andosa","","","","","","","False","","","",""
"andreacorbellini","","","","","","","False","","","",""
"andreaferretti","1962818","User","Andrea Ferretti","Bending Spoons","","","False","","214","73","db"
"andreasmadsen","","","","","","","False","","","",""
"andreasots","","","","","","","False","","","",""
"andreax79","","","","","","","False","","","",""
"andreizanik","","","","","","","False","","","",""
"andrewchilds","","","","","","","False","","","",""
"andrewdavidmackenzie","","","","","","","False","","","",""
"andrewhickman","","","","","","","False","","","",""
"andrewjroth","","","","","","","False","","","",""
"andrewkeig","","","","","","","False","","","",""
"andrewplummer","74646","User","Andrew Plummer","Rekall","","","False","","160","43","db"
"andrewredican","","","","","","","False","","","",""
"andrewrk","106511","User","Andrew Kelley","@ziglang ","https://andrewkelley.me/","","False","","10021","226","db"
"andrewsuzuki","","","","","","","False","","","",""
"andreybelym","","","","","","","False","","","",""
"andreypopp","30594","User","Andrey Popp","@mechanize-systems ","http://andreypopp.com","","False","","957","483","db"
"andreyvit","5364","User","Andrey Tarantsov","Andrey Tarantsov Development","http://www.tarantsov.com/","","False","","293","242","db"
"andris9","132242","User","Andris Reinman","EmailEngine.app (@postalsys )","https://emailengine.app","","False","","1471","209","db"
"andrivet","981049","User","Andrivet","","","","False","","233","50","db"
"andyjansson","","","","","","","False","","","",""
"andylokandy","","","","","","","False","","","",""
"andyperlitch","","","","","","","False","","","",""
"andywer","1842462","User","Andy Wermke","","https://andywer.com","","False","","397","106","db"
"anexen","","","","","","","False","","","",""
"anexia-it","","","","","","","False","","","",""
"angelicosphosphoros","","","","","","","False","","","",""
"angeloashmore","","","","","","","False","","","",""
"angular","139426","Organization","Angular","","https://angular.dev","angular.dev","True","","8444","213","db"
"angular-1x","","","","","","","False","","","",""
"angular-eslint","53234240","Organization","angular-eslint","","","","False","","31","1","db"
"angular-slider","16374935","Organization","Angular Slider","","","","False","","1","3","db"
"angular-split","","","","","","","False","","","",""
"angular-translate","6117835","Organization","angular-translate","","https://angular-translate.github.io","","False","","4","22","db"
"angular-ui","1530011","Organization","AngularUI","","http://angular-ui.github.io/","","False","","78","50","db"
"angulartics","13385270","Organization","angulartics","","http://angulartics.github.io/","","False","","3","35","db"
"angus-c","604030","User","angus croll","Netflix","anguscroll.com/hemingway","","False","","1565","112","db"
"anidetrix","","","","","","","False","","","",""
"animir","4623196","User","Roman","","","","False","","64","37","db"
"ankane","220358","User","Andrew Kane","","https://ankane.org","","False","","6842","431","db"
"ankeetmaini","6652823","User","Ankeet Maini","@hotstar ","https://ankeetmaini.dev/","","False","","269","270","db"
"ankurk91","6111524","User","Ankur K","","https://ankurk91.github.io","","False","","230","61","db"
"ankushshah89","","","","","","","False","","","",""
"anncwb","28132598","User","Vben","","","","False","","1189","32","db"
"annedo","","","","","","","False","","","",""
"annexare","1128372","Organization","Annexare Studio","","https://annexare.com/","annexare.com","True","","15","12","db"
"annotated-types","","","","","","","False","","","",""
"anodynos","","","","","","","False","","","",""
"anomalyco","66570915","Organization","Anomaly","","https://anoma.ly","","False","","3590","64","db"
"anomalyinnovations","","","","","","","False","","","",""
"anonrig","1935246","User","Yagiz Nizipli","@cloudflare","https://yagiz.co","","False","","2058","229","db"
"anonyco","","","","","","","False","","","",""
"anorov","935203","User","","","","","False","","183","8","db"
"anseki","4763469","User","","","","","False","","331","60","db"
"ansible","1507452","Organization","Ansible","","https://www.ansible.com/","ansible.com","True","","3487","301","db"
"ansible-community","36424623","Organization","Community managed Ansible repositories","","https://ansible.com/","ansible.com","True","","329","122","db"
"ansman","102883","User","Nicklas Ansman","@openai ","","","False","","166","115","db"
"answerdotai","156509747","Organization","Answer.AI","","https://www.answer.ai","","False","","1280","179","db"
"ant-design","12101536","Organization","Ant Design Team","","https://ant.design","ant.design","True","","3156","140","db"
"antechrestos","","","","","","","False","","","",""
"antelle","","","","","","","False","","","",""
"antfu","11247099","User","Anthony Fu","@vercel team @nuxt","https://antfu.me","","False","","38936","390","db"
"antfu-collective","167634566","Organization","Anthony Fu's Collective","","","","False","","938","24","db"
"anthonyjgrove","14151868","User","Anthony Grove","","","","False","","71","10","db"
"anthonyshort","36125","User","Anthony Short","","https://anthonyshort.me","","False","","537","137","db"
"anthropics","76263028","Organization","Anthropic","","https://anthropic.com","anthropic.com","True","","38425","77","db"
"antifuchs","","","","","","","False","","","",""
"antlr","80584","Organization","Antlr Project","","http://antlr.org","","False","","709","34","db"
"antocuni","","","","","","","False","","","",""
"antoinerg","","","","","","","False","","","",""
"anton-bot","","","","","","","False","","","",""
"antonagestam","","","","","","","False","","","",""
"antongolub","","","","","","","False","","","",""
"antonioru","6342784","User","Rù","","","","False","","263","9","db"
"antonk52","","","","","","","False","","","",""
"antontelesh","","","","","","","False","","","",""
"antony","","","","","","","False","","","",""
"anttiviljami","6105650","User","Viljami Kuosmanen","@epilot-dev","viljami.io","","False","","336","147","db"
"antvis","19199542","Organization","AntV AI Visualization Team","","https://antv.antgroup.com","","False","","2232","121","db"
"antyakushev","","","","","","","False","","","",""
"anuraghkp1","","","","","","","False","","","",""
"anvaka","225407","User","Andrei Kashcha","","https://www.patreon.com/anvaka","","False","","5521","326","db"
"anvilco","38957632","Organization","Anvil","","https://www.useanvil.com/","","False","","25","40","db"
"any-json","","","","","","","False","","","",""
"anyascii","","","","","","","False","","","",""
"anymail","17517617","Organization","","","","","False","","5","2","db"
"anywhichway","","","","","","","False","","","",""
"anza-xyz","142632002","Organization","","","","","False","","827","55","db"
"aohua","","","","","","","False","","","",""
"aoijs","","","","","","","False","","","",""
"aotaduy","","","","","","","False","","","",""
"apache","47359","Organization","The Apache Software Foundation","","https://www.apache.org/","apache.org","True","asf","22099","3093","db"
"apal21","","","","","","","False","","","",""
"apeirontsuka","","","","","","","False","","","",""
"apexcharts","37190687","Organization","ApexCharts","","https://apexcharts.com","","False","","303","25","db"
"apgoetz","","","","","","","False","","","",""
"apiaryio","765943","Organization","Apiary","","http://apiary.io/","","False","","123","174","db"
"apideck-libraries","","","","","","","False","","","",""
"apidevtools","43750074","Organization","API Dev Tools","","https://apitools.dev","apitools.dev","True","","120","10","db"
"apidoc","4103663","Organization","apiDoc","","apidocjs.com","","False","","20","8","db"
